epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.59914,0.3,2070.4,2.415032148361206
2,100,4,4,1.21435,0.5,1915.8,2.6098999977111816
3,100,4,4,1.06181,0.58,1807.6,2.766032695770264
4,100,4,4,0.87324,0.68,1717.6,2.911010265350342
5,100,4,4,0.77376,0.72,1631.9,3.063849925994873
6,100,4,4,0.57412,0.92,1556.9,3.2115283012390137
7,100,4,4,0.39106,0.94,1485.7,3.365358591079712
8,100,4,4,0.37914,0.96,1418.7,3.52427077293396
9,100,4,4,0.18189,0.96,1355.1,3.6898672580718994
10,100,4,4,0.1451,1.0,1298.6,3.8504250049591056
11,100,4,4,0.12248,1.0,1249.1,4.003042221069336
12,100,4,4,0.10136,0.98,1199.7,4.16756796836853
13,100,4,4,0.08823,1.0,1156.7,4.322597503662109
14,100,4,4,0.08348,1.0,1117.3,4.475241422653198
15,100,4,4,0.23456,0.92,1080.9,4.625601053237915
16,100,4,4,0.18613,0.96,1046.7,4.776853322982788
17,100,4,4,0.18337,0.96,1012.0,4.940634250640869
18,100,4,4,0.35905,0.88,982.0,5.091475248336792
19,100,4,4,0.22932,0.94,948.8,5.269634962081909
20,100,4,4,0.16272,0.94,918.0,5.446376323699951
21,100,4,4,0.09963,1.0,893.7,5.594560384750366
22,100,4,4,0.1293,0.98,868.3,5.75808310508728
23,100,4,4,0.10863,1.0,846.2,5.908909559249878
24,100,4,4,0.18154,0.92,825.8,6.054674863815308
25,100,4,4,0.13427,0.94,805.4,6.208387136459351
26,100,4,4,0.19163,0.96,787.2,6.351590871810913
27,100,4,4,0.17433,0.96,767.2,6.517192602157593
28,100,4,4,0.19827,0.92,748.7,6.677937746047974
29,100,4,4,0.11502,0.96,731.4,6.836163282394409
30,100,4,4,0.10306,0.94,713.2,7.01020097732544
31,100,4,4,0.12454,0.96,697.9,7.164541721343994
32,100,4,4,0.1308,0.96,681.6,7.3353517055511475
33,100,4,4,0.07353,0.98,666.7,7.499901056289673
34,100,4,4,0.2528,0.9,653.2,7.65485954284668
35,100,4,4,0.23777,0.9,638.4,7.831780433654785
36,100,4,4,0.14991,0.96,625.5,7.993099927902222
37,100,4,4,0.21573,0.96,613.1,8.154885530471802
38,100,4,4,0.1013,0.94,600.3,8.328591346740723
39,100,4,4,0.40717,0.86,588.6,8.49535322189331
40,100,4,4,0.14707,0.98,578.2,8.648172616958618
