epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,10,10,1.61282,0.17333,7753.6,1.934585332870484
2,100,10,10,1.60999,0.22,7096.5,2.1137266159057617
3,100,10,10,1.6089,0.22,6531.5,2.2965543270111084
4,100,10,10,1.57828,0.24667,6059.8,2.4753363132476807
5,100,10,10,1.47452,0.38,5652.1,2.653876543045044
6,100,10,10,1.3373,0.4,5300.9,2.829729557037353
7,100,10,10,1.31299,0.46,4986.2,3.0083250999450684
8,100,10,10,1.23541,0.48667,4696.7,3.19370174407959
9,100,10,10,1.11382,0.51333,4450.2,3.370635509490967
10,100,10,10,0.98654,0.60667,4225.2,3.550125360488892
11,100,10,10,0.95345,0.58667,4025.5,3.726254463195801
12,100,10,10,0.73624,0.67333,3841.1,3.905096054077149
13,100,10,10,0.61599,0.74,3674.9,4.0817060470581055
14,100,10,10,0.4859,0.79333,3517.6,4.26425051689148
15,100,10,10,0.5567,0.76,3376.6,4.442290544509888
16,100,10,10,0.46745,0.80667,3247.7,4.618682861328125
17,100,10,10,0.32746,0.88,3127.2,4.796608209609985
18,100,10,10,0.21655,0.91333,3012.8,4.978801727294922
19,100,10,10,0.14056,0.95333,2909.0,5.156481981277466
20,100,10,10,0.11079,0.95333,2812.3,5.3336920738220215
21,100,10,10,0.12882,0.94,2716.6,5.521543741226196
22,100,10,10,0.17093,0.94,2631.5,5.7001354694366455
23,100,10,10,0.0887,0.96667,2552.5,5.876547336578369
24,100,10,10,0.05928,0.97333,2473.9,6.0633063316345215
25,100,10,10,0.02765,0.98667,2402.5,6.24355411529541
26,100,10,10,0.0819,0.98,2333.3,6.428555011749268
27,100,10,10,0.06299,0.97333,2269.5,6.6094255447387695
28,100,10,10,0.03729,0.99333,2206.9,6.796759366989136
29,100,10,10,0.06403,0.97333,2149.0,6.980000257492065
30,100,10,10,0.16111,0.96,2095.7,7.157445907592773
31,100,10,10,0.22916,0.92,2044.2,7.337716579437256
32,100,10,10,0.12785,0.93333,1995.9,7.515494346618652
33,100,10,10,0.05033,0.99333,1950.2,7.69134259223938
34,100,10,10,0.03489,0.98667,1906.5,7.867782831192017
35,100,10,10,0.02068,0.99333,1864.5,8.045037031173706
36,100,10,10,0.02992,0.98667,1824.3,8.222389459609985
37,100,10,10,0.0082,1.0,1785.9,8.399292707443237
38,100,10,10,0.00399,1.0,1749.0,8.5764319896698
39,100,10,10,0.00099,1.0,1713.1,8.756104946136475
40,100,10,10,0.00309,1.0,1677.4,8.9423987865448
41,100,10,10,0.00038,1.0,1643.5,9.12705135345459
42,100,10,10,0.01701,0.99333,1612.3,9.30374526977539
43,100,10,10,0.00092,1.0,1582.1,9.48085904121399
44,100,10,10,0.00418,1.0,1553.3,9.656948566436768
45,100,10,10,0.01022,0.99333,1525.0,9.83584451675415
46,100,10,10,0.00013,1.0,1498.1,10.01266598701477
47,100,10,10,0.00108,1.0,1472.1,10.189558744430542
48,100,10,10,0.00021,1.0,1447.1,10.365587949752808
49,100,10,10,8e-05,1.0,1422.8,10.542785167694092
50,100,10,10,0.0001,1.0,1399.3,10.719442367553713
51,100,10,10,8e-05,1.0,1374.1,10.916188478469849
52,100,10,10,8e-05,1.0,1352.2,11.092913389205933
53,100,10,10,3e-05,1.0,1329.9,11.279269695281982
54,100,10,10,4e-05,1.0,1307.0,11.47697639465332
55,100,10,10,6e-05,1.0,1268.5,11.825369596481323
56,100,10,10,5e-05,1.0,1243.6,12.061346769332886
57,100,10,10,1e-05,1.0,1218.0,12.315083503723145
58,100,10,10,2e-05,1.0,1194.7,12.555312633514404
59,100,10,10,2e-05,1.0,1168.9,12.832031726837158
60,100,10,10,2e-05,1.0,1144.6,13.104591131210327
61,100,10,10,8e-05,1.0,1125.8,13.323779344558716
62,100,10,10,6e-05,1.0,1111.0,13.501224756240845
63,100,10,10,2e-05,1.0,1096.4,13.681112051010132
64,100,10,10,2e-05,1.0,1082.2,13.860854148864746
65,100,10,10,0.00019,1.0,1068.2,14.041685581207275
66,100,10,10,0.00016,1.0,1054.7,14.221818923950195
67,100,10,10,1e-05,1.0,1035.8,14.481080055236816
68,100,10,10,1e-05,1.0,1017.8,14.737228155136108
69,100,10,10,1e-05,1.0,1001.8,14.973707914352415
70,100,10,10,1e-05,1.0,986.3,15.207780838012695
71,100,10,10,0.0,1.0,963.2,15.573806047439575
72,100,10,10,3e-05,1.0,948.9,15.80816912651062
73,100,10,10,4e-05,1.0,934.7,16.048534870147705
74,100,10,10,0.00012,1.0,924.3,16.228463172912598
75,100,10,10,1e-05,1.0,914.3,16.405983924865723
76,100,10,10,1e-05,1.0,904.5,16.583462238311768
77,100,10,10,0.0,1.0,894.9,16.761160612106323
78,100,10,10,0.0,1.0,885.1,16.9476101398468
79,100,10,10,1e-05,1.0,875.5,17.1333909034729
80,100,10,10,0.0018,1.0,861.3,17.415419816970825
81,100,10,10,4e-05,1.0,852.7,17.591604709625244
82,100,10,10,0.00108,1.0,844.2,17.768683910369873
83,100,10,10,5e-05,1.0,835.7,17.949471712112427
84,100,10,10,0.00014,1.0,824.2,18.200303316116333
85,100,10,10,1e-05,1.0,814.5,18.41565990447998
86,100,10,10,0.0,1.0,801.5,18.71454334259033
87,100,10,10,1e-05,1.0,789.0,19.01128506660461
