epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,10,10,1.46271,0.41333,4203.0,3.5689072608947754
2,100,10,10,0.72852,0.73333,3756.6,3.992929220199585
3,100,10,10,0.35508,0.88667,3394.0,4.419561862945557
4,100,10,10,0.1651,0.92,3201.1,4.68593692779541
5,100,10,10,0.06241,0.98667,3029.9,4.950700044631958
6,100,10,10,0.01838,0.99333,2876.6,5.214523792266846
7,100,10,10,0.00681,1.0,2736.3,5.481917142868042
8,100,10,10,0.00097,1.0,2544.7,5.894717454910278
9,100,10,10,0.00014,1.0,2370.8,6.3270790576934814
10,100,10,10,0.00015,1.0,2217.3,6.765081405639648
11,100,10,10,0.00011,1.0,2076.1,7.22504186630249
12,100,10,10,0.00013,1.0,1959.9,7.653288125991821
13,100,10,10,4e-05,1.0,1852.4,8.097473621368408
14,100,10,10,2e-05,1.0,1754.7,8.548388481140137
15,100,10,10,7e-05,1.0,1673.6,8.962867498397827
16,100,10,10,3e-05,1.0,1596.2,9.39708924293518
17,100,10,10,1e-05,1.0,1526.1,9.828981876373293
18,100,10,10,1e-05,1.0,1458.4,10.285258769989014
19,100,10,10,1e-05,1.0,1395.6,10.748290300369264
20,100,10,10,2e-05,1.0,1335.7,11.229716777801514
21,100,10,10,2e-05,1.0,1285.3,11.67075490951538
22,100,10,10,4e-05,1.0,1234.1,12.155009984970093
23,100,10,10,1e-05,1.0,1183.3,12.676923036575316
24,100,10,10,1e-05,1.0,1142.0,13.134553909301758
25,100,10,10,7e-05,1.0,1105.8,13.564669609069824
26,100,10,10,1e-05,1.0,1068.6,14.03716278076172
27,100,10,10,1e-05,1.0,1035.2,14.489567756652832
28,100,10,10,1e-05,1.0,1005.5,14.917490243911743
29,100,10,10,0.0,1.0,976.1,15.367226123809814
30,100,10,10,0.0,1.0,947.6,15.830012798309326
31,100,10,10,1e-05,1.0,921.1,16.285459756851196
32,100,10,10,1e-05,1.0,897.6,16.711163759231567
33,100,10,10,1e-05,1.0,876.4,17.115960836410522
34,100,10,10,0.0,1.0,854.2,17.560240507125854
35,100,10,10,0.0,1.0,834.2,17.98183798789978
36,100,10,10,0.0,1.0,811.9,18.47464704513549
37,100,10,10,0.0,1.0,794.8,18.8728346824646
38,100,10,10,0.0,1.0,776.3,19.323246717453003
39,100,10,10,0.0,1.0,758.8,19.76741743087769
40,100,10,10,0.0,1.0,742.9,20.19164276123047
41,100,10,10,0.0,1.0,726.1,20.65713167190552
42,100,10,10,0.0,1.0,710.1,21.12519574165344
43,100,10,10,0.0,1.0,695.3,21.572123050689697
44,100,10,10,0.0,1.0,681.9,21.99885606765747
45,100,10,10,1e-05,1.0,668.7,22.430315732955933
46,100,10,10,0.0,1.0,655.1,22.89666533470153
47,100,10,10,0.0,1.0,642.0,23.36517357826233
48,100,10,10,0.0,1.0,630.2,23.80352759361267
49,100,10,10,0.0,1.0,618.5,24.25138521194458
50,100,10,10,2e-05,1.0,606.8,24.71961069107056
51,100,10,10,0.0,1.0,595.7,25.179890632629395
52,100,10,10,0.0,1.0,585.4,25.62474775314331
53,100,10,10,0.0,1.0,575.6,26.058671951293945
54,100,10,10,0.0,1.0,566.8,26.464879751205444
55,100,10,10,0.0,1.0,557.0,26.932034254074097
56,100,10,10,0.0,1.0,547.1,27.41523718833924
57,100,10,10,0.0,1.0,538.2,27.870157957077023
58,100,10,10,0.0,1.0,529.9,28.308387994766235
59,100,10,10,0.0,1.0,523.2,28.667092323303223
60,100,10,10,0.0,1.0,518.5,28.931750774383545
61,100,10,10,0.0,1.0,513.7,29.197924375534058
62,100,10,10,1e-05,1.0,509.1,29.463388442993164
63,100,10,10,0.0,1.0,504.6,29.728349685668945
64,100,10,10,0.0,1.0,500.1,29.995436429977417
65,100,10,10,0.0,1.0,495.7,30.26216769218445
66,100,10,10,0.0,1.0,491.3,30.530319452285767
67,100,10,10,0.0,1.0,483.7,31.008368968963623
68,100,10,10,0.0,1.0,476.2,31.500558614730835
69,100,10,10,0.0,1.0,469.4,31.95895910263061
70,100,10,10,0.0,1.0,462.3,32.44421458244324
71,100,10,10,0.0,1.0,455.9,32.89886927604675
72,100,10,10,0.0,1.0,449.2,33.38970351219177
73,100,10,10,0.0,1.0,443.5,33.8216507434845
74,100,10,10,0.0,1.0,437.8,34.26055836677551
75,100,10,10,0.0,1.0,432.3,34.69773459434509
76,100,10,10,0.0,1.0,426.5,35.16856622695923
77,100,10,10,0.0,1.0,420.8,35.64309358596802
78,100,10,10,0.0,1.0,415.1,36.13969159126282
79,100,10,10,0.0,1.0,410.1,36.57477807998657
80,100,10,10,0.0,1.0,404.9,37.04479289054871
81,100,10,10,0.0,1.0,399.8,37.52017307281494
82,100,10,10,0.0,1.0,395.5,37.92884683609009
83,100,10,10,0.0,1.0,390.8,38.37803316116333
84,100,10,10,0.0,1.0,386.3,38.83073019981384
85,100,10,10,0.0,1.0,381.6,39.30850315093994
86,100,10,10,0.0,1.0,377.9,39.69758224487305
87,100,10,10,0.0,1.0,373.5,40.16402626037598
88,100,10,10,0.0,1.0,369.8,40.567508697509766
89,100,10,10,0.0,1.0,365.5,41.0354278087616
90,100,10,10,0.0,1.0,361.3,41.51691651344299
91,100,10,10,0.0,1.0,357.4,41.97431516647339
92,100,10,10,0.0,1.0,353.4,42.441887617111206
93,100,10,10,0.0,1.0,349.5,42.91668152809143
94,100,10,10,0.0,1.0,345.9,43.36141109466553
95,100,10,10,0.0,1.0,342.0,43.862576484680176
96,100,10,10,0.0,1.0,338.2,44.34605073928833
97,100,10,10,0.0,1.0,334.5,44.84561610221863
98,100,10,10,0.0,1.0,331.0,45.32161593437195
99,100,10,10,0.0,1.0,327.8,45.75269079208374
100,100,10,10,0.00000,1.00000,324.4,46.23455810546875
