epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,10,10,1.59495,0.26,6803.6,2.2047197818756104
2,100,10,10,1.56889,0.31333,5371.4,2.792584180831909
3,100,10,10,1.48757,0.37333,4319.0,3.473017930984497
4,100,10,10,1.44283,0.39333,3673.9,4.082859039306641
5,100,10,10,1.3462,0.44,3191.0,4.700728416442871
6,100,10,10,1.19019,0.58,2814.4,5.3296778202056885
7,100,10,10,1.10648,0.62,2513.6,5.967424392700195
8,100,10,10,0.93082,0.69333,2268.1,6.613362073898315
9,100,10,10,0.85738,0.68,2072.9,7.236186742782593
10,100,10,10,0.72907,0.75333,1908.9,7.857758522033691
11,100,10,10,0.72838,0.78,1766.8,8.489866733551025
12,100,10,10,0.62948,0.80667,1645.7,9.11443853378296
13,100,10,10,0.49391,0.85333,1544.6,9.71124529838562
14,100,10,10,0.41386,0.85333,1451.4,10.335025548934937
15,100,10,10,0.51774,0.83333,1377.3,10.891070127487184
16,100,10,10,0.34819,0.89333,1304.2,11.501717805862429
17,100,10,10,0.28995,0.92,1239.9,12.097723484039308
18,100,10,10,0.30659,0.91333,1180.2,12.709926843643188
19,100,10,10,0.29506,0.92,1129.9,13.275681018829346
20,100,10,10,0.27128,0.90667,1084.5,13.83149528503418
21,100,10,10,0.28105,0.92,1039.1,14.436203479766846
22,100,10,10,0.25785,0.92,1001.0,14.985607862472534
23,100,10,10,0.24337,0.91333,964.6,15.549739599227903
24,100,10,10,0.32691,0.89333,932.5,16.08542490005493
25,100,10,10,0.23606,0.94,901.1,16.646488666534424
26,100,10,10,0.17511,0.97333,872.1,17.200050592422485
27,100,10,10,0.17507,0.96667,843.4,17.7846577167511
28,100,10,10,0.29474,0.89333,817.1,18.35671758651733
29,100,10,10,0.22835,0.95333,791.4,18.95347046852112
30,100,10,10,0.17574,0.94667,770.3,19.473137378692627
31,100,10,10,0.22608,0.92,748.5,20.04069709777832
32,100,10,10,0.22926,0.92,726.8,20.638992071151733
33,100,10,10,0.15349,0.96,708.1,21.183959007263184
34,100,10,10,0.16596,0.96667,688.8,21.777618169784542
35,100,10,10,0.21227,0.93333,672.3,22.310020446777344
36,100,10,10,0.15789,0.94,655.2,22.892114639282227
37,100,10,10,0.17401,0.94667,639.9,23.440310955047607
38,100,10,10,0.17254,0.94667,624.4,24.02456641197205
39,100,10,10,0.12027,0.96,611.1,24.545429229736328
