epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.61157,0.26,1974.7,2.532013416290283
2,100,4,4,1.53324,0.38,1803.7,2.7721312046051025
3,100,4,4,1.40117,0.6,1664.0,3.0048179626464844
4,100,4,4,1.32961,0.56,1537.3,3.2524774074554443
5,100,4,4,1.29609,0.64,1441.4,3.468792676925659
6,100,4,4,1.16779,0.9,1351.0,3.7008376121521
7,100,4,4,1.07651,0.9,1258.7,3.972400665283203
8,100,4,4,1.12063,0.82,1185.2,4.218823432922363
9,100,4,4,0.98766,0.88,1120.1,4.464019298553467
10,100,4,4,0.88541,0.92,1065.0,4.694761037826538
11,100,4,4,0.8682,0.94,1013.9,4.931212902069092
12,100,4,4,0.83815,0.96,961.6,5.199411869049072
13,100,4,4,0.80769,0.96,920.5,5.431771516799927
14,100,4,4,0.80536,0.94,879.5,5.685342788696289
15,100,4,4,0.7409,0.92,844.0,5.924195766448975
16,100,4,4,0.6447,0.98,809.3,6.178492069244385
17,100,4,4,0.57769,0.98,779.4,6.415485143661499
18,100,4,4,0.70811,0.96,751.8,6.65077018737793
19,100,4,4,0.56923,0.96,721.8,6.9273645877838135
20,100,4,4,0.53803,0.96,696.0,7.18428635597229
21,100,4,4,0.56198,0.94,670.6,7.456328153610229
22,100,4,4,0.50176,0.94,649.1,7.702523231506348
23,100,4,4,0.47204,0.98,628.8,7.951596975326538
24,100,4,4,0.41443,0.96,609.6,8.201528072357178
25,100,4,4,0.37442,0.96,591.7,8.450192928314209
26,100,4,4,0.37938,0.96,575.2,8.693249702453613
27,100,4,4,0.35704,0.98,559.4,8.93869948387146
28,100,4,4,0.33939,0.96,545.5,9.165582656860352
29,100,4,4,0.315,0.94,528.1,9.467673540115356
30,100,4,4,0.30742,0.96,513.6,9.734952211380005
31,100,4,4,0.36752,0.94,499.1,10.018652439117432
32,100,4,4,0.27575,0.96,486.4,10.278838157653809
33,100,4,4,0.27647,1.0,474.8,10.531103134155272
34,100,4,4,0.29052,0.98,463.1,10.797016859054564
35,100,4,4,0.21584,0.98,450.7,11.09429121017456
36,100,4,4,0.20965,1.0,439.9,11.365868330001833
37,100,4,4,0.23504,0.96,429.8,11.632367610931396
38,100,4,4,0.24695,0.98,421.2,11.871195077896118
39,100,4,4,0.2753,0.94,412.8,12.111994981765749
40,100,4,4,0.14383,0.98,404.5,12.35976529121399
41,100,4,4,0.2109,1.0,396.4,12.612073421478271
42,100,4,4,0.16837,1.0,388.7,12.864897727966309
43,100,4,4,0.20218,0.98,381.8,13.095532178878784
44,100,4,4,0.22587,0.98,374.5,13.3519287109375
45,100,4,4,0.12844,1.0,367.3,13.611995458602903
46,100,4,4,0.19259,0.96,360.9,13.853635549545288
47,100,4,4,0.13432,1.0,353.9,14.126322031021118
48,100,4,4,0.10968,1.0,347.9,14.370607852935793
49,100,4,4,0.13476,1.0,342.0,14.61803913116455
50,100,4,4,0.11378,1.0,336.6,14.855534315109251
51,100,4,4,0.1673,0.96,331.6,15.078320026397703
52,100,4,4,0.13327,0.98,326.6,15.306955337524414
53,100,4,4,0.10316,1.0,321.9,15.531278610229492
54,100,4,4,0.16699,0.98,317.2,15.761692762374878
55,100,4,4,0.10745,1.0,312.5,15.997771739959717
56,100,4,4,0.1411,0.96,307.9,16.23999834060669
57,100,4,4,0.13361,0.96,303.7,16.46215510368347
58,100,4,4,0.07993,1.0,299.6,16.687134981155396
59,100,4,4,0.11007,0.98,295.2,16.93763279914856
60,100,4,4,0.08813,1.0,291.1,17.17596435546875
61,100,4,4,0.08088,1.0,287.1,17.41523766517639
62,100,4,4,0.13163,0.96,283.7,17.622974157333374
63,100,4,4,0.08881,1.0,280.1,17.851011514663696
64,100,4,4,0.13055,0.96,276.7,18.0685932636261
65,100,4,4,0.07123,1.0,273.2,18.298731803894043
66,100,4,4,0.04775,1.0,269.9,18.522024631500244
67,100,4,4,0.0622,1.0,266.7,18.74823021888733
68,100,4,4,0.11769,0.96,263.5,18.977647304534912
69,100,4,4,0.13121,0.96,260.1,19.22100687026977
70,100,4,4,0.06788,1.0,257.0,19.453895807266235
71,100,4,4,0.07113,1.0,253.9,19.6893892288208
72,100,4,4,0.10016,0.96,250.9,19.92443561553955
73,100,4,4,0.05808,1.0,248.2,20.146308422088623
74,100,4,4,0.1277,0.96,245.2,20.39092969894409
75,100,4,4,0.04206,1.0,242.2,20.6406638622284
76,100,4,4,0.11145,0.96,239.6,20.870939016342163
77,100,4,4,0.10198,0.98,236.9,21.107840061187744
78,100,4,4,0.07067,1.0,234.1,21.36238431930542
79,100,4,4,0.10587,0.98,231.3,21.615492343902588
80,100,4,4,0.04881,1.0,229.0,21.83760094642639
81,100,4,4,0.05247,1.0,226.6,22.069779872894287
82,100,4,4,0.04112,1.0,224.0,22.321112632751465
83,100,4,4,0.07056,0.98,221.7,22.550257682800293
84,100,4,4,0.04169,1.0,219.5,22.779232263565063
85,100,4,4,0.03736,1.0,217.5,22.986079692840576
86,100,4,4,0.0725,1.0,215.3,23.22363567352295
87,100,4,4,0.09256,0.98,213.2,23.45465040206909
88,100,4,4,0.04794,0.98,211.0,23.695008754730225
89,100,4,4,0.14561,0.96,208.9,23.92963218688965
90,100,4,4,0.08248,0.96,206.9,24.16752552986145
91,100,4,4,0.06785,0.98,204.7,24.425862073898315
92,100,4,4,0.0529,0.98,202.5,24.69415593147278
93,100,4,4,0.02942,1.0,200.4,24.95404410362244
94,100,4,4,0.08343,0.98,198.4,25.202109336853027
95,100,4,4,0.09227,0.96,196.2,25.48613166809082
96,100,4,4,0.03384,1.0,194.5,25.70656681060791
97,100,4,4,0.06122,1.0,192.7,25.95044445991516
98,100,4,4,0.05541,0.98,190.7,26.21976923942566
99,100,4,4,0.05472,1.0,188.9,26.467681884765625
100,100,4,4,0.04094,1.00000,187.1,26.71980881690979
