epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.61345,0.2,2662.1,1.878197193145752
2,100,4,4,1.12327,0.64,2473.9,2.0211215019226074
3,100,4,4,0.80527,0.8,2322.8,2.152617216110229
4,100,4,4,0.55335,0.94,2188.5,2.284687042236328
5,100,4,4,0.56313,0.9,2071.1,2.414186954498291
6,100,4,4,0.36613,0.94,1967.6,2.5411880016326904
7,100,4,4,0.27764,1.0,1862.0,2.685323715209961
8,100,4,4,0.20425,1.0,1775.4,2.816312789916992
9,100,4,4,0.23476,0.96,1684.2,2.968848943710327
10,100,4,4,0.21257,0.96,1607.9,3.109661817550659
11,100,4,4,0.17805,0.98,1534.5,3.258324384689331
12,100,4,4,0.11838,0.98,1467.6,3.4070308208465576
13,100,4,4,0.11822,1.0,1412.0,3.5411384105682373
14,100,4,4,0.13805,0.98,1353.9,3.6929268836975098
15,100,4,4,0.15526,0.96,1300.3,3.8451294898986816
16,100,4,4,0.20279,0.98,1253.1,3.990212917327881
17,100,4,4,0.10626,1.0,1213.8,4.1191511154174805
18,100,4,4,0.06734,1.0,1174.9,4.255766153335571
19,100,4,4,0.07877,0.98,1142.7,4.375575065612793
20,100,4,4,0.06433,1.0,1104.5,4.527068138122559
21,100,4,4,0.08919,1.0,1065.5,4.692421197891235
22,100,4,4,0.07637,0.98,1027.0,4.868736505508423
23,100,4,4,0.09473,0.98,996.2,5.018985748291016
24,100,4,4,0.18215,0.96,969.0,5.159870147705078
25,100,4,4,0.05761,1.0,940.5,5.316195726394653
26,100,4,4,0.14547,0.96,912.6,5.47880220413208
27,100,4,4,0.06121,1.0,888.6,5.6268041133880615
28,100,4,4,0.04329,1.0,867.7,5.762146234512329
29,100,4,4,0.11341,0.96,847.1,5.902537345886231
30,100,4,4,0.08389,0.98,828.1,6.037930250167847
31,100,4,4,0.04601,1.0,807.4,6.1929473876953125
32,100,4,4,0.08259,1.0,787.8,6.346436500549316
33,100,4,4,0.06622,1.0,769.5,6.497440338134766
34,100,4,4,0.04756,1.0,749.3,6.6725850105285645
35,100,4,4,0.10103,0.96,731.8,6.832014322280884
36,100,4,4,0.10713,0.98,714.6,6.996654510498047
37,100,4,4,0.03365,1.0,700.6,7.136396408081055
38,100,4,4,0.04817,0.98,686.7,7.281051397323608
39,100,4,4,0.041,1.0,674.2,7.4158875942230225
40,100,4,4,0.08572,0.98,661.4,7.559486865997314
41,100,4,4,0.05394,0.98,648.8,7.706570625305176
42,100,4,4,0.05519,1.0,637.2,7.846565008163452
43,100,4,4,0.03555,1.0,626.3,7.983086585998535
44,100,4,4,0.04974,1.0,615.5,8.123560905456543
45,100,4,4,0.06174,1.0,602.2,8.303350687026978
46,100,4,4,0.04969,1.0,591.0,8.460311889648438
47,100,4,4,0.02934,1.0,579.0,8.63485074043274
48,100,4,4,0.04553,1.0,569.6,8.777701616287231
49,100,4,4,0.0934,0.98,559.9,8.93027925491333
50,100,4,4,0.04588,0.98,551.0,9.07406210899353
51,100,4,4,0.02544,1.0,542.4,9.217742919921877
52,100,4,4,0.04306,0.98,535.3,9.339726209640505
53,100,4,4,0.06913,0.98,527.0,9.487052917480469
54,100,4,4,0.02323,1.0,519.0,9.634037494659424
55,100,4,4,0.08824,0.98,510.3,9.797226190567017
56,100,4,4,0.05179,0.98,501.4,9.972750425338743
57,100,4,4,0.01855,1.0,493.3,10.13606882095337
58,100,4,4,0.04225,0.98,486.7,10.272958040237429
59,100,4,4,0.02618,1.0,480.8,10.399009466171265
60,100,4,4,0.01817,1.0,475.0,10.5254487991333
61,100,4,4,0.02264,1.0,469.3,10.654924631118774
62,100,4,4,0.02592,1.0,463.4,10.78881335258484
63,100,4,4,0.11342,0.98,457.4,10.931117534637451
64,100,4,4,0.03171,1.0,451.5,11.073136806488035
65,100,4,4,0.01336,1.0,444.7,11.244535207748411
66,100,4,4,0.18178,0.96,438.5,11.403748750686646
67,100,4,4,0.02525,1.0,432.5,11.561026096343994
68,100,4,4,0.09681,0.96,427.2,11.703179597854614
69,100,4,4,0.09648,0.98,422.1,11.845683336257936
70,100,4,4,0.06363,1.0,416.4,12.007184267044067
71,100,4,4,0.03834,1.0,411.4,12.15436601638794
72,100,4,4,0.1396,0.94,406.4,12.303127527236938
73,100,4,4,0.05638,0.98,401.1,12.464234590530396
74,100,4,4,0.03653,1.0,396.2,12.619133234024048
75,100,4,4,0.10516,0.98,391.5,12.7702796459198
76,100,4,4,0.02118,1.0,387.4,12.906879425048828
77,100,4,4,0.14052,0.96,383.3,13.043486595153809
78,100,4,4,0.06547,0.98,379.2,13.185743808746338
79,100,4,4,0.0547,1.0,375.2,13.325210809707642
80,100,4,4,0.02685,1.0,371.0,13.475724697113035
81,100,4,4,0.10327,0.96,366.6,13.637589693069458
82,100,4,4,0.0514,0.98,362.3,13.800326585769652
83,100,4,4,0.0178,1.0,358.6,13.9433012008667
84,100,4,4,0.09753,0.96,354.7,14.094977140426636
85,100,4,4,0.09137,0.98,350.9,14.249407052993774
86,100,4,4,0.06908,0.96,347.5,14.39054250717163
87,100,4,4,0.03142,1.0,343.8,14.54517388343811
88,100,4,4,0.05431,0.98,340.4,14.68831992149353
89,100,4,4,0.06088,0.98,337.4,14.819281339645386
90,100,4,4,0.13316,0.98,333.7,14.985422849655151
91,100,4,4,0.02003,1.0,330.3,15.13737440109253
92,100,4,4,0.03542,0.98,327.3,15.276959896087646
93,100,4,4,0.03464,1.0,324.3,15.41747760772705
94,100,4,4,0.02067,1.0,321.3,15.560243368148804
95,100,4,4,0.02187,1.0,318.3,15.709375619888306
96,100,4,4,0.01741,1.0,315.3,15.85864782333374
97,100,4,4,0.03498,1.0,312.5,16.00064492225647
