epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.6785,0.26,2558.3,1.9544153213500977
2,100,4,4,0.70142,0.86,2473.6,2.021332263946533
3,100,4,4,0.31746,0.98,2394.3,2.0882608890533447
4,100,4,4,0.21843,0.92,2308.6,2.1657845973968506
5,100,4,4,0.15503,0.98,2231.2,2.240971088409424
6,100,4,4,0.12066,1.0,2164.8,2.3096935749053955
7,100,4,4,0.19528,0.92,2103.8,2.376610040664673
8,100,4,4,0.1479,0.98,2047.4,2.4421141147613525
9,100,4,4,0.07856,1.0,1961.7,2.548861503601074
10,100,4,4,0.18467,0.92,1879.4,2.6604719161987305
11,100,4,4,0.19701,0.92,1822.0,2.744214534759521
12,100,4,4,0.13348,0.98,1778.8,2.8108389377593994
13,100,4,4,0.11774,0.98,1727.9,2.893691062927246
14,100,4,4,0.07952,1.0,1685.3,2.966826200485229
15,100,4,4,0.09203,0.98,1643.5,3.042370080947876
16,100,4,4,0.18339,0.98,1604.4,3.1164772510528564
17,100,4,4,0.16008,0.96,1565.9,3.1931023597717285
18,100,4,4,0.16315,0.96,1529.7,3.268552541732788
19,100,4,4,0.07355,0.98,1491.0,3.353447198867798
20,100,4,4,0.18589,0.94,1462.2,3.41947603225708
21,100,4,4,0.1411,0.96,1429.5,3.4978373050689697
22,100,4,4,0.14408,0.94,1394.5,3.5856165885925293
23,100,4,4,0.23276,0.94,1358.9,3.679477214813232
24,100,4,4,0.08212,0.98,1328.2,3.764571905136109
25,100,4,4,0.19762,0.96,1295.0,3.861081123352051
26,100,4,4,0.12298,0.96,1271.8,3.931364059448242
27,100,4,4,0.18251,0.94,1248.7,4.004184722900391
28,100,4,4,0.26516,0.96,1228.0,4.0716552734375
29,100,4,4,0.18829,0.94,1208.9,4.136057615280151
30,100,4,4,0.11377,0.96,1189.0,4.205288887023926
31,100,4,4,0.18193,0.94,1163.9,4.296054124832153
32,100,4,4,0.07528,0.98,1139.0,4.389804601669312
33,100,4,4,0.05745,0.98,1116.3,4.478906393051148
34,100,4,4,0.01846,1.0,1095.4,4.564368963241577
35,100,4,4,0.03883,1.0,1074.9,4.651643753051758
36,100,4,4,0.17264,0.92,1058.2,4.724965572357178
37,100,4,4,0.03462,1.0,1042.3,4.796942710876465
38,100,4,4,0.15407,0.96,1028.4,4.861981153488159
39,100,4,4,0.06161,0.98,1008.6,4.957451581954956
40,100,4,4,0.06882,0.98,990.1,5.05023455619812
41,100,4,4,0.18858,0.96,976.7,5.119164705276489
42,100,4,4,0.14285,0.98,960.0,5.208510160446167
43,100,4,4,0.11165,0.96,946.5,5.282343149185181
44,100,4,4,0.03461,1.0,933.1,5.35871171951294
45,100,4,4,0.07262,0.98,919.8,5.436244487762451
46,100,4,4,0.05374,0.98,907.3,5.510942220687866
47,100,4,4,0.13876,0.98,896.2,5.579388618469238
48,100,4,4,0.29226,0.9,884.8,5.650826930999756
49,100,4,4,0.24431,0.92,870.2,5.745564937591553
50,100,4,4,0.12402,0.96,858.1,5.827138900756836
51,100,4,4,0.13216,0.96,843.8,5.925743103027344
52,100,4,4,0.08281,1.0,833.0,6.002458810806274
53,100,4,4,0.20951,0.92,822.4,6.079436302185059
54,100,4,4,0.20601,0.9,811.8,6.159090757369995
55,100,4,4,0.05298,1.0,798.9,6.258718013763428
56,100,4,4,0.07582,1.0,788.8,6.338351249694824
57,100,4,4,0.13369,0.96,778.9,6.419194221496582
58,100,4,4,0.03646,1.0,768.5,6.5060014724731445
59,100,4,4,0.08488,0.98,756.4,6.61007022857666
60,100,4,4,0.07737,0.98,746.8,6.69549822807312
61,100,4,4,0.20268,0.94,738.9,6.766615152359009
62,100,4,4,0.03448,1.0,731.8,6.832436800003052
63,100,4,4,0.02765,1.0,724.2,6.903863191604614
64,100,4,4,0.04311,1.0,716.5,6.978542804718018
65,100,4,4,0.02952,1.0,706.8,7.073821306228638
66,100,4,4,0.01919,1.0,698.1,7.162438154220581
67,100,4,4,0.02902,1.0,690.0,7.246725797653198
68,100,4,4,0.09398,0.96,681.9,7.332308292388916
69,100,4,4,0.13943,0.96,675.1,7.406221866607666
70,100,4,4,0.02101,1.0,667.6,7.489991664886475
71,100,4,4,0.04143,0.98,660.7,7.56779408454895
72,100,4,4,0.04312,1.0,653.4,7.652050971984863
