epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.55116,0.3,2057.4,2.43025279045105
2,100,4,4,0.7667,0.94,1917.7,2.6072332859039307
3,100,4,4,0.44771,0.96,1798.9,2.779449701309204
4,100,4,4,0.35866,0.96,1701.3,2.939011335372925
5,100,4,4,0.23138,0.96,1617.2,3.091780424118042
6,100,4,4,0.16759,0.98,1544.6,3.2371301651000977
7,100,4,4,0.15226,0.96,1475.9,3.38776969909668
8,100,4,4,0.1333,0.98,1405.9,3.556553602218628
9,100,4,4,0.08778,0.98,1342.4,3.724642276763916
10,100,4,4,0.05024,1.0,1284.7,3.891899585723877
11,100,4,4,0.09461,0.96,1231.5,4.060137033462524
12,100,4,4,0.14182,0.96,1183.4,4.224974632263184
13,100,4,4,0.08921,0.98,1132.6,4.414525270462036
14,100,4,4,0.0509,1.0,1093.5,4.572344303131104
15,100,4,4,0.0701,1.0,1056.5,4.732751369476318
16,100,4,4,0.13792,0.98,1022.1,4.891664981842041
17,100,4,4,0.10457,0.98,987.1,5.0653955936431885
18,100,4,4,0.19494,0.96,957.6,5.221447467803955
19,100,4,4,0.0447,1.0,926.2,5.398254632949829
20,100,4,4,0.08187,0.98,898.1,5.567470073699951
21,100,4,4,0.06293,0.98,870.4,5.744708061218262
22,100,4,4,0.12544,0.96,843.3,5.929267883300781
23,100,4,4,0.07974,0.96,819.0,6.105159521102905
24,100,4,4,0.15213,0.96,796.5,6.27746844291687
25,100,4,4,0.02525,1.0,774.8,6.453277587890625
26,100,4,4,0.04496,0.98,755.8,6.615881204605103
27,100,4,4,0.07896,0.98,739.2,6.764038324356079
28,100,4,4,0.11141,0.98,723.2,6.913849830627441
29,100,4,4,0.05476,1.0,707.9,7.063554286956787
30,100,4,4,0.06994,1.0,692.6,7.2189040184021
31,100,4,4,0.04711,0.98,678.7,7.366983890533447
32,100,4,4,0.02788,1.0,662.9,7.542478561401367
33,100,4,4,0.06344,0.98,649.4,7.699115514755249
34,100,4,4,0.03192,1.0,636.0,7.862173557281494
35,100,4,4,0.0963,0.96,624.1,8.01191258430481
36,100,4,4,0.11134,0.96,612.9,8.158259630203247
37,100,4,4,0.07201,0.98,600.7,8.323689460754395
38,100,4,4,0.03467,1.0,589.7,8.479317426681519
39,100,4,4,0.18631,0.94,578.3,8.64614462852478
40,100,4,4,0.06762,0.96,569.1,8.785506248474121
41,100,4,4,0.05988,0.98,559.0,8.944175958633423
