epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.61131,0.2,2477.9,2.017799139022827
2,100,4,4,1.6099,0.2,2356.8,2.121516704559326
3,100,4,4,1.60785,0.24,2284.1,2.1890532970428467
4,100,4,4,1.60963,0.14,2152.4,2.323037624359131
5,100,4,4,1.60949,0.2,2085.0,2.398112773895264
6,100,4,4,1.60963,0.16,2029.0,2.464274883270264
7,100,4,4,1.60913,0.16,1908.0,2.620518207550049
8,100,4,4,1.61057,0.2,1859.8,2.68839955329895
9,100,4,4,1.6094,0.22,1815.0,2.7547922134399414
10,100,4,4,1.60545,0.28,1742.9,2.868788003921509
11,100,4,4,1.57922,0.28,1647.4,3.035085201263428
12,100,4,4,1.41251,0.2,1588.2,3.148279190063477
13,100,4,4,1.50383,0.38,1549.6,3.2266478538513184
14,100,4,4,1.32094,0.38,1471.9,3.3969409465789795
15,100,4,4,1.30533,0.42,1408.2,3.550715208053589
16,100,4,4,1.23608,0.46,1380.7,3.621342420578003
17,100,4,4,1.14301,0.44,1342.5,3.724470615386963
18,100,4,4,1.15062,0.42,1318.4,3.792614698410034
19,100,4,4,1.18799,0.42,1294.5,3.862572193145752
20,100,4,4,1.24967,0.32,1248.7,4.004106044769287
21,100,4,4,1.1962,0.42,1191.1,4.197629690170288
22,100,4,4,1.09131,0.5,1147.6,4.356942653656006
23,100,4,4,1.06525,0.44,1130.2,4.423830509185791
24,100,4,4,1.06457,0.5,1093.8,4.571056604385376
25,100,4,4,1.01429,0.58,1073.5,4.657539367675781
26,100,4,4,1.02325,0.48,1058.4,4.7240612506866455
27,100,4,4,0.99339,0.52,1031.7,4.846530914306641
28,100,4,4,1.01039,0.5,1017.8,4.912411451339722
29,100,4,4,0.94341,0.52,995.1,5.024793148040772
30,100,4,4,0.97732,0.56,970.8,5.150205612182617
31,100,4,4,0.96055,0.56,951.6,5.254201650619507
32,100,4,4,0.90507,0.56,939.8,5.320241451263428
33,100,4,4,0.97944,0.5,912.1,5.482024192810059
34,100,4,4,1.00737,0.48,900.9,5.550039052963257
35,100,4,4,0.9999,0.42,890.2,5.616863489151001
36,100,4,4,0.9812,0.5,862.4,5.797439336776733
37,100,4,4,0.94396,0.58,849.8,5.883665323257446
38,100,4,4,0.94447,0.52,838.0,5.9664623737335205
39,100,4,4,0.88133,0.52,814.4,6.139158248901367
40,100,4,4,0.87011,0.48,798.0,6.265405416488648
41,100,4,4,0.8309,0.5,783.5,6.381856441497803
