epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,10,10,1.64834,0.2,5925.2,2.531567335128784
2,100,10,10,1.55694,0.28,4909.3,3.05539608001709
3,100,10,10,1.48213,0.36667,4184.5,3.5846424102783203
4,100,10,10,1.39959,0.47333,3638.6,4.122490167617798
5,100,10,10,1.33796,0.52,3197.6,4.69100546836853
6,100,10,10,1.16242,0.60667,2853.8,5.256136417388916
7,100,10,10,0.91812,0.73333,2520.7,5.950633049011231
8,100,10,10,0.85373,0.7,2305.3,6.506680727005005
9,100,10,10,0.74405,0.74,2124.8,7.0594775676727295
10,100,10,10,0.55503,0.87333,1976.5,7.589263200759888
11,100,10,10,0.51585,0.88,1844.3,8.13331651687622
12,100,10,10,0.4175,0.86,1719.9,8.721287488937378
13,100,10,10,0.49291,0.86,1621.4,9.25126838684082
14,100,10,10,0.35053,0.9,1530.9,9.798028707504272
15,100,10,10,0.31884,0.92,1454.7,10.3115975856781
16,100,10,10,0.28467,0.9,1383.6,10.84094762802124
17,100,10,10,0.28846,0.89333,1320.3,11.36121129989624
18,100,10,10,0.2553,0.91333,1260.4,11.901137351989746
19,100,10,10,0.32496,0.88667,1207.2,12.425330638885498
20,100,10,10,0.28764,0.90667,1157.5,12.958539485931396
21,100,10,10,0.18913,0.95333,1109.9,13.514248132705688
22,100,10,10,0.14457,0.96,1067.9,14.046794414520264
23,100,10,10,0.27428,0.89333,1028.6,14.582427978515623
24,100,10,10,0.1927,0.94,994.5,15.08311891555786
25,100,10,10,0.26044,0.93333,961.0,15.608656167984009
26,100,10,10,0.21171,0.94,931.0,16.11089587211609
27,100,10,10,0.24106,0.92667,901.8,16.63306975364685
28,100,10,10,0.21006,0.90667,872.6,17.190871477127075
29,100,10,10,0.40145,0.9,846.5,17.719906330108643
30,100,10,10,0.20982,0.92667,821.8,18.253148078918457
31,100,10,10,0.25299,0.92,797.8,18.80161666870117
32,100,10,10,0.31452,0.90667,775.2,19.350125551223755
33,100,10,10,0.23825,0.91333,754.8,19.873077630996704
34,100,10,10,0.17649,0.95333,733.9,20.43815779685974
35,100,10,10,0.11385,0.98,716.2,20.944886922836304
36,100,10,10,0.2848,0.91333,698.6,21.47187662124633
37,100,10,10,0.14074,0.95333,681.5,22.01103091239929
38,100,10,10,0.16254,0.94667,663.6,22.60249900817871
39,100,10,10,0.28599,0.92667,647.6,23.16135883331299
40,100,10,10,0.13337,0.96,632.3,23.722233533859253
41,100,10,10,0.22361,0.92667,618.5,24.252822399139404
42,100,10,10,0.08879,0.98,603.9,24.83971881866455
43,100,10,10,0.16331,0.94667,590.3,25.40913963317871
44,100,10,10,0.10081,0.97333,577.5,25.97230887413025
45,100,10,10,0.15843,0.95333,566.2,26.49228024482727
46,100,10,10,0.22191,0.93333,554.4,27.05384135246277
47,100,10,10,0.10744,0.97333,543.5,27.59936499595642
48,100,10,10,0.16977,0.95333,533.3,28.12522029876709
49,100,10,10,0.10312,0.96,522.5,28.707932233810425
50,100,10,10,0.11802,0.96,512.6,29.263901472091675
51,100,10,10,0.0957,0.97333,503.0,29.82002091407776
52,100,10,10,0.24656,0.92,493.9,30.37034487724304
53,100,10,10,0.13931,0.95333,485.4,30.901070833206177
54,100,10,10,0.17678,0.95333,477.4,31.418946027755737
55,100,10,10,0.12582,0.95333,469.1,31.977291584014893
56,100,10,10,0.13361,0.96,461.0,32.53744339942932
57,100,10,10,0.17981,0.92667,453.3,33.08806562423706
58,100,10,10,0.12601,0.97333,446.3,33.611830711364746
59,100,10,10,0.1437,0.96667,439.1,34.160858392715454
60,100,10,10,0.17608,0.91333,432.1,34.71622967720032
61,100,10,10,0.10314,0.96667,425.3,35.27115273475647
62,100,10,10,0.11102,0.96,418.7,35.82099223136902
63,100,10,10,0.11919,0.98,412.3,36.38395929336548
64,100,10,10,0.17659,0.93333,406.3,36.91497898101807
65,100,10,10,0.12265,0.95333,400.9,37.41816735267639
66,100,10,10,0.05835,0.98667,395.6,37.91463756561279
67,100,10,10,0.10828,0.96667,390.3,38.42950749397278
68,100,10,10,0.15311,0.96667,385.2,38.94506072998047
69,100,10,10,0.12413,0.96,380.3,39.43806266784668
70,100,10,10,0.05523,0.99333,375.5,39.94395065307617
71,100,10,10,0.09095,0.96667,370.7,40.460275173187256
72,100,10,10,0.07009,0.98667,366.1,40.97647929191589
73,100,10,10,0.08463,0.98667,361.5,41.495046854019165
74,100,10,10,0.0836,0.97333,357.0,42.0138247013092
75,100,10,10,0.06547,0.98,352.4,42.56527185440064
76,100,10,10,0.10689,0.95333,348.2,43.07411527633667
77,100,10,10,0.09272,0.96,343.7,43.63842964172363
78,100,10,10,0.05158,0.98,339.5,44.1884765625
