epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,10,10,1.48322,0.38,6918.8,2.1680054664611816
2,100,10,10,0.72615,0.88667,5882.0,2.550159215927124
3,100,10,10,0.37446,0.97333,5180.7,2.895334959030152
4,100,10,10,0.23526,0.98,4649.6,3.2261054515838623
5,100,10,10,0.10085,0.99333,4224.3,3.5508527755737305
6,100,10,10,0.07227,1.0,3841.5,3.904754638671875
7,100,10,10,0.05015,0.98667,3545.2,4.231042861938477
8,100,10,10,0.04638,1.0,3286.0,4.564762830734253
9,100,10,10,0.0394,0.99333,3059.8,4.902318239212036
10,100,10,10,0.02743,1.0,2854.4,5.255105018615723
11,100,10,10,0.0261,1.0,2680.6,5.595855474472046
12,100,10,10,0.03236,1.0,2531.0,5.926534175872803
13,100,10,10,0.03875,0.99333,2401.6,6.245837211608887
14,100,10,10,0.02074,0.99333,2281.2,6.575492143630981
15,100,10,10,0.02332,1.0,2163.7,6.93241286277771
16,100,10,10,0.03926,0.98667,2052.4,7.308408975601196
17,100,10,10,0.00876,1.0,1951.3,7.6872053146362305
18,100,10,10,0.02542,1.0,1864.9,8.043213605880737
19,100,10,10,0.01101,1.0,1781.4,8.420534372329712
20,100,10,10,0.01063,1.0,1708.8,8.778167486190796
21,100,10,10,0.0093,1.0,1641.4,9.13830852508545
22,100,10,10,0.01764,1.0,1573.9,9.53056812286377
23,100,10,10,0.00921,1.0,1514.5,9.90433669090271
24,100,10,10,0.05761,0.98667,1459.0,10.281357765197754
25,100,10,10,0.01166,1.0,1411.5,10.627033472061155
26,100,10,10,0.01603,1.0,1368.5,10.961057186126707
27,100,10,10,0.01139,1.0,1326.5,11.307595252990724
28,100,10,10,0.00559,1.0,1283.1,11.69005274772644
29,100,10,10,0.01645,0.99333,1244.1,12.056660652160645
30,100,10,10,0.00883,1.0,1208.2,12.415481805801392
31,100,10,10,0.02521,0.99333,1174.5,12.771726369857788
32,100,10,10,0.00348,1.0,1141.1,13.145339965820312
33,100,10,10,0.01255,0.99333,1110.3,13.509483575820925
34,100,10,10,0.02677,0.99333,1078.6,13.907094955444336
35,100,10,10,0.05132,0.99333,1053.5,14.237682104110718
36,100,10,10,0.02245,0.99333,1027.6,14.597459077835085
37,100,10,10,0.03288,0.99333,1003.8,14.942805051803589
38,100,10,10,0.04344,0.99333,980.9,15.292385339736938
39,100,10,10,0.01515,1.0,957.7,15.662623405456545
40,100,10,10,0.01483,1.0,937.2,16.005916357040405
41,100,10,10,0.03169,0.98667,917.4,16.35110855102539
42,100,10,10,0.04284,0.98667,894.8,16.763831853866577
43,100,10,10,0.02652,0.98667,876.4,17.115214347839355
44,100,10,10,0.00869,1.0,858.3,17.475523948669434
45,100,10,10,0.02262,1.0,840.7,17.842090368270874
46,100,10,10,0.01847,0.99333,824.8,18.18590021133423
47,100,10,10,0.02028,1.0,808.4,18.55518245697021
48,100,10,10,0.01284,1.0,793.7,18.899332761764526
49,100,10,10,0.02628,0.99333,777.9,19.283450841903687
50,100,10,10,0.00691,1.0,764.0,19.632895708084103
51,100,10,10,0.04291,0.99333,749.2,20.02098536491394
52,100,10,10,0.00911,1.0,736.6,20.36341691017151
53,100,10,10,0.0038,1.0,723.7,20.72636842727661
54,100,10,10,0.00954,1.0,711.6,21.080111980438232
55,100,10,10,0.01122,0.99333,699.1,21.45558261871338
56,100,10,10,0.00473,1.0,688.2,21.79754900932312
57,100,10,10,0.00257,1.0,677.4,22.143048524856567
58,100,10,10,0.00321,1.0,666.3,22.51266050338745
59,100,10,10,0.02928,0.99333,655.9,22.870421171188354
60,100,10,10,0.00908,1.0,645.3,23.24582433700561
61,100,10,10,0.02827,0.99333,635.3,23.6110908985138
62,100,10,10,0.02358,0.99333,626.6,23.93914008140564
63,100,10,10,0.02766,0.98667,616.9,24.316343545913696
64,100,10,10,0.04692,0.98667,607.7,24.68512964248657
65,100,10,10,0.0375,0.98667,598.4,25.06658387184143
66,100,10,10,0.02793,0.99333,590.7,25.3941490650177
67,100,10,10,0.00756,1.0,582.7,25.743399620056152
68,100,10,10,0.03087,0.98,574.7,26.10128664970398
69,100,10,10,0.02596,0.99333,566.7,26.466758012771606
70,100,10,10,0.02059,0.99333,558.6,26.85124373435974
71,100,10,10,0.01088,1.0,551.9,27.178119897842407
72,100,10,10,0.00728,1.0,545.5,27.498081922531128
73,100,10,10,0.00273,1.0,538.1,27.875717878341675
74,100,10,10,0.00598,1.0,530.7,28.2636456489563
75,100,10,10,0.01253,0.99333,523.5,28.65138339996338
76,100,10,10,0.01374,0.99333,516.4,29.045088529586792
