epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,10,10,1.33354,0.55333,4837.4,3.100834846496582
2,100,10,10,0.46062,0.94667,4219.6,3.554870367050171
3,100,10,10,0.1577,0.98667,3742.2,4.008317232131958
4,100,10,10,0.05944,1.0,3371.4,4.449147701263428
5,100,10,10,0.0591,0.98,3051.1,4.916227579116821
6,100,10,10,0.04004,1.0,2793.7,5.369170904159546
7,100,10,10,0.03296,1.0,2585.2,5.80214786529541
8,100,10,10,0.08842,0.97333,2411.2,6.220901012420654
9,100,10,10,0.0599,0.98,2265.9,6.61998724937439
10,100,10,10,0.06321,0.98667,2140.4,7.008003234863281
11,100,10,10,0.02393,1.0,2030.7,7.386767625808716
12,100,10,10,0.04799,0.98667,1928.8,7.776675224304199
13,100,10,10,0.11823,0.95333,1827.1,8.209592342376709
14,100,10,10,0.06869,0.97333,1729.7,8.67225432395935
15,100,10,10,0.06741,0.98667,1646.4,9.110686540603638
16,100,10,10,0.09883,0.96,1575.0,9.523518800735474
17,100,10,10,0.07866,0.98,1496.7,10.02209997177124
18,100,10,10,0.06603,0.98,1432.5,10.471376657485962
19,100,10,10,0.01985,1.0,1374.4,10.913520097732544
20,100,10,10,0.02596,1.0,1328.6,11.290008306503296
21,100,10,10,0.04899,0.98667,1281.2,11.708045959472656
22,100,10,10,0.01453,1.0,1237.6,12.120263814926147
23,100,10,10,0.03741,0.99333,1195.1,12.551479816436768
24,100,10,10,0.04524,0.99333,1155.1,12.98628306388855
25,100,10,10,0.08626,0.98,1112.1,13.48786449432373
26,100,10,10,0.13864,0.94667,1079.0,13.9014093875885
27,100,10,10,0.08523,0.98,1043.0,14.38110637664795
28,100,10,10,0.0912,0.96,1013.0,14.808139324188232
29,100,10,10,0.19181,0.94,982.7,15.26335310935974
30,100,10,10,0.05663,0.98667,955.1,15.705432891845703
31,100,10,10,0.05212,0.98667,930.1,16.126962661743164
32,100,10,10,0.03301,0.98667,901.3,16.641921997070312
33,100,10,10,0.03212,0.98,880.7,17.03261137008667
34,100,10,10,0.07586,0.99333,861.0,17.421629667282104
35,100,10,10,0.04461,0.98667,840.5,17.84689497947693
36,100,10,10,0.09328,0.96667,821.9,18.25011944770813
37,100,10,10,0.02402,0.99333,803.7,18.66349530220032
38,100,10,10,0.07952,0.98,785.6,19.094878435134888
39,100,10,10,0.01587,1.0,768.0,19.530295610427856
40,100,10,10,0.02102,1.0,752.0,19.94725251197815
41,100,10,10,0.00673,1.0,736.5,20.365788459777832
42,100,10,10,0.03311,0.98667,720.5,20.81922578811645
43,100,10,10,0.02881,0.99333,706.2,21.24087643623352
44,100,10,10,0.15266,0.96,691.6,21.68944764137268
45,100,10,10,0.0345,0.98667,678.1,22.12187981605529
46,100,10,10,0.03333,0.99333,664.4,22.577820777893063
47,100,10,10,0.03129,0.99333,651.3,23.03209686279297
48,100,10,10,0.01822,0.99333,640.4,23.42461514472961
49,100,10,10,0.00446,1.0,628.6,23.86313223838806
50,100,10,10,0.00379,1.0,618.1,24.26825475692749
51,100,10,10,0.01045,1.0,606.5,24.732203245162964
52,100,10,10,0.00577,1.0,595.5,25.1894371509552
53,100,10,10,0.01337,1.0,586.0,25.59871292114257
54,100,10,10,0.00472,1.0,576.0,26.042869329452515
55,100,10,10,0.01075,1.0,566.6,26.47501230239868
56,100,10,10,0.00734,1.0,557.9,26.887279748916622
57,100,10,10,0.02732,0.99333,549.8,27.28140878677368
58,100,10,10,0.00636,0.99333,541.2,27.714723825454712
59,100,10,10,0.00535,1.0,533.1,28.13792061805725
60,100,10,10,0.00167,1.0,524.9,28.57640552520752
61,100,10,10,0.0165,1.0,517.0,29.01340413093567
62,100,10,10,0.00237,1.0,509.5,29.43982005119324
63,100,10,10,0.00163,1.0,502.2,29.86729407310486
64,100,10,10,0.01101,0.99333,494.6,30.329910039901733
65,100,10,10,0.07587,0.97333,486.9,30.807618856430054
66,100,10,10,0.01077,0.99333,480.6,31.209916830062863
67,100,10,10,0.01814,0.99333,474.3,31.626277923583984
68,100,10,10,0.02715,0.99333,467.6,32.076350688934326
69,100,10,10,0.04091,0.99333,461.1,32.52846884727478
70,100,10,10,0.02927,0.99333,455.4,32.93655776977539
71,100,10,10,0.00768,1.0,449.5,33.370824575424194
72,100,10,10,0.00595,1.0,443.6,33.8173828125
73,100,10,10,0.00612,1.0,438.3,34.22407054901123
74,100,10,10,0.00759,1.0,433.2,34.623615026474
75,100,10,10,0.00388,1.0,427.8,35.06424069404602
76,100,10,10,0.00808,1.0,421.8,35.55875301361084
77,100,10,10,0.00184,1.0,417.0,35.97254824638367
78,100,10,10,0.00245,1.0,411.9,36.41618490219116
79,100,10,10,0.01226,0.99333,406.7,36.88535189628601
80,100,10,10,0.00741,1.0,402.0,37.31749558448792
81,100,10,10,0.01288,1.0,397.3,37.75014162063599
82,100,10,10,0.05865,0.98667,393.0,38.16885232925415
83,100,10,10,0.01724,0.99333,388.3,38.627166986465454
84,100,10,10,0.03677,0.98667,384.3,39.03457474708557
85,100,10,10,0.0167,1.0,379.5,39.5294234752655
86,100,10,10,0.0999,0.98667,375.4,39.955050230026245
87,100,10,10,0.02741,0.98667,371.5,40.37381029129028
88,100,10,10,0.01153,1.0,367.6,40.80144476890564
89,100,10,10,0.0102,0.99333,363.7,41.24015593528748
90,100,10,10,0.01408,1.0,360.3,41.62756276130676
91,100,10,10,0.00401,1.0,356.8,42.04079294204712
92,100,10,10,0.0076,1.0,353.2,42.4691436290741
93,100,10,10,0.00444,1.0,349.8,42.87819218635559
94,100,10,10,0.00393,1.0,346.6,43.273839473724365
95,100,10,10,0.00278,1.0,343.2,43.70643138885498
96,100,10,10,0.00241,1.0,339.6,44.16323113441467
97,100,10,10,0.00279,1.0,336.5,44.57162761688232
98,100,10,10,0.00181,1.0,333.4,44.98538541793823
99,100,10,10,0.00215,1.0,330.3,45.41807818412781
100,100,10,10,0.00103,1.00000,327.4,45.81292104721069
