epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.61129,0.2,2452.1,2.039050817489624
2,100,4,4,1.6116,0.1,2371.6,2.1082706451416016
3,100,4,4,1.60983,0.2,2299.9,2.1740260124206543
4,100,4,4,1.61018,0.2,2227.9,2.244267702102661
5,100,4,4,1.60941,0.22,2164.6,2.309896230697632
6,100,4,4,1.61034,0.08,2104.8,2.3754703998565674
7,100,4,4,1.61034,0.2,2046.2,2.443561792373657
8,100,4,4,1.61025,0.2,1989.7,2.512912511825561
9,100,4,4,1.60993,0.18,1929.8,2.590981960296631
10,100,4,4,1.60986,0.2,1881.8,2.6570582389831543
11,100,4,4,1.60982,0.2,1835.9,2.723438739776612
12,100,4,4,1.60924,0.2,1791.1,2.79154634475708
13,100,4,4,1.60965,0.2,1747.8,2.86067533493042
14,100,4,4,1.60825,0.22,1706.8,2.9295313358306885
15,100,4,4,1.60847,0.2,1647.4,3.0350849628448486
16,100,4,4,1.60963,0.2,1601.5,3.1220829486846924
17,100,4,4,1.61048,0.18,1568.2,3.1884334087371826
18,100,4,4,1.61054,0.12,1535.7,3.255773067474365
19,100,4,4,1.60955,0.2,1504.8,3.322624683380127
20,100,4,4,1.60866,0.26,1465.3,3.412239789962769
21,100,4,4,1.60897,0.2,1419.6,3.522027015686035
22,100,4,4,1.60962,0.24,1392.3,3.5911107063293457
23,100,4,4,1.60911,0.18,1356.7,3.6854360103607178
24,100,4,4,1.60995,0.2,1332.2,3.753081798553467
25,100,4,4,1.60996,0.2,1307.5,3.824188709259033
26,100,4,4,1.60966,0.18,1284.8,3.891558408737183
27,100,4,4,1.60933,0.2,1263.0,3.9589478969573975
28,100,4,4,1.60974,0.2,1241.9,4.025965929031372
29,100,4,4,1.61004,0.24,1221.0,4.095099925994873
30,100,4,4,1.60965,0.26,1201.5,4.161478281021118
31,100,4,4,1.60867,0.16,1181.1,4.233240365982056
32,100,4,4,1.60939,0.2,1162.6,4.300588369369507
33,100,4,4,1.60765,0.2,1145.2,4.3660502433776855
34,100,4,4,1.61076,0.2,1128.0,4.43276834487915
35,100,4,4,1.60933,0.2,1111.5,4.498462915420532
36,100,4,4,1.61148,0.18,1095.3,4.565014839172363
37,100,4,4,1.61067,0.18,1079.3,4.632546424865723
38,100,4,4,1.60949,0.18,1063.9,4.699770927429199
39,100,4,4,1.60976,0.2,1048.5,4.768498182296753
40,100,4,4,1.61013,0.2,1033.6,4.837257385253906
41,100,4,4,1.6101,0.2,1011.9,4.94117283821106
42,100,4,4,1.60905,0.2,993.3,5.033697605133057
43,100,4,4,1.61073,0.2,978.6,5.109411239624023
44,100,4,4,1.60948,0.16,964.9,5.181788206100464
45,100,4,4,1.61004,0.2,951.2,5.256380796432495
46,100,4,4,1.60917,0.2,937.7,5.332331895828247
47,100,4,4,1.60968,0.2,926.0,5.399429082870483
48,100,4,4,1.60848,0.2,914.7,5.4662487506866455
49,100,4,4,1.61097,0.2,903.4,5.534527778625488
50,100,4,4,1.60953,0.2,890.2,5.616865634918213
51,100,4,4,1.60988,0.2,879.7,5.6835105419158936
52,100,4,4,1.61116,0.22,869.6,5.749731779098511
53,100,4,4,1.61025,0.18,859.2,5.819675922393799
54,100,4,4,1.60992,0.22,845.3,5.914921998977661
