epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.53363,0.34,2183.3,2.2900638580322266
2,100,4,4,0.79419,0.98,2050.4,2.4385290145874023
3,100,4,4,0.42102,1.0,1919.2,2.605278968811035
4,100,4,4,0.29244,0.98,1807.3,2.7665324211120605
5,100,4,4,0.16872,1.0,1703.4,2.935234785079956
6,100,4,4,0.16261,1.0,1616.0,3.094035387039185
7,100,4,4,0.12235,0.96,1536.5,3.254058599472046
8,100,4,4,0.07671,0.98,1464.7,3.413571357727051
9,100,4,4,0.05872,1.0,1400.8,3.569514036178589
10,100,4,4,0.0399,1.0,1326.0,3.770728349685669
11,100,4,4,0.06931,1.0,1272.9,3.9280946254730233
12,100,4,4,0.03027,1.0,1223.1,4.087890386581421
13,100,4,4,0.10105,0.98,1179.2,4.240264177322388
14,100,4,4,0.12024,0.98,1141.0,4.381956577301025
15,100,4,4,0.07724,0.98,1101.8,4.537869930267334
16,100,4,4,0.06248,1.0,1062.0,4.707879543304443
17,100,4,4,0.13759,0.96,1023.3,4.886054992675781
18,100,4,4,0.09065,0.96,991.3,5.04367733001709
19,100,4,4,0.03588,1.0,961.6,5.199537992477417
20,100,4,4,0.09405,0.98,933.5,5.355906486511231
21,100,4,4,0.12511,0.98,907.5,5.5095813274383545
22,100,4,4,0.0293,1.0,879.5,5.685152769088745
23,100,4,4,0.0606,0.98,853.7,5.857095718383789
24,100,4,4,0.0335,1.0,832.5,6.00624680519104
25,100,4,4,0.06468,0.98,811.5,6.161801338195801
26,100,4,4,0.08263,0.98,791.0,6.321470260620117
27,100,4,4,0.04221,1.0,771.9,6.477874755859375
28,100,4,4,0.04749,1.0,754.0,6.631371259689331
29,100,4,4,0.15978,0.94,737.4,6.780140161514282
30,100,4,4,0.08173,0.98,720.2,6.9422526359558105
31,100,4,4,0.04906,0.98,702.3,7.119935512542725
32,100,4,4,0.05159,0.98,686.8,7.280352830886841
33,100,4,4,0.06508,0.98,673.1,7.428208112716675
34,100,4,4,0.06029,1.0,658.7,7.591141939163208
35,100,4,4,0.07295,0.98,646.0,7.739800453186035
36,100,4,4,0.11932,0.98,633.2,7.896744251251221
37,100,4,4,0.04836,0.98,621.5,8.045695543289185
38,100,4,4,0.0779,0.98,608.1,8.222416400909424
39,100,4,4,0.04695,0.98,596.6,8.381150484085083
40,100,4,4,0.14838,0.96,587.0,8.517639875411987
41,100,4,4,0.07989,0.98,576.6,8.67175579071045
42,100,4,4,0.06097,0.98,565.6,8.840566635131836
43,100,4,4,0.02449,1.0,554.2,9.022576332092283
44,100,4,4,0.14236,0.96,543.0,9.207311630249023
45,100,4,4,0.12916,0.98,533.9,9.36453342437744
46,100,4,4,0.02068,1.0,525.1,9.522845029830933
47,100,4,4,0.02468,1.0,516.8,9.67424774169922
48,100,4,4,0.0505,0.98,508.5,9.833733797073364
49,100,4,4,0.05957,0.98,499.8,10.003333806991575
50,100,4,4,0.05219,0.98,490.8,10.187130689620972
51,100,4,4,0.02107,1.0,483.0,10.351935863494871
52,100,4,4,0.113,0.96,475.7,10.510074138641356
53,100,4,4,0.07961,0.98,468.8,10.666473388671877
54,100,4,4,0.018,1.0,462.7,10.805114269256592
55,100,4,4,0.0297,1.0,456.6,10.951674938201904
56,100,4,4,0.03379,1.0,450.1,11.108567476272585
57,100,4,4,0.03547,0.98,444.1,11.257714748382568
58,100,4,4,0.01929,1.0,437.6,11.42640781402588
59,100,4,4,0.01358,1.0,431.5,11.586629152297974
60,100,4,4,0.02537,1.0,425.4,11.753474235534668
61,100,4,4,0.01843,1.0,419.8,11.909072160720823
62,100,4,4,0.03097,0.98,414.1,12.072989225387571
63,100,4,4,0.03972,0.98,409.2,12.21907877922058
64,100,4,4,0.01291,1.0,404.4,12.364739894866943
65,100,4,4,0.13857,0.98,398.9,12.53554081916809
66,100,4,4,0.13384,0.98,393.6,12.70176601409912
67,100,4,4,0.02167,1.0,388.8,12.859574556350708
68,100,4,4,0.03274,0.98,384.2,13.014679431915283
69,100,4,4,0.01991,1.0,379.1,13.190124273300173
70,100,4,4,0.05851,0.98,374.1,13.365240335464478
71,100,4,4,0.00867,1.0,369.8,13.522356033325195
72,100,4,4,0.00594,1.0,365.4,13.684948921203612
73,100,4,4,0.13615,0.96,360.5,13.869643211364746
74,100,4,4,0.01225,1.0,355.3,14.070772886276243
75,100,4,4,0.05746,0.98,351.0,14.246317148208618
76,100,4,4,0.01206,1.0,346.9,14.412545204162598
77,100,4,4,0.01098,1.0,343.0,14.578985929489136
78,100,4,4,0.01251,1.0,339.3,14.736576795578005
79,100,4,4,0.03157,0.98,335.5,14.900947332382202
80,100,4,4,0.01539,1.0,332.0,15.059548377990724
81,100,4,4,0.05016,0.98,328.3,15.227665424346924
82,100,4,4,0.09926,0.98,325.0,15.385465621948242
83,100,4,4,0.01456,1.0,321.5,15.550789833068848
84,100,4,4,0.09323,0.96,318.2,15.715642929077148
85,100,4,4,0.02571,1.0,314.9,15.87973690032959
86,100,4,4,0.29054,0.94,311.7,16.041183710098267
87,100,4,4,0.06774,0.98,308.3,16.21841263771057
88,100,4,4,0.0997,0.96,305.0,16.394405364990234
89,100,4,4,0.01458,1.0,301.4,16.587152004241943
90,100,4,4,0.0824,0.98,298.6,16.746230125427246
91,100,4,4,0.11068,0.96,295.4,16.92676615715027
92,100,4,4,0.0262,1.0,292.5,17.091675519943237
93,100,4,4,0.10134,0.96,289.8,17.255407094955444
94,100,4,4,0.06402,0.98,287.1,17.418524265289307
95,100,4,4,0.047,0.98,284.3,17.585296869277954
96,100,4,4,0.10729,0.96,281.7,17.749383449554443
97,100,4,4,0.06273,0.98,279.1,17.915903568267822
98,100,4,4,0.02904,1.0,276.3,18.0947048664093
99,100,4,4,0.05162,0.98,273.7,18.27113485336304
100,100,4,4,0.09385,0.98000,271.2,18.434726238250732
