epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,10,10,1.54144,0.28667,6079.7,2.4672160148620605
2,100,10,10,1.35792,0.56,5025.2,2.984931707382202
3,100,10,10,1.25405,0.63333,4289.9,3.4965522289276123
4,100,10,10,1.08632,0.76667,3729.0,4.022573471069336
5,100,10,10,0.99682,0.74667,3315.2,4.524663925170898
6,100,10,10,0.83271,0.85333,2974.5,5.042909860610962
7,100,10,10,0.78969,0.82,2603.9,5.760680198669434
8,100,10,10,0.65978,0.89333,2375.1,6.3156561851501465
9,100,10,10,0.5929,0.91333,2171.5,6.90752387046814
10,100,10,10,0.55514,0.89333,2017.0,7.436781406402588
11,100,10,10,0.46815,0.92667,1875.6,7.997574329376221
12,100,10,10,0.4299,0.97333,1751.9,8.562310218811035
13,100,10,10,0.39232,0.95333,1650.7,9.087233543395996
14,100,10,10,0.34815,0.94667,1550.1,9.67676043510437
15,100,10,10,0.2725,0.96667,1472.9,10.183676958084106
16,100,10,10,0.25547,0.96667,1401.2,10.7054340839386
17,100,10,10,0.20209,0.98667,1336.9,11.219791173934937
18,100,10,10,0.1771,0.98,1270.8,11.803833961486816
19,100,10,10,0.17105,0.98,1211.8,12.37839412689209
20,100,10,10,0.16032,0.99333,1162.1,12.907480001449583
21,100,10,10,0.15137,0.98667,1114.6,13.458040952682495
22,100,10,10,0.11048,0.99333,1071.4,14.000430345535278
23,100,10,10,0.12,0.98,1030.7,14.553231239318848
24,100,10,10,0.09483,0.98667,993.0,15.105177640914915
25,100,10,10,0.11528,0.98,960.0,15.6251060962677
26,100,10,10,0.07015,0.99333,927.6,16.17087745666504
27,100,10,10,0.09547,0.98667,899.0,16.684871435165405
28,100,10,10,0.06187,1.0,872.1,17.199485301971436
29,100,10,10,0.04666,1.0,845.9,17.733490467071533
30,100,10,10,0.08681,0.98667,820.3,18.28669810295105
31,100,10,10,0.05731,0.99333,796.0,18.844239711761475
32,100,10,10,0.05122,1.0,773.1,19.401628017425537
33,100,10,10,0.0357,1.0,750.0,19.999011993408203
