epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.55807,0.32,2438.6,2.050386905670166
2,100,4,4,1.04742,0.58,2316.9,2.158060073852539
3,100,4,4,0.79095,0.68,2212.9,2.259440898895264
4,100,4,4,0.52098,0.84,2117.3,2.361515998840332
5,100,4,4,0.38264,0.86,1990.0,2.512514114379883
6,100,4,4,0.24013,0.92,1913.5,2.613008499145508
7,100,4,4,0.17852,0.92,1842.6,2.713512420654297
8,100,4,4,0.16706,0.96,1776.3,2.8148834705352783
9,100,4,4,0.09611,0.94,1684.8,2.967654228210449
10,100,4,4,0.06233,0.98,1626.4,3.074216365814209
11,100,4,4,0.04297,0.98,1556.8,3.211635112762451
12,100,4,4,0.06577,0.96,1487.4,3.361630916595459
13,100,4,4,0.07841,0.96,1444.0,3.462599277496338
14,100,4,4,0.20894,0.96,1403.4,3.562734842300415
15,100,4,4,0.07805,0.96,1364.2,3.665028095245361
16,100,4,4,0.13031,0.94,1310.6,3.814919948577881
17,100,4,4,0.0473,0.98,1272.1,3.9303810596466064
18,100,4,4,0.04464,0.96,1240.4,4.030845403671265
19,100,4,4,0.03271,1.0,1210.0,4.132098197937012
20,100,4,4,0.02706,1.0,1176.7,4.249166250228882
21,100,4,4,0.0094,1.0,1149.3,4.350345849990845
22,100,4,4,0.01505,1.0,1119.9,4.464739084243774
23,100,4,4,0.00227,1.0,1084.2,4.61163330078125
24,100,4,4,0.00113,1.0,1061.1,4.711909770965576
25,100,4,4,0.00116,1.0,1038.8,4.813030004501343
26,100,4,4,0.001,1.0,1007.3,4.963805913925171
27,100,4,4,0.00011,1.0,977.5,5.115349531173706
28,100,4,4,9e-05,1.0,948.5,5.271742582321167
29,100,4,4,3e-05,1.0,930.6,5.373144865036011
30,100,4,4,1e-05,1.0,913.6,5.473134517669678
31,100,4,4,0.00011,1.0,887.3,5.635113716125488
32,100,4,4,2e-05,1.0,869.6,5.7500646114349365
33,100,4,4,1e-05,1.0,854.6,5.850362062454224
34,100,4,4,2e-05,1.0,833.7,5.997613906860352
35,100,4,4,1e-05,1.0,814.6,6.138020515441895
36,100,4,4,1e-05,1.0,801.4,6.238791942596436
37,100,4,4,1e-05,1.0,788.6,6.340381860733032
38,100,4,4,1e-05,1.0,770.7,6.487295866012573
39,100,4,4,1e-05,1.0,753.0,6.640045642852783
40,100,4,4,0.0,1.0,738.3,6.772146224975586
41,100,4,4,1e-05,1.0,727.4,6.873676300048828
42,100,4,4,1e-05,1.0,712.3,7.019448280334473
43,100,4,4,0.0,1.0,697.1,7.172366142272949
44,100,4,4,1e-05,1.0,687.5,7.27282190322876
45,100,4,4,0.0,1.0,678.0,7.374398469924927
46,100,4,4,0.0,1.0,665.2,7.517096996307373
47,100,4,4,0.0,1.0,656.3,7.618486881256103
48,100,4,4,0.0,1.0,647.6,7.721029996871948
49,100,4,4,1e-05,1.0,638.9,7.825397729873657
50,100,4,4,0.0,1.0,627.0,7.97415018081665
51,100,4,4,1e-05,1.0,618.8,8.080730438232422
52,100,4,4,0.0,1.0,610.2,8.193593263626099
53,100,4,4,0.0,1.0,599.3,8.34329342842102
54,100,4,4,0.0,1.0,591.0,8.459556102752686
55,100,4,4,0.0,1.0,584.0,8.561769723892212
56,100,4,4,0.0,1.0,577.0,8.664986610412598
57,100,4,4,1e-05,1.0,567.7,8.8082115650177
58,100,4,4,0.0,1.0,561.2,8.909732103347778
59,100,4,4,1e-05,1.0,554.9,9.01129913330078
60,100,4,4,1e-05,1.0,548.7,9.113259315490724
61,100,4,4,0.0,1.0,541.9,9.226176977157593
62,100,4,4,1e-05,1.0,536.1,9.326818466186523
63,100,4,4,0.0,1.0,527.8,9.473442316055298
64,100,4,4,0.0,1.0,519.5,9.624478816986084
65,100,4,4,0.0,1.0,514.0,9.728325366973875
66,100,4,4,0.0,1.0,508.7,9.828468084335327
67,100,4,4,0.0,1.0,503.5,9.9297137260437
68,100,4,4,0.0,1.0,496.3,10.073815822601318
69,100,4,4,0.0,1.0,490.8,10.186659574508669
70,100,4,4,0.0,1.0,486.0,10.287811756134031
71,100,4,4,0.0,1.0,479.6,10.425064086914062
72,100,4,4,0.0,1.0,474.9,10.528244495391846
73,100,4,4,0.0,1.0,470.4,10.628886461257936
74,100,4,4,0.0,1.0,465.4,10.743706703186035
75,100,4,4,0.0,1.0,458.9,10.895594835281372
76,100,4,4,0.0,1.0,454.1,11.010469913482666
77,100,4,4,0.0,1.0,450.0,11.11029577255249
78,100,4,4,0.0,1.0,446.0,11.211902856826782
79,100,4,4,0.0,1.0,440.2,11.359550714492798
80,100,4,4,2e-05,1.0,435.6,11.478866815567017
81,100,4,4,0.0,1.0,431.7,11.583364725112917
82,100,4,4,0.0,1.0,426.3,11.728315591812134
83,100,4,4,0.0,1.0,422.7,11.828969717025757
84,100,4,4,0.0,1.0,419.1,11.930211305618286
85,100,4,4,0.0,1.0,415.6,12.030442237854004
86,100,4,4,0.0,1.0,412.2,12.13070583343506
87,100,4,4,0.0,1.0,408.8,12.231114387512209
88,100,4,4,0.0,1.0,405.4,12.333864212036133
89,100,4,4,0.0,1.0,402.0,12.436405897140505
90,100,4,4,0.0,1.0,398.8,12.53664207458496
91,100,4,4,0.0,1.0,395.2,12.6519136428833
92,100,4,4,0.0,1.0,391.7,12.76556634902954
93,100,4,4,0.0,1.0,388.4,12.87193751335144
94,100,4,4,0.0,1.0,385.0,12.98606300354004
95,100,4,4,0.0,1.0,381.0,13.122888565063477
96,100,4,4,0.0,1.0,378.1,13.223174810409546
97,100,4,4,0.0,1.0,375.3,13.324175834655762
98,100,4,4,0.0,1.0,372.4,13.425020217895508
99,100,4,4,0.0,1.0,369.7,13.526031732559204
100,100,4,4,0.00000,1.00000,366.9,13.626567602157593
