epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,6.16138,0.1,2548.6,1.9618990421295168
2,100,4,4,3.85223,0.34,2307.7,2.1667048931121826
3,100,4,4,2.11781,0.44,2098.6,2.382493257522583
4,100,4,4,1.6132,0.5,1892.2,2.6424880027771
5,100,4,4,1.28314,0.58,1745.0,2.8652522563934326
6,100,4,4,0.83141,0.82,1613.1,3.099650621414185
7,100,4,4,0.53112,0.78,1507.6,3.316498279571533
8,100,4,4,0.61583,0.78,1419.0,3.523533582687378
9,100,4,4,0.36942,0.84,1328.8,3.762660503387451
10,100,4,4,0.29471,0.9,1253.5,3.988870143890381
11,100,4,4,0.27521,0.94,1191.0,4.198236465454102
12,100,4,4,0.40764,0.86,1133.3,4.411914825439453
13,100,4,4,0.16978,0.94,1076.7,4.643611669540405
14,100,4,4,0.24655,0.92,1029.8,4.85542631149292
15,100,4,4,0.20636,0.94,988.1,5.06008505821228
16,100,4,4,0.2175,0.94,946.4,5.283105134963989
17,100,4,4,0.0634,1.0,911.4,5.486155271530151
18,100,4,4,0.26924,0.96,879.0,5.688591718673706
19,100,4,4,0.08014,0.98,847.7,5.898309230804443
20,100,4,4,0.07461,0.98,818.5,6.108581066131592
21,100,4,4,0.15887,0.94,790.4,6.3258092403411865
22,100,4,4,0.14164,0.94,765.1,6.534945726394653
23,100,4,4,0.08055,0.96,740.5,6.7523033618927
24,100,4,4,0.10612,0.98,718.2,6.962074518203735
25,100,4,4,0.13932,0.94,696.3,7.181282043457031
26,100,4,4,0.11851,0.96,676.3,7.393690824508667
27,100,4,4,0.03937,1.0,655.2,7.631159543991089
28,100,4,4,0.02185,1.0,634.7,7.877468585968018
29,100,4,4,0.09021,0.96,618.8,8.080262899398804
30,100,4,4,0.07987,0.98,603.8,8.280497789382935
31,100,4,4,0.1119,0.98,589.4,8.483744144439697
32,100,4,4,0.04546,0.98,573.5,8.717847108840942
33,100,4,4,0.03042,1.0,558.2,8.95786190032959
34,100,4,4,0.09576,0.96,544.6,9.18069553375244
35,100,4,4,0.11389,0.96,531.0,9.41695499420166
36,100,4,4,0.23573,0.92,519.0,9.633416175842283
37,100,4,4,0.12767,0.96,507.6,9.851157665252686
38,100,4,4,0.03519,1.0,495.5,10.090404510498049
39,100,4,4,0.01299,1.0,485.0,10.310262680053713
40,100,4,4,0.084,0.98,474.3,10.541422367095947
41,100,4,4,0.05658,0.98,465.0,10.753445386886597
42,100,4,4,0.03111,1.0,454.7,10.99641251564026
43,100,4,4,0.00993,1.0,445.6,11.21987509727478
44,100,4,4,0.10785,0.96,436.7,11.450536012649536
45,100,4,4,0.07231,0.98,426.8,11.716254472732544
46,100,4,4,0.09062,0.98,418.2,11.954787731170654
47,100,4,4,0.02197,1.0,410.1,12.191394090652466
48,100,4,4,0.12878,0.96,402.5,12.421674489974976
49,100,4,4,0.01998,1.0,395.1,12.655622005462646
50,100,4,4,0.07414,0.96,388.3,12.876728534698486
51,100,4,4,0.11785,0.96,380.4,13.145594835281372
52,100,4,4,0.04848,0.98,373.7,13.37826371192932
53,100,4,4,0.07026,0.96,367.7,13.59957790374756
54,100,4,4,0.01397,1.0,361.8,13.820786714553831
55,100,4,4,0.16236,0.96,356.5,14.02530074119568
56,100,4,4,0.04611,1.0,350.5,14.264023780822754
57,100,4,4,0.07453,0.98,345.3,14.482227325439451
58,100,4,4,0.03799,0.98,340.1,14.700719118118286
59,100,4,4,0.05254,0.98,335.3,14.911958932876589
60,100,4,4,0.01295,1.0,330.4,15.130997896194458
61,100,4,4,0.03579,0.98,325.8,15.348394632339478
62,100,4,4,0.02093,1.0,321.4,15.557536363601685
63,100,4,4,0.02792,1.0,316.9,15.777530670166016
64,100,4,4,0.03199,1.0,312.8,15.98339557647705
65,100,4,4,0.16423,0.96,309.0,16.182288885116577
66,100,4,4,0.06564,0.96,305.3,16.376354694366455
67,100,4,4,0.03049,0.98,301.1,16.60380506515503
68,100,4,4,0.01223,1.0,297.4,16.80972957611084
69,100,4,4,0.08255,0.96,293.5,17.033717155456543
70,100,4,4,0.01946,1.0,289.8,17.25478959083557
71,100,4,4,0.01526,1.0,285.9,17.48650860786438
72,100,4,4,0.08251,0.96,282.3,17.708975553512573
73,100,4,4,0.01476,1.0,278.7,17.94172954559326
74,100,4,4,0.03633,1.0,275.3,18.16322636604309
75,100,4,4,0.12581,0.98,272.2,18.36615753173828
76,100,4,4,0.03099,0.98,269.4,18.56280493736267
77,100,4,4,0.04028,0.98,266.2,18.782839059829712
78,100,4,4,0.06413,0.98,263.4,18.98193907737732
79,100,4,4,0.03035,0.98,260.5,19.1907970905304
80,100,4,4,0.03435,1.0,258.0,19.38244390487671
81,100,4,4,0.00873,1.0,255.3,19.58763957023621
82,100,4,4,0.01736,1.0,252.6,19.792426586151123
