epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,10.19648,0.1,2970.3,1.683304786682129
2,100,4,4,4.37465,0.32,2718.6,1.8392131328582764
3,100,4,4,2.24207,0.6,2535.7,1.9718194007873533
4,100,4,4,1.45945,0.7,2358.5,2.1200051307678223
5,100,4,4,0.75432,0.76,2202.8,2.269843816757202
6,100,4,4,0.50206,0.8,2076.0,2.40845274925232
7,100,4,4,0.78778,0.8,1952.3,2.56112003326416
8,100,4,4,0.68172,0.74,1833.2,2.7274105548858643
9,100,4,4,0.39792,0.86,1734.5,2.882735252380371
10,100,4,4,0.36087,0.92,1647.7,3.034453630447388
11,100,4,4,0.23854,0.88,1567.9,3.1889071464538574
12,100,4,4,0.16684,0.9,1506.0,3.3200619220733643
13,100,4,4,0.10888,0.96,1441.1,3.4696273803710938
14,100,4,4,0.12408,0.96,1387.1,3.604711771011353
15,100,4,4,0.17955,0.98,1337.1,3.739297151565552
16,100,4,4,0.13981,0.98,1285.6,3.889342069625856
17,100,4,4,0.116,0.96,1238.3,4.0376739501953125
18,100,4,4,0.16888,0.94,1198.6,4.171488285064697
19,100,4,4,0.20377,0.98,1155.5,4.3271074295043945
20,100,4,4,0.05571,1.0,1117.0,4.476285219192505
21,100,4,4,0.09033,0.96,1082.1,4.620570182800293
22,100,4,4,0.06299,0.98,1047.6,4.772815704345703
23,100,4,4,0.20847,0.92,1017.4,4.914384126663208
24,100,4,4,0.0522,0.98,992.4,5.038274049758911
25,100,4,4,0.1661,0.96,967.2,5.1695215702056885
26,100,4,4,0.15693,0.96,942.2,5.306949853897095
27,100,4,4,0.09904,0.98,920.3,5.4330153465271
28,100,4,4,0.0513,0.98,899.8,5.557014226913452
29,100,4,4,0.20705,0.98,879.1,5.687726259231567
30,100,4,4,0.0356,1.0,858.9,5.8214216232299805
31,100,4,4,0.07992,0.98,838.7,5.961299896240234
32,100,4,4,0.07497,0.98,819.2,6.103268623352051
33,100,4,4,0.05145,0.98,799.8,6.251510858535767
34,100,4,4,0.13006,0.96,780.1,6.409631967544556
35,100,4,4,0.06575,0.98,763.4,6.549725294113159
36,100,4,4,0.12269,0.96,747.2,6.69192910194397
37,100,4,4,0.02281,1.0,731.9,6.831441640853882
38,100,4,4,0.08746,0.98,718.8,6.95613431930542
39,100,4,4,0.11214,0.96,704.8,7.094504356384277
40,100,4,4,0.12282,0.98,691.8,7.227223396301269
41,100,4,4,0.05935,0.98,678.2,7.372296571731567
42,100,4,4,0.06884,0.98,664.7,7.522340297698975
43,100,4,4,0.16781,0.98,653.3,7.653136968612671
44,100,4,4,0.04475,1.0,641.0,7.799818515777588
45,100,4,4,0.14451,0.96,630.6,7.92941403388977
46,100,4,4,0.03915,0.98,619.2,8.075119018554688
47,100,4,4,0.04844,1.0,608.7,8.213604211807251
48,100,4,4,0.08216,1.0,598.2,8.358865976333618
49,100,4,4,0.20871,0.94,588.4,8.497033596038818
50,100,4,4,0.03358,1.0,578.3,8.645545721054077
51,100,4,4,0.1303,0.98,569.0,8.786722183227539
52,100,4,4,0.01624,1.0,560.0,8.928402662277222
53,100,4,4,0.12494,0.98,551.1,9.072718858718872
54,100,4,4,0.14243,0.98,542.6,9.214767456054688
55,100,4,4,0.03332,1.0,535.0,9.345689296722412
56,100,4,4,0.06545,0.96,526.1,9.50302267074585
57,100,4,4,0.03471,1.0,518.5,9.64263653755188
58,100,4,4,0.02213,1.0,511.0,9.785589218139648
59,100,4,4,0.03094,1.0,504.2,9.916108846664429
60,100,4,4,0.01211,1.0,497.8,10.043652534484863
61,100,4,4,0.04822,0.98,491.8,10.165729999542236
62,100,4,4,0.04023,0.98,485.8,10.292337894439695
63,100,4,4,0.09557,0.98,478.9,10.441352128982544
64,100,4,4,0.02577,1.0,473.1,10.568832397460938
65,100,4,4,0.0183,1.0,466.8,10.711589574813845
66,100,4,4,0.04229,0.98,461.0,10.846722602844238
67,100,4,4,0.03991,1.0,454.9,10.991111993789673
68,100,4,4,0.02189,1.0,449.5,11.122609853744509
69,100,4,4,0.17859,0.98,443.7,11.269834995269775
70,100,4,4,0.02454,1.0,438.2,11.411340951919556
71,100,4,4,0.093,0.98,432.8,11.552865505218506
72,100,4,4,0.04133,0.98,427.7,11.690664052963257
73,100,4,4,0.03831,1.0,422.8,11.826689720153809
74,100,4,4,0.01922,1.0,417.8,11.967608213424684
75,100,4,4,0.19632,0.98,413.2,12.1009202003479
76,100,4,4,0.11423,0.98,408.6,12.23757529258728
77,100,4,4,0.01673,1.0,404.3,12.365735530853271
78,100,4,4,0.04175,0.98,400.3,12.492167234420776
79,100,4,4,0.01721,1.0,396.3,12.617477178573608
80,100,4,4,0.01837,1.0,392.4,12.741136074066162
81,100,4,4,0.0221,1.0,387.7,12.896990776062012
82,100,4,4,0.03042,1.0,384.0,13.021435499191284
83,100,4,4,0.00761,1.0,380.2,13.150930881500244
84,100,4,4,0.01969,1.0,376.7,13.271476030349731
85,100,4,4,0.02469,1.0,372.8,13.410869359970093
86,100,4,4,0.02222,0.98,369.5,13.532915353775024
87,100,4,4,0.01844,1.0,366.1,13.65669584274292
88,100,4,4,0.05918,0.98,362.8,13.783188581466677
89,100,4,4,0.06893,0.96,359.0,13.926294088363647
90,100,4,4,0.05848,0.98,355.6,14.060916185379028
91,100,4,4,0.01841,1.0,351.5,14.226529359817505
92,100,4,4,0.017,1.0,347.8,14.375078201293944
93,100,4,4,0.1064,0.96,344.2,14.524857997894289
94,100,4,4,0.16118,0.94,340.9,14.668884992599487
95,100,4,4,0.07371,0.98,337.7,14.804955005645752
96,100,4,4,0.08626,0.98,334.8,14.933693885803224
97,100,4,4,0.07121,0.98,331.9,15.066232681274414
98,100,4,4,0.03079,1.0,328.9,15.204463243484495
99,100,4,4,0.04707,0.98,326.2,15.328355312347412
100,100,4,4,0.10392,0.98000,323.2,15.470360040664673
