epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,6.48894,0.24,2267.3,2.2052559852600098
2,100,4,4,1.32297,0.7,2095.7,2.385789155960083
3,100,4,4,0.41706,0.9,1967.6,2.5411489009857178
4,100,4,4,0.15723,0.94,1848.5,2.7048678398132324
5,100,4,4,0.11004,0.96,1745.8,2.8640456199646
6,100,4,4,0.17438,0.94,1655.1,3.0210018157958984
7,100,4,4,0.08839,0.94,1564.9,3.1951744556427
8,100,4,4,0.25057,0.98,1491.8,3.351621627807617
9,100,4,4,0.0831,0.96,1419.7,3.5219171047210693
10,100,4,4,0.0403,0.98,1361.7,3.671949625015259
11,100,4,4,0.2146,0.96,1299.8,3.846827745437622
12,100,4,4,0.02022,1.0,1250.7,3.997694730758667
13,100,4,4,0.13969,0.98,1201.4,4.161929130554199
14,100,4,4,0.05257,1.0,1154.9,4.329379558563232
15,100,4,4,0.03035,0.98,1114.3,4.487041473388672
16,100,4,4,0.05121,0.98,1071.0,4.668461322784424
17,100,4,4,0.06997,0.96,1034.9,4.831412076950073
18,100,4,4,0.11663,0.98,1004.3,4.978794097900391
19,100,4,4,0.09499,0.96,969.9,5.155154705047607
20,100,4,4,0.10985,0.96,937.2,5.335148572921753
21,100,4,4,0.18553,0.94,911.4,5.486069440841675
22,100,4,4,0.06484,0.98,885.9,5.643756151199341
23,100,4,4,0.044,0.98,860.4,5.8112874031066895
24,100,4,4,0.02552,0.98,835.5,5.984277963638306
25,100,4,4,0.02034,1.0,813.0,6.150003671646118
26,100,4,4,0.20654,0.96,792.7,6.307633638381958
27,100,4,4,0.17468,0.96,773.3,6.466057300567627
28,100,4,4,0.12382,0.98,753.6,6.634963750839233
29,100,4,4,0.01817,1.0,734.3,6.809506177902222
30,100,4,4,0.03116,1.0,716.5,6.978659629821777
31,100,4,4,0.20517,0.94,700.0,7.142395257949829
32,100,4,4,0.07162,0.98,684.9,7.300031185150146
33,100,4,4,0.21304,0.94,669.6,7.467224359512329
34,100,4,4,0.10389,0.96,655.3,7.630404710769653
35,100,4,4,0.02609,1.0,640.8,7.802992582321167
36,100,4,4,0.24439,0.98,626.4,7.98184323310852
37,100,4,4,0.0317,1.0,614.4,8.138249397277832
38,100,4,4,0.0521,0.96,603.2,8.289360523223877
39,100,4,4,0.01997,1.0,591.7,8.450907707214355
40,100,4,4,0.02347,1.0,579.4,8.629200220108032
41,100,4,4,0.01737,1.0,568.2,8.799582719802856
42,100,4,4,0.02833,1.0,557.4,8.970437288284302
43,100,4,4,0.01394,1.0,546.4,9.150033712387083
44,100,4,4,0.0186,1.0,536.1,9.326084613800049
45,100,4,4,0.00982,1.0,527.4,9.480790853500366
46,100,4,4,0.01031,1.0,518.9,9.635056018829346
47,100,4,4,0.03513,1.0,510.4,9.79568886756897
48,100,4,4,0.18834,0.96,502.0,9.959431886672974
49,100,4,4,0.01348,1.0,494.4,10.114141464233398
50,100,4,4,0.02869,0.98,487.0,10.267032146453856
51,100,4,4,0.00789,1.0,479.8,10.419934749603271
52,100,4,4,0.09167,0.98,473.0,10.570165872573853
53,100,4,4,0.00478,1.0,466.0,10.73066520690918
54,100,4,4,0.03938,0.96,459.7,10.877697467803957
55,100,4,4,0.00871,1.0,453.1,11.034884452819824
56,100,4,4,0.03594,0.98,447.0,11.18505048751831
57,100,4,4,0.15774,0.96,440.6,11.348409175872805
58,100,4,4,0.00865,1.0,434.0,11.521493434906006
59,100,4,4,0.01752,1.0,427.9,11.684769868850708
60,100,4,4,0.006,1.0,421.7,11.857096433639526
61,100,4,4,0.12294,0.98,416.0,12.019923448562622
62,100,4,4,0.0869,0.98,410.8,12.171720266342165
63,100,4,4,0.01078,1.0,406.0,12.316044569015505
64,100,4,4,0.02357,0.98,400.9,12.470438957214355
65,100,4,4,0.02095,0.98,396.2,12.620828866958618
66,100,4,4,0.01354,1.0,390.9,12.79233455657959
67,100,4,4,0.14225,0.96,384.7,12.99666953086853
68,100,4,4,0.00941,1.0,380.3,13.147027969360352
69,100,4,4,0.11013,0.98,375.5,13.315809726715088
70,100,4,4,0.01761,1.0,370.8,13.484758138656616
71,100,4,4,0.01015,1.0,365.9,13.663454055786133
72,100,4,4,0.01352,1.0,361.6,13.825932264328005
73,100,4,4,0.01894,1.0,357.4,13.990561962127686
74,100,4,4,0.03638,1.0,353.3,14.15203619003296
75,100,4,4,0.00669,1.0,349.7,14.297494411468506
76,100,4,4,0.00723,1.0,345.5,14.472307205200195
77,100,4,4,0.12723,0.98,341.8,14.626968383789062
78,100,4,4,0.13482,0.98,338.0,14.79086971282959
79,100,4,4,0.03112,1.0,334.7,14.939296960830688
80,100,4,4,0.04174,0.98,331.2,15.096399784088137
81,100,4,4,0.03898,1.0,327.1,15.285682201385498
82,100,4,4,0.02447,1.0,323.5,15.457112789154053
83,100,4,4,0.03262,0.98,320.1,15.620222091674805
84,100,4,4,0.01461,1.0,316.8,15.784774541854858
85,100,4,4,0.0481,0.98,313.5,15.949121952056885
86,100,4,4,0.0087,1.0,310.5,16.10351276397705
87,100,4,4,0.00688,1.0,307.7,16.248220443725586
88,100,4,4,0.00971,1.0,304.8,16.405678033828735
89,100,4,4,0.01507,1.0,301.6,16.576069355010986
90,100,4,4,0.01119,1.0,298.6,16.747073888778687
91,100,4,4,0.11813,0.96,295.5,16.92305874824524
92,100,4,4,0.02864,0.98,292.6,17.0863778591156
93,100,4,4,0.00653,1.0,289.7,17.26011300086975
94,100,4,4,0.00589,1.0,287.0,17.424344062805176
95,100,4,4,0.01279,1.0,284.3,17.585191011428833
96,100,4,4,0.06429,0.98,281.4,17.76771306991577
97,100,4,4,0.00992,1.0,278.8,17.935189723968506
98,100,4,4,0.02673,0.98,276.3,18.09781265258789
99,100,4,4,0.07133,0.96,273.8,18.25913977622986
100,100,4,4,0.01321,1.00000,271.4,18.42081356048584
