epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,9.68759,0.1,2475.7,2.0196428298950195
2,100,4,4,1.69256,0.3,2344.6,2.1325180530548096
3,100,4,4,1.25424,0.5,2238.2,2.233961582183838
4,100,4,4,1.13919,0.66,2140.9,2.335498809814453
5,100,4,4,0.96899,0.78,2050.0,2.439008474349976
6,100,4,4,0.82039,0.82,1967.8,2.540950059890747
7,100,4,4,0.55326,0.82,1891.3,2.643706798553467
8,100,4,4,0.37418,0.9,1819.9,2.7474191188812256
9,100,4,4,0.24908,0.92,1754.0,2.8506109714508057
10,100,4,4,0.14714,1.0,1690.5,2.9576895236968994
11,100,4,4,0.1894,0.9,1634.7,3.058622598648072
12,100,4,4,0.05823,0.98,1581.8,3.160940647125244
13,100,4,4,0.03544,1.0,1529.1,3.269834518432617
14,100,4,4,0.03272,1.0,1478.1,3.3827829360961914
15,100,4,4,0.0096,1.0,1403.0,3.5638298988342285
16,100,4,4,0.01185,1.0,1364.3,3.664925575256348
17,100,4,4,0.00249,1.0,1323.7,3.777231216430664
18,100,4,4,0.00241,1.0,1278.6,3.9106428623199454
19,100,4,4,0.00084,1.0,1218.8,4.102275609970093
20,100,4,4,0.00051,1.0,1188.8,4.206010818481445
21,100,4,4,0.00041,1.0,1160.3,4.309406757354736
22,100,4,4,0.00021,1.0,1132.9,4.413404941558838
23,100,4,4,0.00102,1.0,1082.8,4.617835283279419
24,100,4,4,0.0002,1.0,1059.7,4.71835732460022
25,100,4,4,0.00018,1.0,1028.8,4.86009669303894
26,100,4,4,0.00012,1.0,989.7,5.051952838897705
27,100,4,4,7e-05,1.0,950.7,5.259033441543579
28,100,4,4,7e-05,1.0,913.6,5.473001003265381
29,100,4,4,0.00014,1.0,880.4,5.679489850997925
30,100,4,4,7e-05,1.0,855.3,5.845701694488525
31,100,4,4,6e-05,1.0,832.2,6.007904767990112
32,100,4,4,3e-05,1.0,804.7,6.213442325592041
33,100,4,4,0.00017,1.0,781.6,6.397540330886841
34,100,4,4,6e-05,1.0,768.8,6.503527641296387
35,100,4,4,0.00018,1.0,757.1,6.604268550872803
36,100,4,4,2e-05,1.0,745.2,6.709415674209595
37,100,4,4,6e-05,1.0,734.2,6.810520648956299
38,100,4,4,3e-05,1.0,723.4,6.911962270736694
39,100,4,4,6e-05,1.0,710.5,7.037366628646851
40,100,4,4,5e-05,1.0,691.1,7.234925031661987
41,100,4,4,2e-05,1.0,681.0,7.342361927032471
42,100,4,4,2e-05,1.0,671.7,7.443514585494995
43,100,4,4,2e-05,1.0,662.6,7.545751094818115
44,100,4,4,5e-05,1.0,653.8,7.647719860076904
45,100,4,4,6e-05,1.0,643.9,7.76558256149292
46,100,4,4,2e-05,1.0,635.6,7.867074489593506
47,100,4,4,2e-05,1.0,627.4,7.969059228897095
48,100,4,4,4e-05,1.0,619.5,8.071457386016846
49,100,4,4,4e-05,1.0,611.7,8.173807144165039
50,100,4,4,1e-05,1.0,604.3,8.274591207504272
51,100,4,4,1e-05,1.0,596.9,8.376152038574219
52,100,4,4,2e-05,1.0,589.8,8.477271556854248
53,100,4,4,4e-05,1.0,582.7,8.581310510635376
54,100,4,4,1e-05,1.0,570.6,8.76317286491394
55,100,4,4,1e-05,1.0,564.0,8.865395784378052
56,100,4,4,2e-05,1.0,556.2,8.989869356155396
57,100,4,4,1e-05,1.0,546.9,9.142334699630736
58,100,4,4,1e-05,1.0,534.6,9.353516101837158
59,100,4,4,2e-05,1.0,523.7,9.548344373703005
60,100,4,4,1e-05,1.0,512.9,9.749234437942505
61,100,4,4,1e-05,1.0,503.7,9.926461219787598
62,100,4,4,3e-05,1.0,498.4,10.031702041625977
63,100,4,4,1e-05,1.0,493.3,10.135737895965576
64,100,4,4,1e-05,1.0,488.4,10.237867832183838
65,100,4,4,1e-05,1.0,483.6,10.339956760406494
66,100,4,4,1e-05,1.0,478.8,10.44169020652771
67,100,4,4,3e-05,1.0,474.3,10.54211926460266
68,100,4,4,1e-05,1.0,468.7,10.668307542800903
69,100,4,4,1e-05,1.0,459.7,10.87751579284668
70,100,4,4,0.0,1.0,451.3,11.078672885894775
71,100,4,4,1e-05,1.0,444.6,11.245908975601196
72,100,4,4,0.0,1.0,440.6,11.347520351409912
73,100,4,4,1e-05,1.0,436.6,11.451749563217165
74,100,4,4,1e-05,1.0,432.8,11.554002285003662
75,100,4,4,1e-05,1.0,429.0,11.655036926269531
76,100,4,4,1e-05,1.0,425.1,11.760728597640991
77,100,4,4,0.0,1.0,421.5,11.863410711288452
