epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,4.67657,0.18,2681.0,1.8649544715881348
2,100,4,4,3.00589,0.24,2398.0,2.0851047039031982
3,100,4,4,1.26767,0.68,2177.4,2.296266794204712
4,100,4,4,1.10635,0.6,1977.1,2.528954267501831
5,100,4,4,0.65689,0.72,1819.8,2.747555732727051
6,100,4,4,0.48713,0.8,1686.9,2.963956832885742
7,100,4,4,0.39852,0.86,1565.1,3.1946377754211426
8,100,4,4,0.20532,0.94,1459.8,3.425187110900879
9,100,4,4,0.31438,0.92,1365.9,3.660499095916748
10,100,4,4,0.2258,0.92,1287.3,3.8842196464538574
11,100,4,4,0.22971,0.96,1216.5,4.11016321182251
12,100,4,4,0.20001,0.96,1155.1,4.328587055206299
13,100,4,4,0.27339,0.88,1102.9,4.533452033996582
14,100,4,4,0.08782,0.98,1048.2,4.769874572753906
15,100,4,4,0.08825,0.94,1004.2,4.978862285614014
16,100,4,4,0.08099,0.98,962.0,5.197283983230591
17,100,4,4,0.04581,0.98,921.2,5.427439451217651
18,100,4,4,0.10162,0.96,882.9,5.663428068161011
19,100,4,4,0.09567,0.98,850.0,5.882544994354248
20,100,4,4,0.04092,1.0,819.9,6.098132610321045
21,100,4,4,0.02586,1.0,787.2,6.351408243179321
22,100,4,4,0.06467,0.98,758.7,6.59043288230896
23,100,4,4,0.03083,1.0,734.5,6.807024002075195
24,100,4,4,0.01847,1.0,712.3,7.019123554229736
25,100,4,4,0.09226,0.98,691.8,7.227503538131714
26,100,4,4,0.05694,0.98,671.2,7.449371576309204
27,100,4,4,0.04708,1.0,651.7,7.671905755996704
28,100,4,4,0.03212,1.0,634.2,7.884219646453857
29,100,4,4,0.09427,0.96,617.1,8.102424144744873
30,100,4,4,0.06135,0.98,601.3,8.31541633605957
31,100,4,4,0.09818,0.96,586.3,8.527873277664185
32,100,4,4,0.02142,1.0,572.9,8.726835012435913
33,100,4,4,0.03882,1.0,559.9,8.930346965789795
34,100,4,4,0.05466,0.98,547.5,9.132359266281128
35,100,4,4,0.09659,0.96,535.0,9.346637725830078
36,100,4,4,0.01137,1.0,523.3,9.55529522895813
37,100,4,4,0.07429,0.98,511.9,9.76683259010315
38,100,4,4,0.01753,1.0,500.1,9.998281240463257
39,100,4,4,0.02169,1.0,489.1,10.22344207763672
40,100,4,4,0.02896,1.0,477.1,10.47999119758606
41,100,4,4,0.10708,0.94,466.0,10.730257987976074
42,100,4,4,0.06426,1.0,455.9,10.968512535095217
43,100,4,4,0.0325,1.0,446.0,11.21056628227234
44,100,4,4,0.0239,1.0,437.2,11.435200929641724
45,100,4,4,0.04135,0.98,429.9,11.631290197372437
46,100,4,4,0.04952,0.98,422.4,11.836575508117676
47,100,4,4,0.04543,0.98,415.0,12.04697561264038
48,100,4,4,0.11579,0.98,408.1,12.251352787017822
49,100,4,4,0.03179,0.98,401.4,12.457206964492798
50,100,4,4,0.02568,0.98,394.1,12.685745239257812
51,100,4,4,0.01425,1.0,387.4,12.905795335769652
52,100,4,4,0.02032,1.0,380.6,13.137999296188354
53,100,4,4,0.02652,1.0,374.2,13.362727165222168
54,100,4,4,0.04063,0.98,367.6,13.600313901901243
55,100,4,4,0.06493,0.98,360.8,13.85779333114624
56,100,4,4,0.02411,0.98,354.7,14.096855401992798
57,100,4,4,0.0534,0.98,349.3,14.313611268997192
58,100,4,4,0.05446,0.98,344.0,14.534778833389282
59,100,4,4,0.1373,0.98,339.2,14.740543842315674
60,100,4,4,0.03406,1.0,334.3,14.955891847610474
61,100,4,4,0.0095,1.0,329.6,15.17113161087036
62,100,4,4,0.01813,1.0,325.1,15.37866187095642
63,100,4,4,0.10897,0.96,320.3,15.609654426574709
64,100,4,4,0.01334,1.0,316.1,15.817530155181885
65,100,4,4,0.01432,1.0,311.5,16.05362868309021
66,100,4,4,0.0795,0.98,306.8,16.29909086227417
67,100,4,4,0.01206,1.0,302.4,16.53178858757019
68,100,4,4,0.08303,0.94,298.9,16.72834277153015
69,100,4,4,0.01133,1.0,295.6,16.91424560546875
70,100,4,4,0.01316,1.0,292.2,17.11423134803772
71,100,4,4,0.02693,1.0,288.7,17.320863485336304
72,100,4,4,0.04939,0.98,285.2,17.53027844429016
73,100,4,4,0.01581,1.0,281.9,17.736881971359253
74,100,4,4,0.10221,0.98,278.5,17.953248739242554
75,100,4,4,0.00905,1.0,275.3,18.162195682525635
76,100,4,4,0.03011,0.98,271.7,18.40348076820373
77,100,4,4,0.01662,1.0,268.4,18.62937951087952
78,100,4,4,0.06349,0.98,265.0,18.868269681930546
79,100,4,4,0.0091,1.0,261.5,19.11981511116028
80,100,4,4,0.0106,1.0,258.1,19.37070107460022
81,100,4,4,0.00588,1.0,255.0,19.60991692543029
82,100,4,4,0.00376,1.0,251.9,19.84576797485352
83,100,4,4,0.00374,1.0,249.0,20.0806851387024
84,100,4,4,0.04129,0.98,246.4,20.28981852531433
85,100,4,4,0.01202,1.0,243.6,20.526286363601685
86,100,4,4,0.10244,0.96,241.1,20.73738503456116
87,100,4,4,0.00627,1.0,238.5,20.96042251586914
88,100,4,4,0.09196,0.98,236.0,21.18500018119812
89,100,4,4,0.02987,1.0,233.6,21.399927139282227
90,100,4,4,0.03745,0.98,231.3,21.62113308906555
91,100,4,4,0.01674,1.0,228.8,21.84880423545837
92,100,4,4,0.02286,1.0,226.4,22.0860652923584
93,100,4,4,0.06946,0.96,224.2,22.297778367996216
94,100,4,4,0.11312,0.98,222.0,22.5235059261322
95,100,4,4,0.16682,0.98,219.9,22.732498168945312
96,100,4,4,0.08308,0.98,217.9,22.94405245780945
97,100,4,4,0.02215,1.0,216.0,23.152791261672974
98,100,4,4,0.08369,0.96,213.6,23.40356159210205
99,100,4,4,0.02325,0.98,211.5,23.64284467697144
100,100,4,4,0.00641,1.00000,209.5,23.871020555496216
