epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,4.67245,0.3,2387.0,2.094690561294556
2,100,4,4,1.70283,0.54,2224.3,2.2479472160339355
3,100,4,4,0.64032,0.88,2102.2,2.378485202789306
4,100,4,4,0.32876,0.92,1991.6,2.5105910301208496
5,100,4,4,0.31043,0.92,1884.0,2.6539340019226074
6,100,4,4,0.18762,0.94,1778.1,2.8120009899139404
7,100,4,4,0.09504,0.98,1683.3,2.9702751636505127
8,100,4,4,0.12802,0.96,1606.2,3.1128478050231934
9,100,4,4,0.12939,0.96,1524.2,3.2803826332092285
10,100,4,4,0.08845,0.96,1462.6,3.4184844493865967
11,100,4,4,0.10642,0.98,1401.3,3.5681371688842773
12,100,4,4,0.05565,1.0,1344.3,3.719324827194214
13,100,4,4,0.15679,0.96,1291.3,3.871968984603882
14,100,4,4,0.04121,1.0,1245.4,4.014896392822266
15,100,4,4,0.24988,0.98,1203.7,4.15393853187561
16,100,4,4,0.11738,0.98,1162.4,4.301590919494629
17,100,4,4,0.036,0.98,1125.9,4.441043138504028
18,100,4,4,0.15726,0.96,1088.9,4.592000246047974
19,100,4,4,0.02076,1.0,1052.7,4.749810695648193
20,100,4,4,0.04206,0.98,1021.9,4.892858505249023
21,100,4,4,0.18549,0.96,991.2,5.0442728996276855
22,100,4,4,0.08577,0.96,964.4,5.18457293510437
23,100,4,4,0.11892,0.98,937.3,5.334284782409668
24,100,4,4,0.03431,0.98,911.4,5.486292600631714
25,100,4,4,0.06331,0.98,885.8,5.644552230834961
26,100,4,4,0.02539,1.0,862.3,5.798765659332275
27,100,4,4,0.14897,0.96,839.0,5.959238529205322
28,100,4,4,0.06606,0.98,821.0,6.0897650718688965
29,100,4,4,0.04482,1.0,801.4,6.239186525344849
30,100,4,4,0.08672,0.98,780.9,6.403214693069458
31,100,4,4,0.05076,0.98,764.4,6.54106068611145
32,100,4,4,0.04752,0.98,748.0,6.684239387512207
33,100,4,4,0.01756,1.0,732.4,6.826437711715698
34,100,4,4,0.104,0.98,718.8,6.95583438873291
35,100,4,4,0.02319,1.0,705.0,7.09237813949585
36,100,4,4,0.02512,1.0,692.9,7.215957880020142
37,100,4,4,0.06716,0.98,680.6,7.345941781997681
38,100,4,4,0.02075,1.0,667.2,7.493764638900757
39,100,4,4,0.13584,0.96,655.9,7.622578144073486
40,100,4,4,0.01582,1.0,645.5,7.745540142059326
41,100,4,4,0.1982,0.96,634.9,7.875781059265137
42,100,4,4,0.0841,0.98,624.2,8.00961184501648
43,100,4,4,0.07923,0.98,614.0,8.142934083938599
44,100,4,4,0.04875,0.98,602.9,8.29293441772461
45,100,4,4,0.04012,1.0,592.2,8.44308853149414
46,100,4,4,0.04051,0.98,582.4,8.584619760513306
47,100,4,4,0.05891,0.98,572.1,8.740158557891846
48,100,4,4,0.10276,0.96,563.4,8.875142097473145
49,100,4,4,0.06914,0.98,555.2,9.006484508514404
50,100,4,4,0.0215,1.0,547.5,9.131776809692385
51,100,4,4,0.07325,0.98,539.3,9.270487785339355
52,100,4,4,0.10648,0.98,532.3,9.39238452911377
53,100,4,4,0.01192,1.0,524.8,9.52750039100647
54,100,4,4,0.0557,0.98,517.3,9.66521954536438
55,100,4,4,0.02625,1.0,510.5,9.794203042984009
56,100,4,4,0.01469,1.0,504.1,9.91866421699524
57,100,4,4,0.01336,1.0,497.7,10.046887874603271
58,100,4,4,0.02991,1.0,491.0,10.183953762054443
