epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,50,50,1.45367,0.4575,17098.0,4.678910255432129
2,100,50,50,1.00462,0.7675,10581.9,7.56010627746582
3,100,50,50,0.58744,0.875,7536.9,10.614381313323976
4,100,50,50,0.34832,0.9175,5898.1,13.56371021270752
5,100,50,50,0.24927,0.94875,4846.3,16.507380723953247
6,100,50,50,0.17927,0.95625,4124.0,19.398685932159424
7,100,50,50,0.15688,0.9525,3598.3,22.232697010040283
8,100,50,50,0.09385,0.9825,3189.7,25.08096170425415
9,100,50,50,0.08033,0.97625,2854.8,28.023041248321533
10,100,50,50,0.06171,0.98625,2594.3,30.836375951766968
11,100,50,50,0.04931,0.9925,2379.9,33.614893198013306
12,100,50,50,0.05132,0.9875,2191.2,36.510334491729736
13,100,50,50,0.03754,0.995,2038.6,39.242427110672
14,100,50,50,0.03463,0.9925,1906.3,41.96669864654541
15,100,50,50,0.03951,0.9925,1786.7,44.77610063552856
16,100,50,50,0.01969,0.99625,1679.5,47.63439917564392
17,100,50,50,0.02838,0.9975,1583.1,50.534409046173096
18,100,50,50,0.03485,0.99125,1498.1,53.40215492248535
19,100,50,50,0.01912,0.9975,1425.3,56.12762689590454
20,100,50,50,0.02359,0.995,1354.7,59.05267524719238
21,100,50,50,0.03077,0.9925,1292.2,61.90921378135681
22,100,50,50,0.02175,0.9975,1237.9,64.62762331962585
23,100,50,50,0.02057,0.99625,1185.6,67.47606182098389
24,100,50,50,0.01489,0.99875,1137.0,70.35974717140198
25,100,50,50,0.01492,0.99875,1092.6,73.22201609611511
26,100,50,50,0.01933,0.99625,1051.5,76.08279752731323
27,100,50,50,0.01586,0.995,1013.3,78.95340943336487
28,100,50,50,0.01586,0.995,977.9,81.81092882156372
29,100,50,50,0.01047,0.99625,945.8,84.58467626571655
30,100,50,50,0.01339,0.99875,915.0,87.42972993850708
31,100,50,50,0.00803,1.0,886.0,90.28946805000304
32,100,50,50,0.00734,1.0,859.6,93.06604957580566
33,100,50,50,0.00572,0.99875,832.8,96.05858516693117
34,100,50,50,0.01309,0.99875,808.5,98.94962453842165
35,100,50,50,0.01028,0.99875,785.3,101.8719518184662
36,100,50,50,0.0099,0.99875,763.2,104.82575583457948
37,100,50,50,0.00985,0.99875,742.5,107.74724650382996
38,100,50,50,0.0109,0.9975,723.1,110.63779306411745
39,100,50,50,0.01195,0.9975,705.1,113.45868396759032
40,100,50,50,0.00652,0.99875,687.9,116.3013756275177
41,100,50,50,0.01384,0.9975,670.9,119.24427270889282
42,100,50,50,0.00756,0.99875,655.7,122.00276207923888
43,100,50,50,0.00818,0.99875,641.0,124.80912661552428
44,100,50,50,0.00493,1.0,626.5,127.69047689437866
45,100,50,50,0.00629,0.99875,612.8,130.55730080604553
46,100,50,50,0.01047,0.99375,599.7,133.3979823589325
47,100,50,50,0.01019,0.99625,587.8,136.11166191101074
48,100,50,50,0.01417,0.9975,576.2,138.83198022842407
49,100,50,50,0.01365,0.9975,564.3,141.77126288414
50,100,50,50,0.01164,0.99625,553.4,144.55637884140015
51,100,50,50,0.00612,0.99875,543.2,147.2798707485199
52,100,50,50,0.00946,0.99875,533.2,150.0361409187317
53,100,50,50,0.00586,0.99875,523.8,152.719731092453
54,100,50,50,0.01455,0.9975,514.6,155.456778049469
55,100,50,50,0.0124,0.99875,506.0,158.11800980567932
56,100,50,50,0.00808,0.99875,497.1,160.94222807884216
57,100,50,50,0.00461,0.9975,488.9,163.62251496315002
58,100,50,50,0.00351,1.0,480.8,166.37688374519348
59,100,50,50,0.00509,0.99875,471.9,169.51378107070923
60,100,50,50,0.00398,1.0,464.2,172.35614681243896
61,100,50,50,0.00332,1.0,456.3,175.3220202922821
62,100,50,50,0.00745,0.99875,449.2,178.07584261894226
63,100,50,50,0.00571,0.99875,442.5,180.79318404197693
64,100,50,50,0.00404,0.99875,435.9,183.53338646888733
65,100,50,50,0.0051,1.0,429.5,186.27190804481504
66,100,50,50,0.00255,1.0,423.2,189.0404572486877
67,100,50,50,0.01114,0.99875,417.2,191.77696919441223
68,100,50,50,0.00609,0.99875,410.8,194.71913266181943
69,100,50,50,0.00327,1.0,404.6,197.7498860359192
70,100,50,50,0.00936,0.9975,398.8,200.58510971069336
71,100,50,50,0.00464,0.99875,393.6,203.25112223625183
72,100,50,50,0.00348,1.0,388.4,205.9543812274933
73,100,50,50,0.01692,0.995,383.3,208.71487975120544
74,100,50,50,0.01384,0.9975,378.3,211.4774620532989
75,100,50,50,0.0116,0.9975,373.4,214.2258713245392
76,100,50,50,0.02349,0.995,368.6,217.06223845481875
77,100,50,50,0.00526,0.9975,364.0,219.7665565013885
78,100,50,50,0.00899,0.99625,359.7,222.4217567443848
79,100,50,50,0.01868,0.9975,355.3,225.1868827342987
80,100,50,50,0.00399,0.99875,350.9,228.00260972976685
81,100,50,50,0.00171,1.0,346.5,230.8526954650879
82,100,50,50,0.00793,0.99875,342.3,233.681565284729
83,100,50,50,0.00359,1.0,338.2,236.54292249679563
84,100,50,50,0.00273,1.0,334.3,239.2832317352295
85,100,50,50,0.00185,1.0,330.6,242.0194652080536
86,100,50,50,0.00298,0.99875,326.7,244.8912785053253
87,100,50,50,0.01536,0.995,323.0,247.7007207870484
88,100,50,50,0.01056,0.99375,319.3,250.5467994213104
89,100,50,50,0.01528,0.99625,315.8,253.33559608459475
90,100,50,50,0.00664,0.99875,312.5,256.0027322769165
91,100,50,50,0.00332,0.99875,309.3,258.67327761650085
92,100,50,50,0.00368,1.0,305.8,261.5661745071411
93,100,50,50,0.00239,1.0,302.8,264.2034385204315
94,100,50,50,0.00386,0.99875,299.7,266.9381275177002
95,100,50,50,0.00917,0.99875,296.7,269.6301226615906
96,100,50,50,0.00418,1.0,293.7,272.39745140075684
97,100,50,50,0.00101,1.0,290.6,275.24912667274475
98,100,50,50,0.00133,1.0,287.8,277.9668772220612
99,100,50,50,0.00123,1.0,284.8,280.87134432792664
100,100,50,50,0.00120,1.00000,282.0,283.719717502594
