epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,50,50,0.86094,0.6775,19371.8,4.129719734191895
2,100,50,50,0.38883,0.86625,12459.6,6.4207494258880615
3,100,50,50,0.23029,0.92375,9287.2,8.614037275314331
4,100,50,50,0.15318,0.95,7370.9,10.853432416915894
5,100,50,50,0.08646,0.9725,6090.5,13.135235786437988
6,100,50,50,0.15283,0.95875,5200.9,15.381988525390623
7,100,50,50,0.09157,0.965,4540.3,17.619916677474976
8,100,50,50,0.07923,0.9825,4017.6,19.912167072296143
9,100,50,50,0.03788,0.98875,3613.2,22.140828132629395
10,100,50,50,0.05874,0.98125,3280.9,24.383374214172363
11,100,50,50,0.04279,0.99125,3007.2,26.60316586494445
12,100,50,50,0.05775,0.98125,2778.0,28.797635078430176
13,100,50,50,0.03484,0.9925,2576.9,31.045281410217285
14,100,50,50,0.06965,0.98875,2396.4,33.38313603401184
15,100,50,50,0.05001,0.99125,2245.9,35.620585918426514
16,100,50,50,0.02965,0.9925,2109.5,37.92285180091858
17,100,50,50,0.00767,0.99875,1990.2,40.19724154472351
18,100,50,50,0.00561,1.0,1885.6,42.42582392692566
19,100,50,50,0.00232,1.0,1793.2,44.612616300582886
20,100,50,50,0.00252,1.0,1708.1,46.83656525611877
21,100,50,50,0.00519,0.99875,1629.7,49.08989858627319
22,100,50,50,0.01105,0.9975,1557.8,51.35517477989197
23,100,50,50,0.03446,0.99375,1493.0,53.58442759513855
24,100,50,50,0.03472,0.9925,1433.1,55.82277035713196
25,100,50,50,0.0762,0.97625,1377.9,58.06115126609802
26,100,50,50,0.0964,0.97625,1326.9,60.2917275428772
27,100,50,50,0.05029,0.98375,1276.5,62.67156362533569
28,100,50,50,0.03221,0.99,1231.3,64.97378849983215
29,100,50,50,0.03221,0.99375,1189.2,67.27282166481018
30,100,50,50,0.0822,0.9725,1151.1,69.4980628490448
31,100,50,50,0.06071,0.99,1114.6,71.77647185325623
32,100,50,50,0.02141,0.995,1080.2,74.06278800964355
33,100,50,50,0.02439,0.9925,1048.3,76.31375408172607
34,100,50,50,0.01513,0.99375,1018.1,78.58091831207275
35,100,50,50,0.03239,0.9925,989.4,80.85546374320984
36,100,50,50,0.02476,0.99375,962.2,83.14050817489624
37,100,50,50,0.00659,1.0,937.3,85.34748196601868
38,100,50,50,0.00313,0.99875,912.9,87.62855267524719
39,100,50,50,0.0015,1.0,890.1,89.87405180931091
40,100,50,50,0.00229,0.99875,868.0,92.1611430644989
41,100,50,50,0.00136,1.0,848.1,94.32923769950868
42,100,50,50,0.001,1.0,828.2,96.5940535068512
43,100,50,50,0.00194,1.0,809.3,98.84973692893982
44,100,50,50,0.02257,0.995,791.8,101.03760766983032
45,100,50,50,0.00406,0.99875,774.4,103.30291438102722
46,100,50,50,0.00339,1.0,758.0,105.53829026222228
47,100,50,50,0.01704,0.99375,742.8,107.7053680419922
48,100,50,50,0.0731,0.97875,727.4,109.97715139389038
49,100,50,50,0.07125,0.97375,712.7,112.252450466156
50,100,50,50,0.06388,0.985,698.5,114.53280997276306
51,100,50,50,0.03731,0.98875,685.1,116.76334881782532
52,100,50,50,0.05301,0.9875,672.2,119.02024245262146
53,100,50,50,0.03837,0.9925,659.6,121.29204177856444
54,100,50,50,0.00612,0.99875,647.2,123.60575199127196
55,100,50,50,0.00268,1.0,635.7,125.84790086746216
56,100,50,50,0.00114,1.0,624.4,128.12709498405457
57,100,50,50,0.00147,1.0,613.5,130.38928365707395
58,100,50,50,0.00083,1.0,603.1,132.64419507980347
59,100,50,50,0.00086,1.0,592.7,134.97118163108826
60,100,50,50,0.00057,1.0,582.8,137.27143788337708
61,100,50,50,0.00058,1.0,573.4,139.50969648361206
62,100,50,50,0.00062,1.0,564.3,141.77924013137817
63,100,50,50,0.0004,1.0,555.8,143.94922041893005
64,100,50,50,0.00038,1.0,547.0,146.2409143447876
65,100,50,50,0.0008,1.0,538.7,148.49877977371216
66,100,50,50,0.00068,1.0,530.7,150.75029301643372
67,100,50,50,0.0005,1.0,522.7,153.03789806365967
68,100,50,50,0.00036,1.0,515.2,155.2922661304474
69,100,50,50,0.0003,1.0,507.9,157.51499819755554
70,100,50,50,0.00021,1.0,500.7,159.7908275127411
71,100,50,50,0.00048,1.0,493.5,162.10225248336792
72,100,50,50,0.00025,1.0,486.7,164.36440181732178
73,100,50,50,0.00032,1.0,480.1,166.64365935325625
74,100,50,50,0.00034,1.0,473.7,168.88070631027222
75,100,50,50,0.00032,1.0,467.4,171.15166115760803
76,100,50,50,0.02172,0.99625,461.3,173.43404507637024
77,100,50,50,0.08166,0.98,455.4,175.68703389167786
78,100,50,50,0.03541,0.99125,449.5,177.97547888755798
79,100,50,50,0.0716,0.985,443.9,180.2326045036316
80,100,50,50,0.04124,0.9875,438.4,182.47238969802856
81,100,50,50,0.0781,0.98875,433.0,184.7588393688202
82,100,50,50,0.09533,0.9725,427.8,187.01443910598755
83,100,50,50,0.06302,0.98625,422.7,189.24759817123413
84,100,50,50,0.01323,0.99625,417.5,191.60157179832456
85,100,50,50,0.02435,0.995,412.5,193.91777420043945
86,100,50,50,0.00598,0.9975,407.7,196.230504989624
87,100,50,50,0.01316,0.99875,402.9,198.5388481616974
88,100,50,50,0.00411,0.99875,398.4,200.7885777950287
89,100,50,50,0.00193,1.0,394.0,203.0476233959198
90,100,50,50,0.00347,0.9975,389.6,205.35224556922915
91,100,50,50,0.005,0.99875,385.2,207.7037918567657
92,100,50,50,0.00157,1.0,380.9,210.01797652244568
93,100,50,50,0.00137,1.0,376.8,212.29505610466003
94,100,50,50,0.00055,1.0,372.9,214.55345463752747
95,100,50,50,0.00158,1.0,368.8,216.9434509277344
96,100,50,50,0.00047,1.0,364.8,219.3148100376129
97,100,50,50,0.0009,1.0,361.1,221.55561709403992
98,100,50,50,0.00054,1.0,357.4,223.84428191185
99,100,50,50,0.00024,1.0,353.8,226.09007620811465
100,100,50,50,0.00025,1.00000,350.3,228.36010193824768
