epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,50,50,1.40134,0.46125,17566.5,4.5541298389434814
2,100,50,50,0.95818,0.75375,10767.9,7.429475784301758
3,100,50,50,0.63941,0.81125,7901.5,10.1246817111969
4,100,50,50,0.41057,0.885,6198.4,12.90647268295288
5,100,50,50,0.2789,0.92625,5033.8,15.89262843132019
6,100,50,50,0.20563,0.95,4305.1,18.582510709762573
7,100,50,50,0.15987,0.95375,3736.2,21.411865234375
8,100,50,50,0.15714,0.955,3298.8,24.2514283657074
9,100,50,50,0.13091,0.96875,2969.9,26.937366247177124
10,100,50,50,0.09969,0.97375,2694.2,29.6933822631836
11,100,50,50,0.08329,0.98375,2462.2,32.491297006607056
12,100,50,50,0.07681,0.97625,2274.6,35.17111778259277
13,100,50,50,0.04967,0.9875,2116.2,37.80444359779358
14,100,50,50,0.05963,0.9875,1972.7,40.55399680137634
15,100,50,50,0.04951,0.98625,1847.1,43.311925411224365
16,100,50,50,0.05018,0.98875,1730.9,46.21761631965637
17,100,50,50,0.06033,0.9875,1631.7,49.0287082195282
18,100,50,50,0.04336,0.9875,1545.0,51.77970290184021
19,100,50,50,0.04509,0.9875,1466.7,54.54487729072571
20,100,50,50,0.03151,0.99625,1396.2,57.29891204833984
21,100,50,50,0.04587,0.98375,1329.1,60.18971037864685
22,100,50,50,0.02222,0.99625,1273.7,62.81103801727295
23,100,50,50,0.02134,0.995,1217.9,65.68690347671509
24,100,50,50,0.01864,0.99625,1168.7,68.45235252380371
25,100,50,50,0.01978,0.995,1122.8,71.24853944778442
26,100,50,50,0.02448,0.9925,1078.4,74.18096971511841
27,100,50,50,0.03729,0.99125,1037.8,77.08309149742126
28,100,50,50,0.01513,0.9975,1001.2,79.90014433860779
29,100,50,50,0.01782,0.995,967.0,82.73281049728394
30,100,50,50,0.0251,0.99125,934.9,85.57489728927612
31,100,50,50,0.01176,0.9975,905.8,88.31522250175476
32,100,50,50,0.01093,1.0,877.6,91.15706944465636
33,100,50,50,0.01344,0.99625,851.1,94.00037002563477
34,100,50,50,0.00851,0.99875,825.6,96.90055680274963
35,100,50,50,0.0085,1.0,801.5,99.81058669090272
36,100,50,50,0.00939,0.99875,778.6,102.75382614135742
37,100,50,50,0.01275,0.9975,758.0,105.54062843322754
38,100,50,50,0.01137,0.9975,738.3,108.36217498779295
39,100,50,50,0.02603,0.995,719.1,111.24653100967409
40,100,50,50,0.01454,0.9975,700.9,114.13342118263245
41,100,50,50,0.00524,1.0,684.2,116.92854809761047
42,100,50,50,0.01287,0.9975,668.9,119.6046426296234
43,100,50,50,0.0122,0.9975,654.0,122.32883024215698
44,100,50,50,0.00709,1.0,640.2,124.96738028526306
45,100,50,50,0.00712,0.9975,626.2,127.7541925907135
46,100,50,50,0.00754,0.99875,612.6,130.58629965782166
47,100,50,50,0.00496,1.0,599.7,133.40477752685547
48,100,50,50,0.01558,0.9975,586.7,136.35046291351318
49,100,50,50,0.01133,0.99625,574.6,139.2363600730896
50,100,50,50,0.01464,0.99625,563.3,142.02068662643433
51,100,50,50,0.0124,0.99875,552.8,144.72617602348328
52,100,50,50,0.00666,0.9975,542.8,147.38683080673218
53,100,50,50,0.00251,1.0,532.2,150.330824136734
54,100,50,50,0.01432,0.995,521.9,153.27662682533264
55,100,50,50,0.01378,0.9975,512.2,156.18819642066956
56,100,50,50,0.00453,1.0,503.1,159.00761079788208
57,100,50,50,0.01133,0.9975,494.3,161.83753061294556
58,100,50,50,0.00379,1.0,485.7,164.69692277908325
59,100,50,50,0.00386,1.0,476.8,167.80238127708435
60,100,50,50,0.018,0.9925,468.9,170.59955382347107
61,100,50,50,0.01653,0.99625,461.2,173.46135568618774
62,100,50,50,0.01206,0.995,453.7,176.33478355407715
63,100,50,50,0.00698,1.0,446.5,179.17088294029236
64,100,50,50,0.0033,1.0,439.6,181.97781133651733
65,100,50,50,0.01308,0.99625,432.9,184.8074326515197
66,100,50,50,0.00258,1.0,426.6,187.5305387973785
67,100,50,50,0.0059,0.99875,420.2,190.36949968338013
68,100,50,50,0.00648,0.99875,414.3,193.07784748077395
69,100,50,50,0.00349,1.0,407.8,196.1809957027436
70,100,50,50,0.01194,0.99625,402.6,198.714025259018
71,100,50,50,0.01001,0.99875,397.2,201.39529848098755
72,100,50,50,0.00792,0.9975,391.8,204.18324422836304
73,100,50,50,0.02153,0.99375,386.5,206.9729001522064
74,100,50,50,0.00624,0.9975,381.2,209.84222769737244
75,100,50,50,0.00629,0.9975,376.2,212.6331901550293
76,100,50,50,0.00601,0.9975,371.3,215.440176486969
77,100,50,50,0.00692,0.99625,366.6,218.19196486473083
78,100,50,50,0.00406,1.0,361.9,221.0789992809296
79,100,50,50,0.00339,1.0,357.1,224.03646564483645
80,100,50,50,0.00196,1.0,352.5,226.94860911369324
81,100,50,50,0.00296,1.0,348.3,229.698278427124
82,100,50,50,0.00438,0.99875,344.2,232.40817070007324
83,100,50,50,0.00697,0.9975,340.1,235.2095460891724
84,100,50,50,0.00371,1.0,336.0,238.11504864692688
85,100,50,50,0.0071,0.99625,332.0,240.9487326145172
86,100,50,50,0.0029,1.0,328.3,243.7044677734375
87,100,50,50,0.00209,1.0,324.6,246.49268412590027
88,100,50,50,0.00174,1.0,321.0,249.2425487041473
89,100,50,50,0.00209,1.0,317.4,252.063622713089
90,100,50,50,0.00125,1.0,313.8,254.9655041694641
91,100,50,50,0.00192,1.0,310.3,257.83551144599915
92,100,50,50,0.00078,1.0,306.9,260.68473410606384
93,100,50,50,0.00394,0.99875,303.7,263.3994927406311
94,100,50,50,0.01659,0.9975,300.6,266.1096155643463
95,100,50,50,0.01857,0.9975,297.3,269.0628788471222
96,100,50,50,0.01155,0.99625,294.3,271.8568615913391
97,100,50,50,0.00314,1.0,291.4,274.5438497066498
98,100,50,50,0.00295,0.99875,288.4,277.35858178138733
99,100,50,50,0.00859,0.99875,285.4,280.3481409549713
100,100,50,50,0.00149,1.00000,282.7,283.02564334869385
