epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,50,50,0.97757,0.65875,25194.8,3.17525315284729
2,100,50,50,0.28964,0.91125,16348.8,4.893328666687012
3,100,50,50,0.15984,0.9475,11991.8,6.671200037002564
4,100,50,50,0.13348,0.94875,9450.4,8.465222597122192
5,100,50,50,0.07287,0.97875,7815.3,10.23630166053772
6,100,50,50,0.06504,0.98375,6695.5,11.948336362838743
7,100,50,50,0.04118,0.98625,5804.6,13.782071590423584
8,100,50,50,0.03835,0.99,5118.3,15.630166292190552
9,100,50,50,0.04656,0.9875,4608.1,17.360771417617798
10,100,50,50,0.04258,0.9925,4163.4,19.214845180511475
11,100,50,50,0.042,0.98375,3818.4,20.951185703277588
12,100,50,50,0.01739,0.99625,3529.4,22.666783332824707
13,100,50,50,0.01112,1.0,3280.3,24.387916326522827
14,100,50,50,0.01393,0.9975,3047.2,26.253843784332275
15,100,50,50,0.0419,0.98375,2850.3,28.067190647125244
16,100,50,50,0.04199,0.98875,2697.1,29.6614043712616
17,100,50,50,0.02693,0.9925,2546.6,31.41405749320984
18,100,50,50,0.05817,0.98625,2408.5,33.21516275405884
19,100,50,50,0.00903,0.99875,2287.9,34.96580958366394
20,100,50,50,0.00601,1.0,2187.7,36.56876587867737
21,100,50,50,0.00901,0.99625,2086.1,38.3492922782898
22,100,50,50,0.00686,1.0,1993.3,40.13420248031616
23,100,50,50,0.01236,0.9975,1904.7,42.000553369522095
24,100,50,50,0.01188,0.9975,1829.3,43.73260736465454
25,100,50,50,0.00673,1.0,1755.2,45.57801103591919
26,100,50,50,0.01045,0.9975,1687.8,47.39782023429871
27,100,50,50,0.02209,0.9975,1627.1,49.16808938980103
28,100,50,50,0.01018,0.9975,1572.0,50.89176321029663
29,100,50,50,0.01602,0.9925,1517.9,52.70399522781372
30,100,50,50,0.03153,0.99125,1468.8,54.4677197933197
31,100,50,50,0.03455,0.98875,1426.5,56.07987689971924
32,100,50,50,0.0279,0.99375,1384.6,57.77947306632996
33,100,50,50,0.01255,0.99625,1341.8,59.62338972091675
34,100,50,50,0.00359,1.0,1303.7,61.36539244651794
35,100,50,50,0.00845,0.99875,1266.1,63.18444132804871
36,100,50,50,0.01076,0.99625,1232.5,64.91089177131653
37,100,50,50,0.00884,0.99875,1199.7,66.68144464492798
38,100,50,50,0.01221,0.99625,1171.0,68.3160171508789
39,100,50,50,0.01483,0.995,1140.7,70.13280439376831
40,100,50,50,0.0226,0.99,1112.9,71.88306379318237
41,100,50,50,0.01819,0.995,1087.4,73.56963539123535
42,100,50,50,0.0321,0.9925,1060.8,75.41267561912537
43,100,50,50,0.01985,0.99625,1035.5,77.25477004051208
44,100,50,50,0.02562,0.99,1011.3,79.1044909954071
45,100,50,50,0.02034,0.99375,989.1,80.8811240196228
46,100,50,50,0.05569,0.98875,969.0,82.56139922142029
47,100,50,50,0.02244,0.99375,948.8,84.31919622421265
48,100,50,50,0.01527,0.9925,928.6,86.1494529247284
49,100,50,50,0.01361,0.9975,910.8,87.8313901424408
50,100,50,50,0.01085,0.99875,893.6,89.52469968795776
51,100,50,50,0.02684,0.99,875.1,91.42322087287904
52,100,50,50,0.01374,0.9925,858.4,93.20046544075012
53,100,50,50,0.008,0.99875,842.0,95.01441478729248
54,100,50,50,0.00148,1.0,825.2,96.94452357292175
55,100,50,50,0.00218,1.0,810.0,98.76449537277222
56,100,50,50,0.00154,1.0,795.8,100.53353452682497
57,100,50,50,0.00157,1.0,782.3,102.25881028175354
58,100,50,50,0.00338,1.0,768.4,104.10594940185548
59,100,50,50,0.00198,1.0,755.0,105.95976424217224
60,100,50,50,0.00134,1.0,742.5,107.73924970626832
61,100,50,50,0.00139,1.0,729.8,109.61341667175292
62,100,50,50,0.00236,1.0,718.4,111.3637762069702
63,100,50,50,0.00186,1.0,707.0,113.15746021270752
64,100,50,50,0.00098,1.0,695.5,115.0239577293396
65,100,50,50,0.00146,1.0,685.1,116.77449655532835
66,100,50,50,0.0004,1.0,675.1,118.50471329689026
67,100,50,50,0.00347,0.99875,664.6,120.37308621406557
68,100,50,50,0.00816,0.99625,654.9,122.16384482383728
69,100,50,50,0.00155,1.0,645.8,123.87288546562196
70,100,50,50,0.0007,1.0,636.4,125.71286416053772
71,100,50,50,0.00477,0.99875,627.4,127.50477766990662
72,100,50,50,0.02938,0.9875,619.1,129.21007919311523
73,100,50,50,0.01143,0.99625,611.0,130.92535519599917
74,100,50,50,0.01527,0.99625,603.0,132.66462302207947
75,100,50,50,0.01063,0.9975,595.0,134.45885372161865
76,100,50,50,0.0094,0.99875,587.1,136.25826811790466
77,100,50,50,0.01302,0.995,579.6,138.03171372413635
78,100,50,50,0.00895,0.9975,572.2,139.81615471839905
79,100,50,50,0.00715,0.9975,565.0,141.5980885028839
80,100,50,50,0.01902,0.99375,557.9,143.4025273323059
81,100,50,50,0.00504,0.99875,550.8,145.24485802650452
82,100,50,50,0.01919,0.995,543.7,147.13878417015076
83,100,50,50,0.00488,0.99875,536.9,149.0134663581848
84,100,50,50,0.00454,0.99875,530.5,150.7945957183838
85,100,50,50,0.015,0.99625,524.3,152.59201526641846
86,100,50,50,0.00418,0.99875,518.4,154.31012558937073
87,100,50,50,0.00194,1.0,512.4,156.12694191932678
88,100,50,50,0.01266,0.99625,506.6,157.91638278961182
89,100,50,50,0.01005,0.99625,501.2,159.601655960083
90,100,50,50,0.04594,0.98875,496.0,161.27449750900269
91,100,50,50,0.00569,0.9975,490.8,163.0128104686737
92,100,50,50,0.00136,1.0,485.4,164.80686593055725
