,Image_Label,Image_Class,Image_Path
1088,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041167_2.jpg
412,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085272_1.jpg
503,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_90100067_5.jpg
838,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085130_2.jpg
502,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12300110_1.jpg
890,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100020_1.jpg
710,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100047_1.jpg
644,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085239_3.jpg
1194,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100142_1.jpg
1023,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085198_3.jpg
746,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085274_1.jpg
624,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041204_1.jpg
942,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085057_3.jpg
625,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085257_0.jpg
83,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_90100003_1.jpg
380,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085122_1.jpg
528,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085215_2.jpg
1185,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100032_1.jpg
132,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_92000117_1.jpg
1250,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085207_7.jpg
1221,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085222_4.jpg
763,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085068_3.jpg
1107,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085225_3.jpg
1053,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_50600004_1.jpg
815,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041160_1.jpg
406,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085104_1.jpg
343,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041189_5.jpg
466,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12300217_1.jpg
