,Image_Label,Image_Class,Image_Path
1219,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085020_1.jpg
522,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12300234_1.jpg
530,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_13000108_9.jpg
813,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041206_1.jpg
616,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_44000060_1.jpg
1185,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100032_1.jpg
930,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_90100036_1.jpg
1166,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_77000030_0.jpg
392,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_50600015_1.jpg
351,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041118_5.jpg
1231,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085261_1.jpg
1183,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_90100066_1.jpg
1490,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_77000012_4.jpg
1261,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085187_2.jpg
1419,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_92000031_1.jpg
276,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085091_7.jpg
170,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085024_3.jpg
397,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100169_1.jpg
13,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085069_2.jpg
322,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_77000024_3.jpg
1462,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_90100018_1.jpg
960,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085305_7.jpg
426,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_13000030_3.jpg
1157,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_13000024_3.jpg
876,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_90100009_4.jpg
444,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085058_1.jpg
330,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12000068_1.jpg
780,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085303_6.jpg
613,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085022_2.jpg
1323,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085044_7.jpg
