,Image_Label,Image_Class,Image_Path
929,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_228.bmp
1215,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_147.bmp
704,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_65.bmp
1519,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_127.bmp
581,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_83.bmp
1204,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_118.bmp
765,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_292.bmp
413,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_225.bmp
778,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_276.bmp
1211,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_149.bmp
1405,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_211.bmp
58,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_12.bmp
1656,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_96.bmp
680,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_128.bmp
729,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_114.bmp
405,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_17.bmp
1323,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_109.bmp
867,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_296.bmp
1293,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_223.bmp
1339,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_81.bmp
610,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_239.bmp
640,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_205.bmp
208,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_148.bmp
647,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_194.bmp
915,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_82.bmp
623,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_146.bmp
1682,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_221.bmp
297,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_107.bmp
743,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_288.bmp
655,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_165.bmp
717,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_100.bmp
1724,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_56.bmp
930,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_92.bmp
1738,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_138.bmp
1600,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_270.bmp
547,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_52.bmp
715,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_4.bmp
944,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_179.bmp
1073,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_35.bmp
1242,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_7.bmp
1722,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_25.bmp
1536,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_167.bmp
590,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_73.bmp
354,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_60.bmp
1514,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_257.bmp
650,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_47.bmp
611,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_137.bmp
931,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_50.bmp
1634,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_279.bmp
1453,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_112.bmp
1619,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_272.bmp
207,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_48.bmp
23,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_254.bmp
1715,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_3.bmp
692,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_278.bmp
682,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_290.bmp
1053,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_141.bmp
1320,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_67.bmp
558,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_294.bmp
519,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_249.bmp
1716,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_6.bmp
832,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_180.bmp
750,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_173.bmp
276,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_144.bmp
303,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_161.bmp
1699,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_42.bmp
549,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_150.bmp
1663,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_16.bmp
1153,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_101.bmp
1373,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_182.bmp
1550,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_157.bmp
854,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_104.bmp
89,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_134.bmp
1755,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_123.bmp
977,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_120.bmp
1576,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_252.bmp
635,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_125.bmp
619,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_64.bmp
1196,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_176.bmp
1032,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_38.bmp
1573,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_286.bmp
1017,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_63.bmp
1655,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_187.bmp
1003,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_209.bmp
1444,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_110.bmp
140,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_14.bmp
1589,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_124.bmp
678,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_91.bmp
294,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_75.bmp
1123,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_203.bmp
266,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_99.bmp
863,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_214.bmp
323,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_40.bmp
481,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_136.bmp
1326,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_105.bmp
1472,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_171.bmp
534,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_251.bmp
1382,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_204.bmp
781,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_185.bmp
1147,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_59.bmp
1593,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_259.bmp
1254,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_216.bmp
181,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_186.bmp
1565,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_198.bmp
916,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_293.bmp
474,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_241.bmp
1501,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_169.bmp
1401,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_178.bmp
1684,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_89.bmp
532,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_298.bmp
370,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_108.bmp
1190,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_274.bmp
302,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_53.bmp
231,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_15.bmp
573,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_5.bmp
1454,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_80.bmp
1366,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_280.bmp
1438,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_215.bmp
1257,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_8.bmp
258,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_151.bmp
1249,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_55.bmp
1695,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_68.bmp
1367,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_238.bmp
699,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_201.bmp
307,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_240.bmp
1121,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_62.bmp
55,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_154.bmp
604,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_170.bmp
597,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_208.bmp
568,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_230.bmp
1764,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_217.bmp
1723,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_283.bmp
1607,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_30.bmp
1066,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_152.bmp
298,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_111.bmp
1274,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_285.bmp
1158,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_213.bmp
1777,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_20.bmp
1558,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_31.bmp
559,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_122.bmp
1008,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_231.bmp
290,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_32.bmp
1775,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_45.bmp
42,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_234.bmp
1114,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_212.bmp
615,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_277.bmp
1167,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_103.bmp
40,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_291.bmp
794,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_196.bmp
124,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_95.bmp
1399,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_295.bmp
81,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_275.bmp
1469,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_9.bmp
422,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_74.bmp
1505,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_255.bmp
1569,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_29.bmp
924,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_94.bmp
1386,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_28.bmp
1761,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_190.bmp
1205,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_175.bmp
1421,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_69.bmp
123,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_13.bmp
1173,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_281.bmp
1064,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_116.bmp
688,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_1.bmp
358,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_219.bmp
