,Image_Label,Image_Class,Image_Path
1450,2,In,./My_Datasets/Classification/NEU-CLS/In_54.bmp
1460,2,In,./My_Datasets/Classification/NEU-CLS/In_80.bmp
1250,2,In,./My_Datasets/Classification/NEU-CLS/In_218.bmp
971,2,In,./My_Datasets/Classification/NEU-CLS/In_177.bmp
1465,2,In,./My_Datasets/Classification/NEU-CLS/In_252.bmp
1077,2,In,./My_Datasets/Classification/NEU-CLS/In_64.bmp
1256,2,In,./My_Datasets/Classification/NEU-CLS/In_95.bmp
601,2,In,./My_Datasets/Classification/NEU-CLS/In_180.bmp
633,2,In,./My_Datasets/Classification/NEU-CLS/In_129.bmp
1708,2,In,./My_Datasets/Classification/NEU-CLS/In_110.bmp
171,5,Pa,./My_Datasets/Classification/NEU-CLS/Pa_126.bmp
728,5,Pa,./My_Datasets/Classification/NEU-CLS/Pa_87.bmp
1306,5,Pa,./My_Datasets/Classification/NEU-CLS/Pa_140.bmp
689,5,Pa,./My_Datasets/Classification/NEU-CLS/Pa_202.bmp
440,5,Pa,./My_Datasets/Classification/NEU-CLS/Pa_297.bmp
1094,5,Pa,./My_Datasets/Classification/NEU-CLS/Pa_263.bmp
779,5,Pa,./My_Datasets/Classification/NEU-CLS/Pa_222.bmp
37,5,Pa,./My_Datasets/Classification/NEU-CLS/Pa_172.bmp
1638,5,Pa,./My_Datasets/Classification/NEU-CLS/Pa_282.bmp
436,5,Pa,./My_Datasets/Classification/NEU-CLS/Pa_166.bmp
819,4,Sc,./My_Datasets/Classification/NEU-CLS/Sc_247.bmp
966,4,Sc,./My_Datasets/Classification/NEU-CLS/Sc_141.bmp
38,4,Sc,./My_Datasets/Classification/NEU-CLS/Sc_156.bmp
1449,4,Sc,./My_Datasets/Classification/NEU-CLS/Sc_227.bmp
516,4,Sc,./My_Datasets/Classification/NEU-CLS/Sc_92.bmp
1666,4,Sc,./My_Datasets/Classification/NEU-CLS/Sc_107.bmp
1040,4,Sc,./My_Datasets/Classification/NEU-CLS/Sc_71.bmp
693,4,Sc,./My_Datasets/Classification/NEU-CLS/Sc_238.bmp
371,4,Sc,./My_Datasets/Classification/NEU-CLS/Sc_294.bmp
988,4,Sc,./My_Datasets/Classification/NEU-CLS/Sc_117.bmp
1348,1,PS,./My_Datasets/Classification/NEU-CLS/PS_260.bmp
1734,1,PS,./My_Datasets/Classification/NEU-CLS/PS_94.bmp
1234,1,PS,./My_Datasets/Classification/NEU-CLS/PS_272.bmp
1175,1,PS,./My_Datasets/Classification/NEU-CLS/PS_210.bmp
144,1,PS,./My_Datasets/Classification/NEU-CLS/PS_249.bmp
460,1,PS,./My_Datasets/Classification/NEU-CLS/PS_63.bmp
127,1,PS,./My_Datasets/Classification/NEU-CLS/PS_34.bmp
1701,1,PS,./My_Datasets/Classification/NEU-CLS/PS_265.bmp
300,1,PS,./My_Datasets/Classification/NEU-CLS/PS_238.bmp
1045,1,PS,./My_Datasets/Classification/NEU-CLS/PS_32.bmp
106,3,RS,./My_Datasets/Classification/NEU-CLS/RS_118.bmp
1014,3,RS,./My_Datasets/Classification/NEU-CLS/RS_108.bmp
1630,3,RS,./My_Datasets/Classification/NEU-CLS/RS_81.bmp
243,3,RS,./My_Datasets/Classification/NEU-CLS/RS_202.bmp
1749,3,RS,./My_Datasets/Classification/NEU-CLS/RS_73.bmp
657,3,RS,./My_Datasets/Classification/NEU-CLS/RS_7.bmp
1657,3,RS,./My_Datasets/Classification/NEU-CLS/RS_56.bmp
745,3,RS,./My_Datasets/Classification/NEU-CLS/RS_182.bmp
189,3,RS,./My_Datasets/Classification/NEU-CLS/RS_53.bmp
360,3,RS,./My_Datasets/Classification/NEU-CLS/RS_147.bmp
944,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_179.bmp
568,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_230.bmp
534,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_251.bmp
1763,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_193.bmp
647,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_194.bmp
1257,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_8.bmp
118,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_33.bmp
1179,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_263.bmp
1537,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_207.bmp
1632,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_202.bmp
