,Image_Label,Image_Class,Image_Path
764,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_160.bmp
638,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_172.bmp
748,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_97.bmp
1357,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_266.bmp
323,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_40.bmp
55,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_154.bmp
1344,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_232.bmp
1230,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_289.bmp
1293,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_223.bmp
924,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_94.bmp
729,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_114.bmp
163,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_70.bmp
338,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_102.bmp
1600,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_270.bmp
374,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_267.bmp
1053,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_141.bmp
680,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_128.bmp
1454,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_80.bmp
208,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_148.bmp
1372,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_140.bmp
606,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_174.bmp
1519,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_127.bmp
699,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_201.bmp
559,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_122.bmp
1026,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_84.bmp
207,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_48.bmp
1472,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_171.bmp
715,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_4.bmp
138,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_44.bmp
1254,0,Cr,./My_Datasets/Classification/NEU-CLS/Cr_216.bmp
