,Unnamed: 0,Image_Label,Image_Class,Image_Path
0,65,2,Short,./My_Datasets/Classification/PCB-200/Short/000047_0_02_15319_11001.bmp
1,18,2,Short,./My_Datasets/Classification/PCB-200/Short/000169_0_02_15377_16237.bmp
2,137,2,Short,./My_Datasets/Classification/PCB-200/Short/000035_0_04_03176_10299.bmp
3,180,2,Short,./My_Datasets/Classification/PCB-200/Short/000048_0_02_13005_13430.bmp
4,92,2,Short,./My_Datasets/Classification/PCB-200/Short/图片 1.png-36.png
5,35,2,Short,./My_Datasets/Classification/PCB-200/Short/000049_0_02_01193_10075.bmp
6,187,2,Short,./My_Datasets/Classification/PCB-200/Short/000006_0_01_14699_05700.bmp
7,90,2,Short,./My_Datasets/Classification/PCB-200/Short/000051_0_02_12999_13167.bmp
8,176,2,Short,./My_Datasets/Classification/PCB-200/Short/000047_0_02_14702_15812.bmp
9,22,2,Short,./My_Datasets/Classification/PCB-200/Short/000035_0_02_14712_15816.bmp
10,202,0,Mouse_bite,./My_Datasets/Classification/PCB-200/Mouse_bite/00896_0_01_04655_03648.bmp
11,210,0,Mouse_bite,./My_Datasets/Classification/PCB-200/Mouse_bite/000656_0_00_11172_14067.bmp
12,340,0,Mouse_bite,./My_Datasets/Classification/PCB-200/Mouse_bite/000291_0_00_11340_09639.bmp
13,339,0,Mouse_bite,./My_Datasets/Classification/PCB-200/Mouse_bite/000330_0_00_07461_10311.bmp
14,220,0,Mouse_bite,./My_Datasets/Classification/PCB-200/Mouse_bite/01213_0_01_09025_09216.bmp
15,317,0,Mouse_bite,./My_Datasets/Classification/PCB-200/Mouse_bite/000033_0_01_06402_07164.bmp
16,316,0,Mouse_bite,./My_Datasets/Classification/PCB-200/Mouse_bite/000394_0_00_11321_12203.bmp
17,248,0,Mouse_bite,./My_Datasets/Classification/PCB-200/Mouse_bite/05254_0_01_07661_03957.bmp
18,286,0,Mouse_bite,./My_Datasets/Classification/PCB-200/Mouse_bite/000197_0_02_01522_10477.bmp
19,391,0,Mouse_bite,./My_Datasets/Classification/PCB-200/Mouse_bite/000001_0_01_04736_11571.bmp
20,574,1,Open_circuit,./My_Datasets/Classification/PCB-200/Open_circuit/000206_0_04_10028_05122.bmp
21,575,1,Open_circuit,./My_Datasets/Classification/PCB-200/Open_circuit/图片 1.png-74.png
22,401,1,Open_circuit,./My_Datasets/Classification/PCB-200/Open_circuit/000035_0_04_03616_07507.bmp
23,416,1,Open_circuit,./My_Datasets/Classification/PCB-200/Open_circuit/图片 1.png-34.png
24,431,1,Open_circuit,./My_Datasets/Classification/PCB-200/Open_circuit/000106_0_04_07859_17046.bmp
25,565,1,Open_circuit,./My_Datasets/Classification/PCB-200/Open_circuit/000054_0_02_01939_06791.bmp
26,528,1,Open_circuit,./My_Datasets/Classification/PCB-200/Open_circuit/图片 1.png-71.png
27,535,1,Open_circuit,./My_Datasets/Classification/PCB-200/Open_circuit/000196_0_04_07906_07133.bmp
28,419,1,Open_circuit,./My_Datasets/Classification/PCB-200/Open_circuit/000035_0_04_03140_08841 - 副本.bmp
29,544,1,Open_circuit,./My_Datasets/Classification/PCB-200/Open_circuit/000113_0_04_06681_11300 - 副本.bmp
30,700,4,Spurious_copper,./My_Datasets/Classification/PCB-200/Spurious_copper/001619_0_04_07790_11833.bmp
31,633,4,Spurious_copper,./My_Datasets/Classification/PCB-200/Spurious_copper/000300_0_02_12509_11494.bmp
32,659,4,Spurious_copper,./My_Datasets/Classification/PCB-200/Spurious_copper/001070_0_04_11271_15069.bmp
33,788,4,Spurious_copper,./My_Datasets/Classification/PCB-200/Spurious_copper/000085_0_00_05078_17839.bmp
34,767,4,Spurious_copper,./My_Datasets/Classification/PCB-200/Spurious_copper/001276_0_00_10089_15130.bmp
35,782,4,Spurious_copper,./My_Datasets/Classification/PCB-200/Spurious_copper/000157_0_00_13852_14961.bmp
36,674,4,Spurious_copper,./My_Datasets/Classification/PCB-200/Spurious_copper/001694_0_01_13452_08994.bmp
37,740,4,Spurious_copper,./My_Datasets/Classification/PCB-200/Spurious_copper/000289_0_00_11764_02393.bmp
38,626,4,Spurious_copper,./My_Datasets/Classification/PCB-200/Spurious_copper/000263_0_03_10349_07580.bmp
39,663,4,Spurious_copper,./My_Datasets/Classification/PCB-200/Spurious_copper/001059_0_04_09268_03053.bmp
40,849,3,Spur,./My_Datasets/Classification/PCB-200/Spur/000175_0_00_09590_13749.bmp
41,963,3,Spur,./My_Datasets/Classification/PCB-200/Spur/04862_0_01_10435_10006.bmp
42,856,3,Spur,./My_Datasets/Classification/PCB-200/Spur/000087_0_00_08562_12550.bmp
43,915,3,Spur,./My_Datasets/Classification/PCB-200/Spur/000211_0_00_11409_13641.bmp
44,948,3,Spur,./My_Datasets/Classification/PCB-200/Spur/000402_0_03_14359_17668.bmp
45,976,3,Spur,./My_Datasets/Classification/PCB-200/Spur/000241_0_00_12945_10693.bmp
46,921,3,Spur,./My_Datasets/Classification/PCB-200/Spur/000901_0_04_11327_16767.bmp
47,851,3,Spur,./My_Datasets/Classification/PCB-200/Spur/000981_0_00_10926_11548.bmp
48,952,3,Spur,./My_Datasets/Classification/PCB-200/Spur/00321_0_01_04499_11834.bmp
49,802,3,Spur,./My_Datasets/Classification/PCB-200/Spur/000283_0_03_15028_16589.bmp
663,663,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085283_5.jpg
1199,1199,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085231_3.jpg
916,916,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_13000043_1.jpg
51,51,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_13000047_6.jpg
56,56,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100121_1.jpg
62,62,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041127_5.jpg
1179,1179,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041011_1.jpg
1439,1439,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041067_1.jpg
1032,1032,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100161_2.jpg
75,75,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_13000038_1.jpg
326,326,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085248_2.jpg
745,745,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_92000027_2.jpg
119,119,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085311_1.jpg
872,872,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_90100011_3.jpg
210,210,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085279_1.jpg
984,984,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_92000091_1.jpg
1151,1151,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041094_6.jpg
171,171,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_92000001_1.jpg
860,860,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_50600043_5.jpg
1359,1359,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_90100067_4.jpg
895,895,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085097_1.jpg
947,947,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085303_2.jpg
1386,1386,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_44000088_1.jpg
596,596,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085218_2.jpg
298,298,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085018_5.jpg
939,939,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085018_4.jpg
361,361,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085033_2.jpg
858,858,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_92000106_1.jpg
1393,1393,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_13000137_1.jpg
821,821,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_92000069_3.jpg
159,159,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_92000063_4.jpg
681,681,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100063_1.jpg
232,232,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085042_2.jpg
603,603,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041156_1.jpg
40,40,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085041_8.jpg
612,612,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_44000053_1.jpg
260,260,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085040_2.jpg
616,616,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_44000060_1.jpg
320,320,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_13000027_2.jpg
398,398,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041106_1.jpg
1150,1150,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100148_1.jpg
1350,1350,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100141_5.jpg
1408,1408,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085030_6.jpg
1157,1157,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_13000024_3.jpg
89,89,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_77000101_0.jpg
660,660,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085178_1.jpg
1456,1456,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_92000107_5.jpg
873,873,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085227_3.jpg
535,535,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085246_2.jpg
1060,1060,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100011_1.jpg
813,813,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041206_1.jpg
767,767,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12300115_1.jpg
954,954,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_92000009_2.jpg
1415,1415,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041040_1.jpg
31,31,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_92000025_1.jpg
47,47,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_92000067_1.jpg
1191,1191,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085245_3.jpg
1298,1298,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085154_2.jpg
1099,1099,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041028_1.jpg
790,790,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085302_0.jpg
1184,1184,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041181_5.jpg
350,350,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_44000052_1.jpg
251,251,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_44000086_1.jpg
5,5,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_77000045_1.jpg
163,163,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_44000028_2.jpg
199,199,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100184_1.jpg
807,807,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12300234_2.jpg
405,405,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085204_1.jpg
252,252,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_50600006_5.jpg
1238,1238,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100010_2.jpg
722,722,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085074_5.jpg
573,573,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_90100059_1.jpg
1425,1425,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085228_3.jpg
148,148,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041010_7.jpg
57,57,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_90100002_1.jpg
968,968,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_50600028_1.jpg
1406,1406,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100145_1.jpg
1343,1343,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_90100052_1.jpg
533,533,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12300146_1.jpg
122,122,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_44000033_1.jpg
505,505,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_77000029_0.jpg
1369,1369,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12300129_4.jpg
723,723,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_92000108_1.jpg
1146,1146,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_44000105_3.jpg
1353,1353,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_77000071_1.jpg
1074,1074,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_50600046_1.jpg
54,54,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100165_3.jpg
755,755,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_90100075_1.jpg
799,799,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100004_1.jpg
643,643,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_44000042_1.jpg
453,453,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085209_3.jpg
368,368,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085142_3.jpg
463,463,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_50600033_2.jpg
1257,1257,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12300113_1.jpg
1294,1294,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_92000027_1.jpg
193,193,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_13000004_6.jpg
928,928,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12100035_0.jpg
743,743,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_90100038_1.jpg
308,308,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041043_1.jpg
1455,1455,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_50600063_1.jpg
1376,1376,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_90100054_2.jpg
411,411,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_13000066_1.jpg
300,300,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_77000033_5.jpg
664,664,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_92000058_1.jpg
1505,1505,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_44000012_2.jpg
1471,1471,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_50600041_1.jpg
912,912,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085172_6.jpg
960,960,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085305_7.jpg
952,952,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_13000203_1.jpg
1279,1279,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12300225_1.jpg
938,938,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085141_1.jpg
1351,1351,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_13000026_2.jpg
415,415,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085194_1.jpg
1234,1234,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_77000100_1.jpg
1020,1020,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_77000020_4.jpg
9,9,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085240_2.jpg
1142,1142,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085143_1.jpg
1371,1371,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_13000120_1.jpg
1048,1048,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085026_1.jpg
528,528,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085215_2.jpg
299,299,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_44000072_1.jpg
1412,1412,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_13000151_1.jpg
291,291,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085210_3.jpg
333,333,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_12300136_1.jpg
38,38,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041070_1.jpg
761,761,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_00041205_1.jpg
803,803,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085014_1.jpg
687,687,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_50600016_1.jpg
71,71,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085233_2.jpg
1259,1259,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085017_6.jpg
1399,1399,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_13000037_3.jpg
317,317,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_13000144_1.jpg
531,531,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_50600027_1.jpg
112,112,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085181_0.jpg
1385,1385,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085089_5.jpg
191,191,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085049_2.jpg
648,648,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_50600060_1.jpg
253,253,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085028_1.jpg
101,101,2,Short,./My_Datasets/Classification/DeepPCB-Crop/Short/Short_20085090_1.jpg
