,Unnamed: 0,Image_Label,Image_Class,Image_Path
0,65,2,Short,./My_Datasets/Classification/PCB-200/Short/000047_0_02_15319_11001.bmp
1,18,2,Short,./My_Datasets/Classification/PCB-200/Short/000169_0_02_15377_16237.bmp
2,137,2,Short,./My_Datasets/Classification/PCB-200/Short/000035_0_04_03176_10299.bmp
3,180,2,Short,./My_Datasets/Classification/PCB-200/Short/000048_0_02_13005_13430.bmp
4,92,2,Short,./My_Datasets/Classification/PCB-200/Short/图片 1.png-36.png
5,35,2,Short,./My_Datasets/Classification/PCB-200/Short/000049_0_02_01193_10075.bmp
6,187,2,Short,./My_Datasets/Classification/PCB-200/Short/000006_0_01_14699_05700.bmp
7,90,2,Short,./My_Datasets/Classification/PCB-200/Short/000051_0_02_12999_13167.bmp
8,176,2,Short,./My_Datasets/Classification/PCB-200/Short/000047_0_02_14702_15812.bmp
9,22,2,Short,./My_Datasets/Classification/PCB-200/Short/000035_0_02_14712_15816.bmp
468,468,2,Short,./My_Datasets/Classification/PCB-Crop/Short/08_short_04_1.jpg
424,424,2,Short,./My_Datasets/Classification/PCB-Crop/Short/09_short_04_4.jpg
180,180,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_02_0.jpg
196,196,2,Short,./My_Datasets/Classification/PCB-Crop/Short/12_short_03_4.jpg
213,213,2,Short,./My_Datasets/Classification/PCB-Crop/Short/04_short_14_1.jpg
216,216,2,Short,./My_Datasets/Classification/PCB-Crop/Short/08_short_01_3.jpg
489,489,2,Short,./My_Datasets/Classification/PCB-Crop/Short/09_short_07_1.jpg
42,42,2,Short,./My_Datasets/Classification/PCB-Crop/Short/05_short_09_0.jpg
209,209,2,Short,./My_Datasets/Classification/PCB-Crop/Short/05_short_01_1.jpg
357,357,2,Short,./My_Datasets/Classification/PCB-Crop/Short/04_short_09_2.jpg
90,90,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_04_3.jpg
120,120,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_03_1.jpg
349,349,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_09_4.jpg
465,465,2,Short,./My_Datasets/Classification/PCB-Crop/Short/12_short_06_0.jpg
134,134,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_03_2.jpg
63,63,2,Short,./My_Datasets/Classification/PCB-Crop/Short/11_short_09_0.jpg
149,149,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_12_3.jpg
154,154,2,Short,./My_Datasets/Classification/PCB-Crop/Short/09_short_02_1.jpg
22,22,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_08_2.jpg
379,379,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_17_2.jpg
148,148,2,Short,./My_Datasets/Classification/PCB-Crop/Short/06_short_01_4.jpg
271,271,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_16_2.jpg
403,403,2,Short,./My_Datasets/Classification/PCB-Crop/Short/04_short_07_0.jpg
185,185,2,Short,./My_Datasets/Classification/PCB-Crop/Short/09_short_03_4.jpg
84,84,2,Short,./My_Datasets/Classification/PCB-Crop/Short/06_short_06_0.jpg
130,130,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_13_1.jpg
9,9,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_11_0.jpg
454,454,2,Short,./My_Datasets/Classification/PCB-Crop/Short/10_short_04_2.jpg
247,247,2,Short,./My_Datasets/Classification/PCB-Crop/Short/11_short_08_2.jpg
132,132,2,Short,./My_Datasets/Classification/PCB-Crop/Short/08_short_01_2.jpg
197,197,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_17_3.jpg
417,417,2,Short,./My_Datasets/Classification/PCB-Crop/Short/09_short_06_3.jpg
404,404,2,Short,./My_Datasets/Classification/PCB-Crop/Short/06_short_02_3.jpg
102,102,2,Short,./My_Datasets/Classification/PCB-Crop/Short/06_short_11_1.jpg
389,389,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_03_0.jpg
440,440,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_04_4.jpg
30,30,2,Short,./My_Datasets/Classification/PCB-Crop/Short/04_short_02_0.jpg
157,157,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_10_1.jpg
307,307,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_13_2.jpg
458,458,2,Short,./My_Datasets/Classification/PCB-Crop/Short/09_short_03_1.jpg
206,206,2,Short,./My_Datasets/Classification/PCB-Crop/Short/09_short_03_0.jpg
53,53,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_03_0.jpg
12,12,2,Short,./My_Datasets/Classification/PCB-Crop/Short/05_short_05_1.jpg
187,187,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_06_0.jpg
480,480,2,Short,./My_Datasets/Classification/PCB-Crop/Short/08_short_03_4.jpg
314,314,2,Short,./My_Datasets/Classification/PCB-Crop/Short/06_short_02_4.jpg
289,289,2,Short,./My_Datasets/Classification/PCB-Crop/Short/04_short_11_2.jpg
46,46,2,Short,./My_Datasets/Classification/PCB-Crop/Short/08_short_02_2.jpg
220,220,2,Short,./My_Datasets/Classification/PCB-Crop/Short/11_short_01_3.jpg
317,317,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_05_0.jpg
450,450,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_01_3.jpg
438,438,2,Short,./My_Datasets/Classification/PCB-Crop/Short/10_short_01_4.jpg
56,56,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_07_0.jpg
101,101,2,Short,./My_Datasets/Classification/PCB-Crop/Short/09_short_07_0.jpg
40,40,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_06_1.jpg
459,459,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_09_3.jpg
8,8,2,Short,./My_Datasets/Classification/PCB-Crop/Short/09_short_06_0.jpg
384,384,2,Short,./My_Datasets/Classification/PCB-Crop/Short/08_short_05_0.jpg
421,421,2,Short,./My_Datasets/Classification/PCB-Crop/Short/12_short_10_3.jpg
391,391,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_01_2.jpg
371,371,2,Short,./My_Datasets/Classification/PCB-Crop/Short/12_short_04_2.jpg
451,451,2,Short,./My_Datasets/Classification/PCB-Crop/Short/09_short_01_0.jpg
44,44,2,Short,./My_Datasets/Classification/PCB-Crop/Short/09_short_06_2.jpg
89,89,2,Short,./My_Datasets/Classification/PCB-Crop/Short/08_short_08_2.jpg
36,36,2,Short,./My_Datasets/Classification/PCB-Crop/Short/12_short_08_4.jpg
401,401,2,Short,./My_Datasets/Classification/PCB-Crop/Short/04_short_20_1.jpg
296,296,2,Short,./My_Datasets/Classification/PCB-Crop/Short/09_short_02_4.jpg
358,358,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_15_2.jpg
227,227,2,Short,./My_Datasets/Classification/PCB-Crop/Short/12_short_02_2.jpg
177,177,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_17_1.jpg
77,77,2,Short,./My_Datasets/Classification/PCB-Crop/Short/04_short_11_0.jpg
487,487,2,Short,./My_Datasets/Classification/PCB-Crop/Short/12_short_04_4.jpg
433,433,2,Short,./My_Datasets/Classification/PCB-Crop/Short/05_short_02_0.jpg
257,257,2,Short,./My_Datasets/Classification/PCB-Crop/Short/09_short_02_3.jpg
138,138,2,Short,./My_Datasets/Classification/PCB-Crop/Short/11_short_10_1.jpg
471,471,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_10_2.jpg
29,29,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_08_2.jpg
467,467,2,Short,./My_Datasets/Classification/PCB-Crop/Short/12_short_07_1.jpg
122,122,2,Short,./My_Datasets/Classification/PCB-Crop/Short/04_short_13_2.jpg
429,429,2,Short,./My_Datasets/Classification/PCB-Crop/Short/11_short_10_2.jpg
303,303,2,Short,./My_Datasets/Classification/PCB-Crop/Short/08_short_03_0.jpg
37,37,2,Short,./My_Datasets/Classification/PCB-Crop/Short/10_short_03_2.jpg
168,168,2,Short,./My_Datasets/Classification/PCB-Crop/Short/08_short_02_4.jpg
163,163,2,Short,./My_Datasets/Classification/PCB-Crop/Short/04_short_17_2.jpg
78,78,2,Short,./My_Datasets/Classification/PCB-Crop/Short/06_short_03_0.jpg
252,252,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_11_1.jpg
361,361,2,Short,./My_Datasets/Classification/PCB-Crop/Short/05_short_07_0.jpg
355,355,2,Short,./My_Datasets/Classification/PCB-Crop/Short/09_short_05_2.jpg
151,151,2,Short,./My_Datasets/Classification/PCB-Crop/Short/05_short_07_1.jpg
331,331,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_11_2.jpg
327,327,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_09_0.jpg
481,481,2,Short,./My_Datasets/Classification/PCB-Crop/Short/05_short_04_2.jpg
448,448,2,Short,./My_Datasets/Classification/PCB-Crop/Short/11_short_08_0.jpg
26,26,2,Short,./My_Datasets/Classification/PCB-Crop/Short/11_short_07_4.jpg
218,218,2,Short,./My_Datasets/Classification/PCB-Crop/Short/09_short_04_2.jpg
87,87,2,Short,./My_Datasets/Classification/PCB-Crop/Short/04_short_04_0.jpg
175,175,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_03_1.jpg
52,52,2,Short,./My_Datasets/Classification/PCB-Crop/Short/12_short_10_0.jpg
461,461,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_03_3.jpg
199,199,2,Short,./My_Datasets/Classification/PCB-Crop/Short/04_short_04_1.jpg
222,222,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_14_0.jpg
363,363,2,Short,./My_Datasets/Classification/PCB-Crop/Short/08_short_06_3.jpg
59,59,2,Short,./My_Datasets/Classification/PCB-Crop/Short/09_short_10_4.jpg
114,114,2,Short,./My_Datasets/Classification/PCB-Crop/Short/05_short_01_2.jpg
466,466,2,Short,./My_Datasets/Classification/PCB-Crop/Short/08_short_08_0.jpg
283,283,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_12_1.jpg
392,392,2,Short,./My_Datasets/Classification/PCB-Crop/Short/05_short_10_0.jpg
302,302,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_15_3.jpg
483,483,2,Short,./My_Datasets/Classification/PCB-Crop/Short/08_short_03_3.jpg
117,117,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_08_4.jpg
118,118,2,Short,./My_Datasets/Classification/PCB-Crop/Short/04_short_11_1.jpg
414,414,2,Short,./My_Datasets/Classification/PCB-Crop/Short/05_short_02_1.jpg
207,207,2,Short,./My_Datasets/Classification/PCB-Crop/Short/10_short_01_3.jpg
88,88,2,Short,./My_Datasets/Classification/PCB-Crop/Short/10_short_03_3.jpg
195,195,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_01_4.jpg
191,191,2,Short,./My_Datasets/Classification/PCB-Crop/Short/09_short_05_0.jpg
261,261,2,Short,./My_Datasets/Classification/PCB-Crop/Short/04_short_18_0.jpg
198,198,2,Short,./My_Datasets/Classification/PCB-Crop/Short/04_short_07_2.jpg
297,297,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_07_3.jpg
153,153,2,Short,./My_Datasets/Classification/PCB-Crop/Short/11_short_01_2.jpg
233,233,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_20_3.jpg
485,485,2,Short,./My_Datasets/Classification/PCB-Crop/Short/11_short_05_4.jpg
108,108,2,Short,./My_Datasets/Classification/PCB-Crop/Short/12_short_01_0.jpg
412,412,2,Short,./My_Datasets/Classification/PCB-Crop/Short/12_short_10_2.jpg
98,98,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_05_3.jpg
68,68,2,Short,./My_Datasets/Classification/PCB-Crop/Short/08_short_06_2.jpg
426,426,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_09_0.jpg
47,47,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_09_1.jpg
304,304,2,Short,./My_Datasets/Classification/PCB-Crop/Short/05_short_02_2.jpg
446,446,2,Short,./My_Datasets/Classification/PCB-Crop/Short/06_short_10_0.jpg
48,48,2,Short,./My_Datasets/Classification/PCB-Crop/Short/10_short_05_2.jpg
411,411,2,Short,./My_Datasets/Classification/PCB-Crop/Short/06_short_10_3.jpg
62,62,2,Short,./My_Datasets/Classification/PCB-Crop/Short/11_short_06_3.jpg
264,264,2,Short,./My_Datasets/Classification/PCB-Crop/Short/10_short_04_1.jpg
397,397,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_06_4.jpg
50,50,2,Short,./My_Datasets/Classification/PCB-Crop/Short/08_short_05_3.jpg
113,113,2,Short,./My_Datasets/Classification/PCB-Crop/Short/04_short_05_1.jpg
463,463,2,Short,./My_Datasets/Classification/PCB-Crop/Short/11_short_03_2.jpg
232,232,2,Short,./My_Datasets/Classification/PCB-Crop/Short/04_short_10_0.jpg
76,76,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_09_5.jpg
370,370,2,Short,./My_Datasets/Classification/PCB-Crop/Short/06_short_03_4.jpg
336,336,2,Short,./My_Datasets/Classification/PCB-Crop/Short/01_short_05_2.jpg
470,470,2,Short,./My_Datasets/Classification/PCB-Crop/Short/04_short_07_1.jpg
350,350,2,Short,./My_Datasets/Classification/PCB-Crop/Short/10_short_04_4.jpg
265,265,2,Short,./My_Datasets/Classification/PCB-Crop/Short/06_short_05_2.jpg
396,396,2,Short,./My_Datasets/Classification/PCB-Crop/Short/08_short_02_0.jpg
230,230,2,Short,./My_Datasets/Classification/PCB-Crop/Short/07_short_07_0.jpg
258,258,2,Short,./My_Datasets/Classification/PCB-Crop/Short/12_short_07_0.jpg
7,7,2,Short,./My_Datasets/Classification/PCB-Crop/Short/05_short_03_1.jpg
385,385,2,Short,./My_Datasets/Classification/PCB-Crop/Short/10_short_04_0.jpg
