,Image_Label,Image_Class,Image_Path
2239,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/12_spur_03_3.jpg
2252,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/07_spur_05_0.jpg
2346,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/04_spur_20_0.jpg
2119,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/07_spur_07_2.jpg
2403,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/04_spur_15_2.jpg
2192,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/05_spur_02_0.jpg
2025,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/11_spur_07_0.jpg
2117,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/09_spur_01_4.jpg
2279,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/05_spur_05_4.jpg
2073,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/12_spur_05_4.jpg
2356,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/11_spur_04_4.jpg
2077,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/01_spur_02_2.jpg
2067,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/04_spur_16_2.jpg
2274,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/01_spur_13_1.jpg
2136,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/09_spur_06_2.jpg
2395,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/01_spur_17_2.jpg
2094,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/07_spur_06_4.jpg
2275,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/11_spur_06_3.jpg
2440,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/07_spur_07_4.jpg
2269,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/06_spur_04_0.jpg
2385,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/08_spur_10_3.jpg
2307,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/11_spur_06_0.jpg
2034,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/01_spur_07_2.jpg
2449,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/06_spur_09_3.jpg
2093,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/04_spur_11_2.jpg
2217,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/10_spur_01_0.jpg
2202,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/07_spur_04_4.jpg
2174,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/04_spur_11_0.jpg
2287,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/06_spur_08_3.jpg
2343,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/06_spur_05_0.jpg
2421,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/04_spur_06_1.jpg
2162,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/07_spur_10_1.jpg
2154,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/07_spur_08_1.jpg
2045,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/11_spur_06_4.jpg
2032,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/08_spur_10_1.jpg
2018,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/08_spur_06_1.jpg
2394,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/08_spur_05_1.jpg
2410,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/11_spur_10_1.jpg
2009,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/06_spur_03_4.jpg
2444,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/08_spur_04_3.jpg
1995,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/06_spur_08_1.jpg
2200,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/09_spur_08_2.jpg
2266,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/07_spur_07_0.jpg
2436,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/09_spur_02_0.jpg
2311,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/07_spur_02_1.jpg
2109,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/09_spur_05_3.jpg
1988,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/04_spur_02_2.jpg
2091,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/09_spur_04_3.jpg
2420,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/06_spur_10_1.jpg
2372,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/04_spur_02_1.jpg
2158,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/05_spur_03_2.jpg
2211,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/01_spur_06_2.jpg
2268,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/10_spur_04_4.jpg
2397,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/09_spur_02_1.jpg
2194,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/09_spur_05_1.jpg
2124,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/05_spur_01_0.jpg
2095,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/09_spur_08_0.jpg
2315,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/07_spur_10_0.jpg
2229,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/09_spur_07_4.jpg
2128,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/07_spur_10_4.jpg
2312,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/10_spur_01_1.jpg
1973,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/12_spur_06_4.jpg
2400,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/01_spur_14_2.jpg
2118,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/07_spur_01_0.jpg
2074,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/07_spur_04_2.jpg
2172,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/04_spur_06_2.jpg
2016,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/06_spur_06_4.jpg
2227,3,Spur,./My_Datasets/Classification/PCB-Crop/Spur/01_spur_02_1.jpg
