Unnamed: 0,Image_Label,Image_Class,Image_Path
0,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/1.jpg
1,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/2.jpg
2,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/3.jpg
3,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/4.jpg
4,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/5.jpg
5,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/6.jpg
6,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/7.jpg
7,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/8.jpg
8,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/9.jpg
9,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/10.jpg
10,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/11.jpg
11,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/12.jpg
12,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/13.jpg
13,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/14.jpg
14,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/15.jpg
15,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/16.jpg
16,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/17.jpg
17,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/18.jpg
18,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/19.jpg
19,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/20.jpg
20,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/21.jpg
21,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/22.jpg
22,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/23.jpg
23,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/24.jpg
24,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/25.jpg
25,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/26.jpg
26,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/27.jpg
27,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/28.jpg
28,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/29.jpg
29,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/30.jpg
30,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/31.jpg
31,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/32.jpg
32,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/33.jpg
33,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/34.jpg
34,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/35.jpg
35,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/36.jpg
36,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/37.jpg
37,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/38.jpg
38,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/39.jpg
39,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/40.jpg
40,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/41.jpg
41,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/42.jpg
42,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/43.jpg
43,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/44.jpg
44,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/45.jpg
45,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/46.jpg
46,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/47.jpg
47,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/48.jpg
48,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/49.jpg
49,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/50.jpg
50,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/51.jpg
51,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/52.jpg
52,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/53.jpg
53,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/54.jpg
54,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/55.jpg
55,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/56.jpg
56,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/57.jpg
57,2,Short,My_TAOD/TA/TA_Results/ConGAN/DeepPCB_Crop[30-shot] 2 2025-02-22_04-57-25/samples/10000epoch_1500/58.jpg
