Unnamed: 0,Image_Label,Image_Class,Image_Path
0,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/1.jpg
1,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/2.jpg
2,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/3.jpg
3,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/4.jpg
4,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/5.jpg
5,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/6.jpg
6,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/7.jpg
7,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/8.jpg
8,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/9.jpg
9,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/10.jpg
10,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/11.jpg
11,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/12.jpg
12,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/13.jpg
13,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/14.jpg
14,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/15.jpg
15,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/16.jpg
16,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/17.jpg
17,4,Spurious_copper,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_200[200-shot] 4 2025-01-09_07-33-56/samples/3000epoch_70/18.jpg
