Unnamed: 0,Image_Label,Image_Class,Image_Path
0,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_Crop[200-shot] 1 2025-01-09_00-35-11/samples/3000epoch_500/1.jpg
1,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_Crop[200-shot] 1 2025-01-09_00-35-11/samples/3000epoch_500/2.jpg
2,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_Crop[200-shot] 1 2025-01-09_00-35-11/samples/3000epoch_500/3.jpg
3,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_Crop[200-shot] 1 2025-01-09_00-35-11/samples/3000epoch_500/4.jpg
4,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_Crop[200-shot] 1 2025-01-09_00-35-11/samples/3000epoch_500/5.jpg
5,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_Crop[200-shot] 1 2025-01-09_00-35-11/samples/3000epoch_500/6.jpg
6,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_Crop[200-shot] 1 2025-01-09_00-35-11/samples/3000epoch_500/7.jpg
7,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_Crop[200-shot] 1 2025-01-09_00-35-11/samples/3000epoch_500/8.jpg
8,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_Crop[200-shot] 1 2025-01-09_00-35-11/samples/3000epoch_500/9.jpg
9,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_Crop[200-shot] 1 2025-01-09_00-35-11/samples/3000epoch_500/10.jpg
10,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_Crop[200-shot] 1 2025-01-09_00-35-11/samples/3000epoch_500/11.jpg
11,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_Crop[200-shot] 1 2025-01-09_00-35-11/samples/3000epoch_500/12.jpg
12,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_Crop[200-shot] 1 2025-01-09_00-35-11/samples/3000epoch_500/13.jpg
13,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/DeepPCB_Crop[10-shot]<-PCB_Crop[200-shot] 1 2025-01-09_00-35-11/samples/3000epoch_500/14.jpg
