Unnamed: 0,Image_Label,Image_Class,Image_Path
0,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/1.jpg
1,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/2.jpg
2,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/3.jpg
3,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/4.jpg
4,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/5.jpg
5,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/6.jpg
6,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/7.jpg
7,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/8.jpg
8,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/9.jpg
9,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/10.jpg
10,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/11.jpg
11,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/12.jpg
12,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/13.jpg
13,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/14.jpg
14,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/15.jpg
15,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/16.jpg
16,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/17.jpg
17,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/18.jpg
18,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/19.jpg
19,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/20.jpg
20,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/21.jpg
21,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/22.jpg
22,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/23.jpg
23,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/24.jpg
24,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/25.jpg
25,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/26.jpg
26,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/27.jpg
27,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/28.jpg
28,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/29.jpg
29,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/30.jpg
30,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/31.jpg
31,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/32.jpg
32,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/33.jpg
33,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/34.jpg
34,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/35.jpg
35,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/36.jpg
36,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/37.jpg
37,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/38.jpg
38,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/39.jpg
39,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/40.jpg
40,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/41.jpg
41,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/42.jpg
42,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/43.jpg
43,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/44.jpg
44,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/45.jpg
45,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/46.jpg
46,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/47.jpg
47,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/48.jpg
48,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/49.jpg
49,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/50.jpg
50,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/51.jpg
51,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/52.jpg
52,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/53.jpg
53,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/54.jpg
54,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/55.jpg
55,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/56.jpg
56,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/57.jpg
57,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/58.jpg
58,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/59.jpg
59,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/60.jpg
60,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/61.jpg
61,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/62.jpg
62,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/63.jpg
63,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/64.jpg
64,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/65.jpg
65,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/66.jpg
66,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/67.jpg
67,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/68.jpg
68,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/69.jpg
69,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/70.jpg
70,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/71.jpg
71,1,Open_circuit,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[30-shot]<-PCB_Crop[200-shot] 1 2025-02-28_13-40-32/samples/3000epoch_300/72.jpg
