Unnamed: 0,Image_Label,Image_Class,Image_Path
0,3,Spur,My_TAOD/TA/TA_Results/CycleGAN/PCB_Crop[30-shot]<-PCB_200[200-shot] 3 2025-03-01_05-39-41/samples/3000epoch_400/1.jpg
1,3,Spur,My_TAOD/TA/TA_Results/CycleGAN/PCB_Crop[30-shot]<-PCB_200[200-shot] 3 2025-03-01_05-39-41/samples/3000epoch_400/2.jpg
2,3,Spur,My_TAOD/TA/TA_Results/CycleGAN/PCB_Crop[30-shot]<-PCB_200[200-shot] 3 2025-03-01_05-39-41/samples/3000epoch_400/3.jpg
3,3,Spur,My_TAOD/TA/TA_Results/CycleGAN/PCB_Crop[30-shot]<-PCB_200[200-shot] 3 2025-03-01_05-39-41/samples/3000epoch_400/4.jpg
4,3,Spur,My_TAOD/TA/TA_Results/CycleGAN/PCB_Crop[30-shot]<-PCB_200[200-shot] 3 2025-03-01_05-39-41/samples/3000epoch_400/5.jpg
5,3,Spur,My_TAOD/TA/TA_Results/CycleGAN/PCB_Crop[30-shot]<-PCB_200[200-shot] 3 2025-03-01_05-39-41/samples/3000epoch_400/6.jpg
6,3,Spur,My_TAOD/TA/TA_Results/CycleGAN/PCB_Crop[30-shot]<-PCB_200[200-shot] 3 2025-03-01_05-39-41/samples/3000epoch_400/7.jpg
7,3,Spur,My_TAOD/TA/TA_Results/CycleGAN/PCB_Crop[30-shot]<-PCB_200[200-shot] 3 2025-03-01_05-39-41/samples/3000epoch_400/8.jpg
8,3,Spur,My_TAOD/TA/TA_Results/CycleGAN/PCB_Crop[30-shot]<-PCB_200[200-shot] 3 2025-03-01_05-39-41/samples/3000epoch_400/9.jpg
9,3,Spur,My_TAOD/TA/TA_Results/CycleGAN/PCB_Crop[30-shot]<-PCB_200[200-shot] 3 2025-03-01_05-39-41/samples/3000epoch_400/10.jpg
10,3,Spur,My_TAOD/TA/TA_Results/CycleGAN/PCB_Crop[30-shot]<-PCB_200[200-shot] 3 2025-03-01_05-39-41/samples/3000epoch_400/11.jpg
11,3,Spur,My_TAOD/TA/TA_Results/CycleGAN/PCB_Crop[30-shot]<-PCB_200[200-shot] 3 2025-03-01_05-39-41/samples/3000epoch_400/12.jpg
12,3,Spur,My_TAOD/TA/TA_Results/CycleGAN/PCB_Crop[30-shot]<-PCB_200[200-shot] 3 2025-03-01_05-39-41/samples/3000epoch_400/13.jpg
13,3,Spur,My_TAOD/TA/TA_Results/CycleGAN/PCB_Crop[30-shot]<-PCB_200[200-shot] 3 2025-03-01_05-39-41/samples/3000epoch_400/14.jpg
