,Image_Label,probs,types,Image_Path
1016,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1017.png
1461,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1462.png
2100,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2101.png
832,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0833.png
727,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0728.png
1693,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1694.png
1286,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1287.png
1769,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1770.png
844,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0845.png
1985,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1986.png
174,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0175.png
584,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0585.png
368,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0369.png
1564,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1565.png
1479,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1480.png
412,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0413.png
275,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0276.png
1354,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1355.png
976,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0977.png
1017,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1018.png
2193,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell2194.png
330,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0331.png
2421,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell2422.png
2278,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2279.png
900,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0901.png
2348,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2349.png
150,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0151.png
1057,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1058.png
1567,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1568.png
136,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0137.png
1510,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1511.png
1917,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1918.png
2229,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2230.png
158,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0159.png
2144,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell2145.png
1484,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1485.png
2464,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2465.png
541,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0542.png
2039,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2040.png
908,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0909.png
107,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0108.png
1357,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1358.png
1441,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1442.png
771,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0772.png
1717,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1718.png
1215,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1216.png
1143,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1144.png
2490,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2491.png
1609,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1610.png
2250,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2251.png
1887,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1888.png
1008,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1009.png
104,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0105.png
2433,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell2434.png
2608,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2609.png
1817,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1818.png
2214,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell2215.png
358,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0359.png
2253,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2254.png
2134,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2135.png
95,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0096.png
1090,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1091.png
1893,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1894.png
542,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0543.png
1051,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1052.png
2501,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2502.png
2392,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2393.png
1725,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1726.png
118,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0119.png
1986,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1987.png
2099,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2100.png
1355,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1356.png
113,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0114.png
1697,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1698.png
2256,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2257.png
2241,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2242.png
1795,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1796.png
1688,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1689.png
984,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0985.png
1039,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1040.png
1183,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1184.png
1464,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1465.png
1687,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1688.png
2001,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2002.png
2397,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell2398.png
134,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0135.png
1700,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1701.png
1269,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1270.png
2422,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell2423.png
1724,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1725.png
931,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0932.png
1276,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1277.png
1191,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1192.png
2318,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2319.png
2297,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2298.png
1879,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1880.png
748,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0749.png
2090,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2091.png
2343,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2344.png
1075,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1076.png
2457,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2458.png
1268,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1269.png
129,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0130.png
1604,0,0.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1605.png
2311,0,0.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell2312.png
