epoch,train loss,train acc,test acc,time
1,2.21617,0.27778,0.16667,1.8843908309936523
2,0.68896,0.71667,0.16667,2.019941568374634
3,0.57512,0.79444,0.16667,2.154733419418335
4,0.35939,0.87778,0.16667,2.2911269664764404
5,0.23749,0.90556,0.16667,2.428346872329712
6,0.17428,0.95556,0.16667,2.5657551288604736
7,0.14909,0.96111,0.16667,2.700134754180908
8,0.09908,0.96111,0.16667,2.835721492767334
9,0.09152,0.97222,0.16667,2.97168517112732
10,0.06908,0.97778,0.16667,3.1078875064849854
11,0.04949,0.99444,0.16667,3.2464752197265625
12,0.05667,0.98333,0.16667,3.382066011428833
13,0.02616,0.99444,0.16667,3.5177364349365234
14,0.02757,0.99444,0.18765,3.653631210327149
15,0.04422,0.98889,0.18765,3.790613889694214
16,0.01079,1.0,0.1858,3.929137706756592
17,0.02403,1.0,0.18333,4.065909385681152
18,0.01522,1.0,0.17901,4.201716661453247
19,0.03123,0.98889,0.1784,4.340419769287109
20,0.00654,1.0,0.17407,4.47664999961853
21,0.04027,0.99444,0.16728,4.615270614624023
22,0.04235,0.98889,0.17099,4.75295615196228
23,0.01144,1.0,0.16852,4.889848947525024
24,0.01138,1.0,0.17901,5.024561643600464
25,0.0108,1.0,0.17963,5.162020444869995
26,0.07573,0.97778,0.18148,5.298129558563232
27,0.00661,1.0,0.18025,5.435057163238525
28,0.15969,0.93889,0.18642,5.57075834274292
29,0.04681,0.98889,0.18704,5.708558797836304
30,0.04782,0.98333,0.21049,5.843472719192505
31,0.01776,0.98889,0.23457,5.978918552398682
32,0.01464,1.0,0.25432,6.113969802856445
33,0.0246,0.99444,0.3142,6.247728586196899
34,0.03901,0.98889,0.26914,6.385861396789551
35,0.01544,1.0,0.26852,6.522667407989502
36,0.02568,0.98889,0.29506,6.659503936767578
37,0.00703,1.0,0.33704,6.7963409423828125
38,0.01748,1.0,0.35494,6.93123459815979
39,0.01384,1.0,0.36173,7.068802118301392
40,0.0032,1.0,0.37716,7.206470012664795
41,0.00411,1.0,0.38025,7.343491792678833
42,0.00442,1.0,0.39568,7.481333494186401
43,0.00271,1.0,0.4142,7.6156415939331055
44,0.00735,1.0,0.48519,7.751988172531128
45,0.00244,1.0,0.58519,7.886560678482056
46,0.00255,1.0,0.67099,8.023489475250244
47,0.01453,0.99444,0.72778,8.158465385437012
48,0.00291,1.0,0.78025,8.2931489944458
49,0.0152,0.99444,0.79938,8.428877592086792
50,0.00435,1.0,0.82716,8.566903829574585
51,0.00366,1.0,0.85,8.705297470092773
52,0.00192,1.0,0.85802,8.843254089355469
53,0.0012,1.0,0.86667,8.98149299621582
54,0.00262,1.0,0.87284,9.116055250167848
55,0.00123,1.0,0.88395,9.25106644630432
56,0.01291,0.99444,0.89259,9.387895584106444
57,0.00999,0.99444,0.88827,9.5241060256958
58,0.02081,0.98889,0.86296,9.66178059577942
59,0.01519,0.99444,0.8821,9.79771900177002
60,0.0008,1.0,0.89074,9.93280291557312
61,0.00137,1.0,0.89074,10.068987131118774
62,0.00191,1.0,0.89691,10.204137802124023
63,0.00394,1.0,0.89815,10.341919660568236
64,0.00138,1.0,0.90247,10.478317499160768
65,0.00386,1.0,0.90802,10.614516735076904
66,0.00058,1.0,0.91173,10.752883911132812
67,0.00063,1.0,0.9142,10.891330242156982
68,0.0005,1.0,0.91605,11.028938293457031
69,0.00043,1.0,0.91543,11.166422128677368
70,0.00086,1.0,0.91543,11.30093550682068
71,0.0015,1.0,0.91605,11.438066720962524
72,0.00105,1.0,0.91728,11.57708501815796
73,0.00084,1.0,0.91975,11.713104486465454
74,0.00041,1.0,0.92222,11.851547479629517
75,0.00031,1.0,0.92284,11.98962926864624
76,0.00081,1.0,0.92284,12.12850308418274
77,0.00062,1.0,0.92407,12.26419734954834
78,0.00111,1.0,0.92346,12.402557373046877
79,0.0004,1.0,0.92469,12.541656494140623
80,0.0008,1.0,0.92531,12.678750038146973
81,0.00024,1.0,0.92346,12.81484580039978
82,0.00026,1.0,0.92284,12.951821565628052
83,0.00049,1.0,0.92037,13.088042974472046
84,0.00339,1.0,0.91914,13.226417779922484
85,0.00077,1.0,0.91667,13.361058712005615
86,0.00025,1.0,0.91235,13.498438596725464
87,0.00123,1.0,0.90988,13.636355876922607
88,0.00233,1.0,0.91358,13.773029804229736
89,0.00043,1.0,0.91667,13.90815496444702
90,0.00032,1.0,0.9179,14.044276237487791
91,0.00028,1.0,0.9179,14.178227186203005
92,0.00056,1.0,0.91481,14.31415581703186
93,0.00015,1.0,0.91481,14.45051407814026
94,0.0002,1.0,0.91358,14.588265895843506
95,0.00045,1.0,0.91543,14.725939989089966
96,0.00019,1.0,0.91543,14.863388776779177
97,0.00012,1.0,0.91481,14.997759819030762
98,0.00186,1.0,0.91605,15.13573956489563
99,0.00012,1.0,0.91358,15.273984909057615
100,0.00015,1.00000,0.91173,15.412035703659058
