epoch,train loss,train acc,test acc,time
1,1.79383,0.12778,0.16667,4.093094825744629
2,1.78864,0.20556,0.20247,4.402266502380371
3,1.78275,0.20556,0.2037,4.723045349121094
4,1.77172,0.21111,0.2037,5.031031131744385
5,1.76001,0.21111,0.21543,5.335308074951172
6,1.738,0.2,0.24136,5.644098520278931
7,1.67033,0.27222,0.28457,5.952547073364258
8,1.60908,0.31667,0.27469,6.260049819946289
9,1.52688,0.32778,0.31852,6.567107200622559
10,1.54428,0.32222,0.28148,6.875296354293823
11,1.49227,0.36111,0.34136,7.183178663253784
12,1.39715,0.39444,0.35494,7.486700773239136
13,1.50004,0.33333,0.3821,7.792818307876587
14,1.37827,0.36111,0.30926,8.100642204284668
15,1.45179,0.36667,0.36667,8.40936279296875
16,1.37348,0.43889,0.35802,8.713215112686157
17,1.4157,0.4,0.38148,9.01674222946167
18,1.32149,0.5,0.35494,9.323172569274902
19,1.3513,0.46667,0.37099,9.626789569854736
20,1.36446,0.43333,0.41605,9.934073209762571
21,1.31097,0.44444,0.41296,10.242255449295044
22,1.30858,0.45556,0.41728,10.551174879074097
23,1.28729,0.47778,0.44753,10.861845970153809
24,1.28089,0.47222,0.50988,11.1694073677063
25,1.22345,0.53333,0.51111,11.478090286254885
26,1.22539,0.55,0.51852,11.786936521530151
27,1.17444,0.53333,0.49012,12.096078634262083
28,1.16765,0.53889,0.52901,12.399904489517212
29,1.09807,0.61667,0.53827,12.7098286151886
30,1.10206,0.56667,0.5179,13.014147520065308
31,1.03752,0.63333,0.52037,13.323034763336182
32,1.04552,0.59444,0.52716,13.631920337677002
33,1.05182,0.62222,0.55123,13.937782526016235
34,0.98609,0.62222,0.55,14.246762990951538
35,0.99394,0.61111,0.57469,14.55278778076172
36,0.92423,0.63333,0.56914,14.861472606658936
37,0.93755,0.65556,0.58148,15.17033576965332
38,0.90049,0.64444,0.58519,15.474446058273315
39,0.89277,0.63889,0.58889,15.782731533050535
40,0.84278,0.66667,0.58025,16.090018033981323
41,0.89988,0.63889,0.5821,16.397592782974243
42,0.83348,0.66111,0.60062,16.705889463424683
43,0.8391,0.67222,0.60247,17.014928579330444
